run_id,crop_mode,batch_size,class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
ae_l1_l128,none,32,CNV,250,178,0.0315788773298263,0.0060061180752673,222,0.888
ae_l1_l128,none,32,DME,250,167,0.0297437711507081,0.0072011119667488,184,0.736
ae_l1_l128,none,32,DRUSEN,250,169,0.022833556510508,0.0043906013817701,66,0.264
ae_l1_l128,none,32,NORMAL,250,171,0.0203876427486538,0.0036700359820498,23,0.092
ae_mse_l128,none,32,CNV,250,178,0.0028912174608558,0.0012322065129228,244,0.976
ae_mse_l128,none,32,DME,250,167,0.0025817651946563,0.0015974118879944,205,0.82
ae_mse_l128,none,32,DRUSEN,250,169,0.0013233301375294,0.0007253832358264,88,0.352
ae_mse_l128,none,32,NORMAL,250,171,0.0008530930770793,0.0003084120790769,13,0.052
ae_mse_l256,none,32,CNV,250,178,0.0026424490720964,0.0010613643599248,243,0.972
ae_mse_l256,none,32,DME,250,167,0.0024387666010297,0.0014911046922387,207,0.828
ae_mse_l256,none,32,DRUSEN,250,169,0.001257896128809,0.0006646723999463,88,0.352
ae_mse_l256,none,32,NORMAL,250,171,0.0008193967299303,0.0002952892447307,12,0.048
ae_mse_l256_bs16,none,16,CNV,250,178,0.0027448244022671,0.0010724561679181,243,0.972
ae_mse_l256_bs16,none,16,DME,250,167,0.0025445046988315,0.0015265677263918,208,0.832
ae_mse_l256_bs16,none,16,DRUSEN,250,169,0.001267965684412,0.0005937692109366,88,0.352
ae_mse_l256_bs16,none,16,NORMAL,250,171,0.0008403462471906,0.000279812625452,14,0.056
ae_mse_l256_bs16_crop,content,16,CNV,250,178,0.0029103297116234,0.0009784504292482,228,0.912
ae_mse_l256_bs16_crop,content,16,DME,250,167,0.0024661306457128,0.0012868397699763,183,0.732
ae_mse_l256_bs16_crop,content,16,DRUSEN,250,169,0.0016151623236946,0.0007818675026857,91,0.364
ae_mse_l256_bs16_crop,content,16,NORMAL,250,171,0.0010667592370882,0.0004336619055805,20,0.08
ae_mse_l256_bs32_retina_margin,retina_margin,32,CNV,250,178,0.0028854125328361,0.001105687214635,235,0.94
ae_mse_l256_bs32_retina_margin,retina_margin,32,DME,250,167,0.0024044615933671,0.0013721014404712,190,0.76
ae_mse_l256_bs32_retina_margin,retina_margin,32,DRUSEN,250,169,0.0014665392248425,0.0007031798240495,96,0.384
ae_mse_l256_bs32_retina_margin,retina_margin,32,NORMAL,250,171,0.0009615350996609,0.0004011812069096,20,0.08
ae_mse_l256_bs64,none,64,CNV,250,178,0.0026024982121307,0.0009945399398433,241,0.964
ae_mse_l256_bs64,none,64,DME,250,167,0.0023423632343765,0.0013375472986459,204,0.816
ae_mse_l256_bs64,none,64,DRUSEN,250,169,0.0012946558790281,0.0008505714748054,81,0.324
ae_mse_l256_bs64,none,64,NORMAL,250,171,0.0008384874692419,0.0003076304664994,14,0.056
ae_mse_l64,none,32,CNV,250,178,0.0035619438556022,0.0016312546201294,247,0.988
ae_mse_l64,none,32,DME,250,167,0.0030978428586386,0.0019641927057977,203,0.812
ae_mse_l64,none,32,DRUSEN,250,169,0.0015761537400539,0.0014485924142072,85,0.34
ae_mse_l64,none,32,NORMAL,250,171,0.0009549773358739,0.0003437783616093,15,0.06
ae_mse_ssim_l128,none,32,CNV,250,178,0.0581632791683077,0.0142612291004284,186,0.744
ae_mse_ssim_l128,none,32,DME,250,167,0.0556681523621082,0.0160913808746315,157,0.628
ae_mse_ssim_l128,none,32,DRUSEN,250,169,0.040691272303462,0.0114120767174387,59,0.236
ae_mse_ssim_l128,none,32,NORMAL,250,171,0.0366987425312399,0.0115043090756041,35,0.14
vae_msekl_l128,none,32,CNV,250,178,0.0080201854826882,0.0043104640008803,231,0.924
vae_msekl_l128,none,32,DME,250,167,0.0069520485606044,0.0040126457277732,184,0.736
vae_msekl_l128,none,32,DRUSEN,250,169,0.0033391141924075,0.002025290402547,41,0.164
vae_msekl_l128,none,32,NORMAL,250,171,0.0023873355640098,0.0011028037796127,14,0.056
