run_id,model_type,loss_type,latent_dim,image_size,crop_mode,batch_size,default_percentile,threshold,best_epoch,best_val_loss,training_time_sec,auroc,f1,recall,precision,accuracy,fpr,tn,fp,fn,tp
ae_l1_l128,ae,l1,128,128,none,32,95,0.02475187741219997,39,0.017553779640607982,1818.82,0.8459306666666666,0.7582329317269076,0.6293333333333333,0.9535353535353536,0.699,0.092,227,23,278,472
ae_mse_l128,ae,mse,128,128,none,32,95,0.0013368588406592599,40,0.0007351799122374996,1846.99,0.9103786666666667,0.8261538461538461,0.716,0.9763636363636363,0.774,0.052,237,13,213,537
ae_mse_l256,ae,mse,256,128,none,32,95,0.001276522688567637,40,0.0006933608750546936,2023.89,0.9092693333333333,0.8276923076923077,0.7173333333333334,0.9781818181818182,0.776,0.048,238,12,212,538
ae_mse_l256_bs16,ae,mse,256,128,none,16,95,0.001309340703301131,36,0.0007196916887655014,2259.56,0.9102080000000001,0.827321565617805,0.7186666666666667,0.9746835443037974,0.775,0.056,236,14,211,539
ae_mse_l256_bs16_crop,ae,mse,256,128,content,16,95,0.0016889905091375104,38,0.0008941597693624328,3383.19,0.8767146666666666,0.789308176100629,0.6693333333333333,0.9616858237547893,0.732,0.08,230,20,248,502
ae_mse_l256_bs32_retina_margin,ae,mse,256,128,retina_margin,32,95,0.0015066493302583694,39,0.0007941774410704861,3719.87,0.8862079999999999,0.8071262587141751,0.6946666666666667,0.9630314232902033,0.751,0.08,230,20,229,521
ae_mse_l256_bs64,ae,mse,256,128,none,64,95,0.0013046912383288137,38,0.0007135163576730774,2008.04,0.9058453333333333,0.8155038759689922,0.7013333333333334,0.9740740740740741,0.762,0.056,236,14,224,526
ae_mse_l64,ae,mse,64,128,none,32,95,0.0015475373249500986,40,0.0008417630134981206,1837.84,0.9124320000000001,0.823076923076923,0.7133333333333334,0.9727272727272728,0.77,0.06,235,15,215,535
ae_mse_ssim_l128,ae,mse_ssim,128,128,none,32,95,0.04795764982700347,40,0.026306266090888486,1925.39,0.7856906666666668,0.6773378264532435,0.536,0.919908466819222,0.617,0.14,215,35,348,402
vae_msekl_l128,vae,vae_mse_kl,128,128,none,32,95,0.004214350972324609,21,0.004605723479829675,1428.02,0.8757866666666666,0.7475409836065574,0.608,0.9702127659574468,0.692,0.056,236,14,294,456
