run_id,class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
ae_mse_l256,CNV,250,178,0.0026424490720964,0.0010613643599248,243,0.972
ae_mse_l256,DME,250,167,0.0024387666010297,0.0014911046922387,207,0.828
ae_mse_l256,DRUSEN,250,169,0.001257896128809,0.0006646723999463,88,0.352
ae_mse_l256,NORMAL,250,171,0.0008193967299303,0.0002952892447307,12,0.048
ae_mse_l256_bs16,CNV,250,178,0.0027448244022671,0.0010724561679181,243,0.972
ae_mse_l256_bs16,DME,250,167,0.0025445046988315,0.0015265677263918,208,0.832
ae_mse_l256_bs16,DRUSEN,250,169,0.001267965684412,0.0005937692109366,88,0.352
ae_mse_l256_bs16,NORMAL,250,171,0.0008403462471906,0.000279812625452,14,0.056
ae_mse_l256_bs64,CNV,250,178,0.0026024982121307,0.0009945399398433,241,0.964
ae_mse_l256_bs64,DME,250,167,0.0023423632343765,0.0013375472986459,204,0.816
ae_mse_l256_bs64,DRUSEN,250,169,0.0012946558790281,0.0008505714748054,81,0.324
ae_mse_l256_bs64,NORMAL,250,171,0.0008384874692419,0.0003076304664994,14,0.056
