run_id,percentile,threshold,accuracy,precision,recall,f1,fpr,auroc
ae_mse_l256,95,0.0012765226885676,0.776,0.9781818181818182,0.7173333333333334,0.8276923076923077,0.048,0.9092693333333332
ae_mse_l256,97,0.0014742371626198,0.715,0.9813664596273292,0.632,0.7688564476885644,0.036,0.9092693333333332
ae_mse_l256,99,0.0019608331471681,0.585,0.9912023460410556,0.4506666666666666,0.6196150320806599,0.012,0.9092693333333332
ae_mse_l256_bs16,95,0.0013093407033011,0.775,0.9746835443037974,0.7186666666666667,0.827321565617805,0.056,0.910208
ae_mse_l256_bs16,97,0.0015277483779937,0.713,0.9832985386221296,0.628,0.7664768104149715,0.032,0.910208
ae_mse_l256_bs16,99,0.0020156962797045,0.601,0.9971671388101984,0.4693333333333333,0.6382592928377153,0.004,0.910208
ae_mse_l256_bs16_crop,95,0.0016889905091375,0.732,0.9616858237547892,0.6693333333333333,0.789308176100629,0.08,0.8767146666666666
ae_mse_l256_bs16_crop,97,0.0019012500531971,0.673,0.9752808988764043,0.5786666666666667,0.7263598326359832,0.044,0.8767146666666666
ae_mse_l256_bs16_crop,99,0.0024183353409171,0.542,0.9866666666666668,0.3946666666666666,0.5638095238095238,0.016,0.8767146666666666
ae_mse_l256_bs32_retina_margin,95,0.0015066493302583,0.751,0.9630314232902032,0.6946666666666667,0.8071262587141751,0.08,0.8862079999999999
ae_mse_l256_bs32_retina_margin,97,0.0016853765211999,0.693,0.970276008492569,0.6093333333333333,0.7485667485667485,0.056,0.8862079999999999
ae_mse_l256_bs32_retina_margin,99,0.0021694684028625,0.575,0.987987987987988,0.4386666666666666,0.6075715604801477,0.016,0.8862079999999999
