patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
mean,mse,CNV,150,200,0.002898573653478495,0.0010780542756368113,150,1.0
mean,mse,CNV+DME,5,31,0.0027379257873528535,0.0012221842305916906,5,1.0
mean,mse,CNV+DME+DRUSEN,2,9,0.002357169854803942,0.0006688925676884216,2,1.0
mean,mse,CNV+DME+NORMAL,1,5,0.0016001780750229955,,1,1.0
mean,mse,CNV+DRUSEN,9,35,0.0020973522947891066,0.0005109323694919037,9,1.0
mean,mse,CNV+DRUSEN+NORMAL,1,4,0.0018157712474931031,,1,1.0
mean,mse,CNV+NORMAL,10,33,0.0016289036434110518,0.00043640054739321055,8,0.8
mean,mse,DME,145,198,0.0025540686685367135,0.0015953898924057986,133,0.9172413793103448
mean,mse,DME+DRUSEN,8,27,0.0020005655193623775,0.0009351325463221047,6,0.75
mean,mse,DME+NORMAL,6,26,0.001644696187300031,0.0007720073999980208,4,0.6666666666666666
mean,mse,DRUSEN,145,211,0.0013108334551610527,0.0007368418857692449,77,0.5310344827586206
mean,mse,DRUSEN+NORMAL,4,15,0.0009480966213491879,0.0003038879504881386,1,0.25
mean,mse,NORMAL,149,206,0.0008501931904764091,0.00031535695250179123,20,0.1342281879194631
mean,l1,CNV,150,200,0.03141691843916972,0.006121509370810067,148,0.9866666666666667
mean,l1,CNV+DME,5,31,0.030044520894686382,0.003624737075816229,5,1.0
mean,l1,CNV+DME+DRUSEN,2,9,0.028916992666199803,0.003951093126291756,2,1.0
mean,l1,CNV+DME+NORMAL,1,5,0.027617379277944564,,1,1.0
mean,l1,CNV+DRUSEN,9,35,0.026401140692609328,0.0025574212398397104,9,1.0
mean,l1,CNV+DRUSEN+NORMAL,1,4,0.02500421879813075,,1,1.0
mean,l1,CNV+NORMAL,10,33,0.023307770353165412,0.002862676103466419,8,0.8
mean,l1,DME,145,198,0.029400334742947898,0.007937196477204119,127,0.8758620689655172
mean,l1,DME+DRUSEN,8,27,0.026406133171015728,0.004956769245168071,6,0.75
mean,l1,DME+NORMAL,6,26,0.023502560240763522,0.003791055514355467,4,0.6666666666666666
mean,l1,DRUSEN,145,211,0.02214063294374113,0.0041305973173396465,73,0.503448275862069
mean,l1,DRUSEN+NORMAL,4,15,0.02008022349660418,0.00350745439857529,2,0.5
