patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,topk_mse_5,0.012169244621569852,0.9476187225521652,0.8569343065693431,0.9727272727272728,0.8326848249027238,0.8972746331236897,0.07017543859649122,159,12,86,428
top2_mean,topk_mse_5,0.02661010012961919,0.9443648030582292,0.5620437956204379,0.9908256880733946,0.42023346303501946,0.5901639344262295,0.011695906432748537,169,2,298,216
mean,topk_mse_10,0.007720139046432388,0.9399503947937289,0.8496350364963504,0.9724137931034482,0.8229571984435797,0.8914646996838778,0.07017543859649122,159,12,91,423
max,topk_mse_5,0.03134611193090668,0.9397569799986347,0.5153284671532846,0.989247311827957,0.35797665369649806,0.5257142857142857,0.011695906432748537,169,2,330,184
top2_mean,topk_mse_10,0.015545769361779043,0.9364006644367078,0.602919708029197,0.991869918699187,0.47470817120622566,0.6421052631578947,0.011695906432748537,169,2,270,244
max,topk_mse_10,0.018461008369922555,0.9323844631032834,0.5401459854014599,0.9901477832512315,0.39105058365758755,0.5606694560669456,0.011695906432748537,169,2,313,201
mean,ensemble_mse_ssim_topk,1.4414609228868014,0.9204382551710015,0.8452554744525548,0.9533333333333334,0.8346303501945526,0.8900414937759336,0.12280701754385964,150,21,85,429
mean,ensemble_mse_retina,1.3609919429117834,0.9195849546044099,0.8437956204379562,0.9635535307517085,0.8229571984435797,0.887722980062959,0.0935672514619883,155,16,91,423
mean,retina_weighted_mse,0.0012625438737449647,0.9190047102191276,0.8452554744525548,0.9594594594594594,0.8287937743190662,0.8893528183716075,0.10526315789473684,153,18,88,426
top2_mean,ensemble_mse_ssim_topk,4.034621525998593,0.9166723553371106,0.6175182481751825,0.9921875,0.49416342412451364,0.6597402597402597,0.011695906432748537,169,2,260,254
mean,mse,0.001116961494092727,0.9162513937242588,0.8350364963503649,0.9525959367945824,0.8210116731517509,0.8819226750261233,0.12280701754385964,150,21,92,422
mean,ensemble_all_base,1.3016140267941072,0.9160466015882769,0.8525547445255475,0.9538461538461539,0.8443579766536965,0.8957688338493293,0.12280701754385964,150,21,80,434
top2_mean,ensemble_mse_retina,4.199105957812403,0.9157963000887432,0.6145985401459854,0.98828125,0.49221789883268485,0.6571428571428571,0.017543859649122806,168,3,261,253
