patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,95,mse,0.0011169614940927713,0.913884055569365,0.8283464566929134,0.9520383693045563,0.8168724279835391,0.8792912513842747,0.1342281879194631,129,20,89,397
mean,97,mse,0.0012002182753834251,0.913884055569365,0.7968503937007874,0.968503937007874,0.7592592592592593,0.8512110726643599,0.08053691275167785,137,12,117,369
mean,99,mse,0.0015329527836220223,0.913884055569365,0.7275590551181103,0.9875389408099688,0.6522633744855967,0.7856257744733581,0.026845637583892617,145,4,169,317
mean,95,l1,0.021493742229204953,0.8597370674179026,0.7826771653543307,0.910377358490566,0.7942386831275721,0.8483516483516483,0.2550335570469799,111,38,100,386
mean,97,l1,0.022665125583857297,0.8597370674179026,0.7606299212598425,0.9489247311827957,0.7263374485596708,0.8228438228438228,0.12751677852348994,130,19,133,353
mean,99,l1,0.023694073040546344,0.8597370674179026,0.7307086614173228,0.9673590504451038,0.6707818930041153,0.7922235722964763,0.0738255033557047,138,11,160,326
mean,95,ssim_error,0.20725471790020264,0.7876377496064297,0.7307086614173228,0.8967254408060453,0.7325102880658436,0.8063420158550396,0.2751677852348993,108,41,130,356
mean,97,ssim_error,0.22289894656701517,0.7876377496064297,0.6692913385826772,0.9131736526946108,0.6275720164609053,0.7439024390243902,0.19463087248322147,120,29,181,305
mean,99,ssim_error,0.23570147275924683,0.7876377496064297,0.6220472440944882,0.9300699300699301,0.5473251028806584,0.689119170984456,0.1342281879194631,129,20,220,266
mean,95,mse_ssim_score,0.042167278731034825,0.7963239152650039,0.7464566929133858,0.9012345679012346,0.7510288065843621,0.819304152637486,0.2684563758389262,109,40,121,365
mean,97,mse_ssim_score,0.045485343274406405,0.7963239152650039,0.6787401574803149,0.9147058823529411,0.6399176954732511,0.7530266343825666,0.19463087248322147,120,29,175,311
mean,99,mse_ssim_score,0.0482434937044607,0.7963239152650039,0.6409448818897637,0.9387755102040817,0.5679012345679012,0.7076923076923077,0.12080536912751678,131,18,210,276
mean,95,retina_band_mse,0.0013610864634941912,0.911619300135333,0.8377952755905512,0.9592326139088729,0.823045267489712,0.8859357696566998,0.11409395973154363,132,17,86,400
mean,97,retina_band_mse,0.001430980636214371,0.911619300135333,0.8125984251968504,0.9645569620253165,0.7839506172839507,0.8649262202043133,0.09395973154362416,135,14,105,381
mean,99,retina_band_mse,0.0017533736934379903,0.911619300135333,0.7417322834645669,0.9820359281437125,0.6748971193415638,0.8,0.040268456375838924,143,6,158,328
mean,95,retina_weighted_mse,0.0012625438737450167,0.9164111912061205,0.8393700787401575,0.9593301435406698,0.8251028806584362,0.8871681415929203,0.11409395973154363,132,17,85,401
mean,97,retina_weighted_mse,0.0013590120789983,0.9164111912061205,0.8094488188976378,0.9691516709511568,0.7757201646090535,0.8617142857142858,0.08053691275167785,137,12,109,377
mean,99,retina_weighted_mse,0.0016612880271819662,0.9164111912061205,0.7448818897637796,0.9850299401197605,0.676954732510288,0.802439024390244,0.03355704697986577,144,5,157,329
mean,95,topk_mse_5,0.012169244621569906,0.9459082497859529,0.8472440944881889,0.9709443099273608,0.8251028806584362,0.8921023359288098,0.08053691275167785,137,12,85,401
