level,score_mode,metric,point,ci_low,ci_high,std,iterations
image,mse,auroc,0.9112159999999999,0.8935567136254663,0.9280988940071864,0.009136146484107514,1000
image,mse,accuracy,0.771,0.747,0.796,0.012800693643617835,1000
image,mse,precision,0.9744990892531876,0.9609867766951681,0.9859457191333062,0.0067542566554166916,1000
image,mse,recall,0.7133333333333334,0.6842696123657154,0.7452159884953632,0.016045671750708913,1000
image,mse,f1,0.8237105465742879,0.8028385613364731,0.8459866094298323,0.011119038558884993,1000
image,mse,fpr,0.056,0.03055537314902978,0.0878694560669456,0.014728005213701083,1000
image,l1,auroc,0.847216,0.8222058015594003,0.8697268160212646,0.012662236982065946,1000
image,l1,accuracy,0.707,0.678,0.7340249999999999,0.013878888087110377,1000
image,l1,precision,0.9542743538767395,0.9359210654318345,0.9709892554868573,0.009175533390500085,1000
image,l1,recall,0.64,0.6047939199327232,0.6733421052631579,0.01705431969295598,1000
image,l1,f1,0.7661612130885874,0.7385571082365531,0.7905566935397992,0.012980933381011292,1000
image,l1,fpr,0.092,0.058823529411764705,0.1287939882697947,0.01778740342306918,1000
image,ssim_error,auroc,0.7603093333333333,0.7230163268635083,0.795761423694918,0.01788120032502467,1000
image,ssim_error,accuracy,0.596,0.566,0.6250249999999999,0.01582798142518484,1000
image,ssim_error,precision,0.9178743961352657,0.889648816144923,0.9437347969909767,0.013323191195475604,1000
image,ssim_error,recall,0.5066666666666667,0.47104081559886307,0.5432044783723954,0.018900570725097016,1000
image,ssim_error,f1,0.6529209621993127,0.6207994598165906,0.6826597727615367,0.016781725136564177,1000
image,ssim_error,fpr,0.136,0.09501860032550569,0.1814805399719495,0.021469701245424952,1000
image,mse_ssim_score,auroc,0.7698506666666667,0.7363704119705978,0.8035718956166965,0.017232219868728242,1000
image,mse_ssim_score,accuracy,0.609,0.576,0.639025,0.01579244456394594,1000
image,mse_ssim_score,precision,0.9203747072599532,0.8931972488223456,0.9436627648775536,0.01314040182281571,1000
image,mse_ssim_score,recall,0.524,0.4884015166279832,0.5619089846033911,0.018489477799149032,1000
image,mse_ssim_score,f1,0.6677994902293968,0.6355080175393675,0.7000864122661953,0.016267947921194473,1000
image,mse_ssim_score,fpr,0.136,0.09714996951839057,0.1787110884416829,0.021117508393966703,1000
image,retina_band_mse,auroc,0.9087573333333333,0.889815916425779,0.9269857659316159,0.009450880016656695,1000
image,retina_band_mse,accuracy,0.767,0.741,0.791,0.012993568902839323,1000
image,retina_band_mse,precision,0.983177570093458,0.9720530882123529,0.9925788497217068,0.005608328135373983,1000
image,retina_band_mse,recall,0.7013333333333334,0.6702572387446892,0.7310281307593534,0.01606685965880441,1000
image,retina_band_mse,f1,0.8186770428015564,0.79588525578907,0.839451895908187,0.011317818335345464,1000
image,retina_band_mse,fpr,0.036,0.015561197662364978,0.060878438331854474,0.01176212829444268,1000
image,retina_weighted_mse,auroc,0.9134026666666667,0.8949338788368436,0.9302437052035188,0.009161931155969655,1000
image,retina_weighted_mse,accuracy,0.777,0.748,0.801,0.013417053638125198,1000
image,retina_weighted_mse,precision,0.976491862567812,0.9630297117820223,0.9877230228951929,0.006378859825833505,1000
image,retina_weighted_mse,recall,0.72,0.6835675285407281,0.7496838521400778,0.016751378783929426,1000
image,retina_weighted_mse,f1,0.8288564850345357,0.8031978210116731,0.8494847564060154,0.011576411018723604,1000
image,retina_weighted_mse,fpr,0.052,0.02712398645638421,0.08368246917221167,0.014144898683643409,1000
image,topk_mse_5,auroc,0.9457119999999999,0.9311689018551181,0.9587707061129247,0.007230000514682135,1000
image,topk_mse_5,accuracy,0.799,0.772,0.8230249999999999,0.012928539404400282,1000
image,topk_mse_5,precision,0.9910554561717353,0.981948642455657,0.9982174688057041,0.0040757811245558054,1000
image,topk_mse_5,recall,0.7386666666666667,0.7059583171016751,0.7694386404425193,0.01622343847909019,1000
image,topk_mse_5,f1,0.8464476699770818,0.824355437618543,0.8662280048529473,0.01091565036140975,1000
