score_mode,class_name,sample_count,patient_count,mean_score,std_score,detected_count,detection_rate
mse,CNV,250,178,0.002837850452167913,0.0011842376840539106,244,0.976
mse,DME,250,167,0.0025649678476620465,0.00159623680612801,207,0.828
mse,DRUSEN,250,169,0.0012671170076355338,0.0006497893887258689,84,0.336
mse,NORMAL,250,171,0.000824567319243215,0.00028489070342926936,14,0.056
l1,CNV,250,178,0.03086018054932356,0.006313220331618591,227,0.908
l1,DME,250,167,0.029410393722355366,0.007810663002414918,186,0.744
l1,DRUSEN,250,169,0.021844385709613563,0.004110792571900448,67,0.268
l1,NORMAL,250,171,0.019485377587378026,0.003569686524707636,23,0.092
ssim_error,CNV,250,178,0.2778514292240143,0.06639788774629964,174,0.696
ssim_error,DME,250,167,0.2626341218948364,0.06864949074734385,147,0.588
ssim_error,DRUSEN,250,169,0.20578015685081483,0.056594209816670564,59,0.236
ssim_error,NORMAL,250,171,0.18810046362876892,0.0576056781154893,34,0.136
mse_ssim_score,CNV,250,178,0.057840567097067835,0.0139132533307767,180,0.72
mse_ssim_score,DME,250,167,0.05457879953831434,0.014659493957850144,151,0.604
mse_ssim_score,DRUSEN,250,169,0.04216972559690475,0.011555277959160903,62,0.248
mse_ssim_score,NORMAL,250,171,0.03827974721044302,0.011699887764816917,34,0.136
retina_band_mse,CNV,250,178,0.0032765981713309884,0.001268045006821982,241,0.964
retina_band_mse,DME,250,167,0.00302391766756773,0.0018797762574288995,203,0.812
retina_band_mse,DRUSEN,250,169,0.0015421741092577577,0.000855575296581217,82,0.328
retina_band_mse,NORMAL,250,171,0.0009950601680902764,0.0003460237045511598,9,0.036
retina_weighted_mse,CNV,250,178,0.0031338755208998917,0.001218708862320244,244,0.976
retina_weighted_mse,DME,250,167,0.0028720685003791003,0.0017672709732927422,205,0.82
retina_weighted_mse,DRUSEN,250,169,0.0014495537532493471,0.0007770888171060191,91,0.364
retina_weighted_mse,NORMAL,250,171,0.000934306415496394,0.00031417052277142083,13,0.052
topk_mse_5,CNV,250,178,0.03487546692788601,0.015723149879258366,247,0.988
topk_mse_5,DME,250,167,0.03082909394800663,0.02156408894624173,212,0.848
topk_mse_5,DRUSEN,250,169,0.01487517455406487,0.009851369848840275,95,0.38
topk_mse_5,NORMAL,250,171,0.007952942464500666,0.002933591637325519,5,0.02
topk_mse_10,CNV,250,178,0.02166996327787638,0.009326848031655146,247,0.988
topk_mse_10,DME,250,167,0.019303519524633883,0.012907211341708236,215,0.86
topk_mse_10,DRUSEN,250,169,0.009113682897761464,0.005594430778275437,95,0.38
topk_mse_10,NORMAL,250,171,0.005215903299860656,0.001776735226706569,9,0.036
ensemble_mse_l1,CNV,250,178,5.79518896044613,2.8371426878001227,242,0.968
ensemble_mse_l1,DME,250,167,5.128868033507239,3.7630278711644713,205,0.82
ensemble_mse_l1,DRUSEN,250,169,1.8795239610649974,1.5972648718303624,82,0.328
ensemble_mse_l1,NORMAL,250,171,0.7979783460614917,0.9200215321041426,21,0.084
ensemble_mse_l1_ssim,CNV,250,178,4.660698808456695,2.1521043062669447,235,0.94
ensemble_mse_l1_ssim,DME,250,167,4.138027148363271,2.7880791875316433,199,0.796
ensemble_mse_l1_ssim,DRUSEN,250,169,1.6786689143629472,1.2578191537176393,79,0.316
ensemble_mse_l1_ssim,NORMAL,250,171,0.8664851752927515,0.8861352273513204,21,0.084
ensemble_mse_retina,CNV,250,178,6.9665830626292955,3.601372924783186,245,0.98
ensemble_mse_retina,DME,250,167,6.166746372710321,5.096573336540125,206,0.824
ensemble_mse_retina,DRUSEN,250,169,2.022470360709866,2.178960014724249,93,0.372
ensemble_mse_retina,NORMAL,250,171,0.5584658385507707,0.8986222839023548,16,0.064
ensemble_mse_ssim_topk,CNV,250,178,6.621738808823719,3.349868580392428,245,0.98
ensemble_mse_ssim_topk,DME,250,167,5.7614986971232245,4.5399795157887315,211,0.844
ensemble_mse_ssim_topk,DRUSEN,250,169,2.1187766372567043,1.9778755905778196,93,0.372
ensemble_mse_ssim_topk,NORMAL,250,171,0.7194376636574903,0.8485230174786932,14,0.056
ensemble_l1_ssim_topk,CNV,250,178,5.141450126101332,2.3738063013184028,244,0.976
ensemble_l1_ssim_topk,DME,250,167,4.494077957419827,3.1910957121213412,209,0.836
ensemble_l1_ssim_topk,DRUSEN,250,169,1.8102589883402738,1.471558311404246,91,0.364
ensemble_l1_ssim_topk,NORMAL,250,171,0.7555177641532351,0.7745677240097243,21,0.084
ensemble_mse_l1_retina,CNV,250,178,5.83597402054038,2.853760783475892,243,0.972
ensemble_mse_l1_retina,DME,250,167,5.187076556457595,3.9754474834076756,205,0.82
ensemble_mse_l1_retina,DRUSEN,250,169,1.820562736370028,1.7173429531719513,87,0.348
ensemble_mse_l1_retina,NORMAL,250,171,0.6563433913022167,0.8548601193055805,19,0.076
ensemble_all_base,CNV,250,178,6.001190194785913,2.9173185321808455,245,0.98
ensemble_all_base,DME,250,167,5.274544658152704,4.0491808084612915,209,0.836
ensemble_all_base,DRUSEN,250,169,1.9188212437582826,1.784223908783207,96,0.384
ensemble_all_base,NORMAL,250,171,0.6735248531563308,0.8135331618434971,19,0.076
