patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
mean,mse,CNV,178,250,0.00284490976173601,0.001084270689239412,176,0.9887640449438202
mean,mse,DME,167,250,0.002506522751762525,0.001507529997933733,154,0.9221556886227545
mean,mse,DRUSEN,169,250,0.001254706911073191,0.0006371300942902396,97,0.5739644970414202
mean,mse,NORMAL,171,250,0.000818828867184862,0.00026755418026454025,20,0.11695906432748537
mean,l1,CNV,178,250,0.03101976465474737,0.005989007623340743,172,0.9662921348314607
mean,l1,DME,167,250,0.029131515674512564,0.007683681015037743,146,0.874251497005988
mean,l1,DRUSEN,169,250,0.021822204333341182,0.003960831675231372,85,0.5029585798816568
mean,l1,NORMAL,171,250,0.019352443259006015,0.00324857428950117,41,0.23976608187134502
mean,ssim_error,CNV,178,250,0.2821632726245442,0.06418088491230295,164,0.9213483146067416
mean,ssim_error,DME,167,250,0.2609102964695174,0.0697193128415642,133,0.7964071856287425
mean,ssim_error,DRUSEN,169,250,0.2072810447440244,0.05283416628332229,80,0.47337278106508873
mean,ssim_error,NORMAL,171,250,0.18541067872944395,0.051631937076818624,48,0.2807017543859649
mean,mse_ssim_score,CNV,178,250,0.05870858328158502,0.013417663467168604,167,0.9382022471910112
mean,mse_ssim_score,DME,167,250,0.05418727827956376,0.014877061494970761,135,0.8083832335329342
mean,mse_ssim_score,DRUSEN,169,250,0.042459975087459176,0.010822250766698276,82,0.48520710059171596
mean,mse_ssim_score,NORMAL,171,250,0.03773719952015118,0.010485292681265882,48,0.2807017543859649
mean,retina_band_mse,CNV,178,250,0.003274517814856606,0.0011531676592508393,176,0.9887640449438202
mean,retina_band_mse,DME,167,250,0.0029676356436817647,0.0017764525500428485,152,0.9101796407185628
mean,retina_band_mse,DRUSEN,169,250,0.0015438180345031369,0.0008695703938556536,100,0.591715976331361
mean,retina_band_mse,NORMAL,171,250,0.0009927141035193485,0.0003198421608834919,19,0.1111111111111111
mean,retina_weighted_mse,CNV,178,250,0.00313709383587257,0.001116217401806084,176,0.9887640449438202
mean,retina_weighted_mse,DME,167,250,0.002815136726949909,0.0016760806557161241,153,0.9161676646706587
mean,retina_weighted_mse,DRUSEN,169,250,0.0014457729711303488,0.0007812237877840407,101,0.5976331360946746
mean,retina_weighted_mse,NORMAL,171,250,0.0009308325080869967,0.0002949284083373325,23,0.13450292397660818
mean,topk_mse_5,CNV,178,250,0.034872699709536804,0.014173746031452807,177,0.9943820224719101
mean,topk_mse_5,DME,167,250,0.030019986952840975,0.01997487822504931,156,0.9341317365269461
mean,topk_mse_5,DRUSEN,169,250,0.014636953874197242,0.009479970666873916,96,0.5680473372781065
mean,topk_mse_5,NORMAL,171,250,0.007975050816893326,0.0030213789911410147,13,0.07602339181286549
mean,topk_mse_10,CNV,178,250,0.02164936228143554,0.008442283858764587,176,0.9887640449438202
mean,topk_mse_10,DME,167,250,0.01880336369298572,0.012006602757012543,155,0.9281437125748503
mean,topk_mse_10,DRUSEN,169,250,0.008980312140763547,0.0054419828464352905,94,0.5562130177514792
mean,topk_mse_10,NORMAL,171,250,0.005212506281663966,0.001778671884359027,13,0.07602339181286549
mean,ensemble_mse_l1,CNV,178,250,5.827036614517246,2.6195542517525507,176,0.9887640449438202
mean,ensemble_mse_l1,DME,167,250,4.989943373353651,3.598023478016019,154,0.9221556886227545
mean,ensemble_mse_l1,DRUSEN,169,250,1.8544573368672173,1.567336780107247,102,0.6035502958579881
mean,ensemble_mse_l1,NORMAL,171,250,0.7717055174430109,0.8479766561342041,32,0.1871345029239766
mean,ensemble_mse_l1_ssim,CNV,178,250,4.704161669488254,2.000622984023344,175,0.9831460674157303
mean,ensemble_mse_l1_ssim,DME,167,250,4.036522973373392,2.6965156996362816,151,0.9041916167664671
mean,ensemble_mse_l1_ssim,DRUSEN,169,250,1.6696961404991715,1.2313428157735944,94,0.5562130177514792
mean,ensemble_mse_l1_ssim,NORMAL,171,250,0.8351019074320022,0.8047908584998147,38,0.2222222222222222
mean,ensemble_mse_retina,CNV,178,250,6.976804013896684,3.3007636299083347,176,0.9887640449438202
mean,ensemble_mse_retina,DME,167,250,5.992810878415582,4.826132873359668,153,0.9161676646706587
mean,ensemble_mse_retina,DRUSEN,169,250,2.0020558778656805,2.1742964195010646,101,0.5976331360946746
mean,ensemble_mse_retina,NORMAL,171,250,0.5452518605565694,0.8446419159518049,21,0.12280701754385964
mean,ensemble_mse_ssim_topk,CNV,178,250,6.65215909697343,3.0448781552449105,176,0.9887640449438202
mean,ensemble_mse_ssim_topk,DME,167,250,5.591615628260488,4.285783522479208,154,0.9221556886227545
mean,ensemble_mse_ssim_topk,DRUSEN,169,250,2.084890108148756,1.9309152903268016,111,0.6568047337278107
mean,ensemble_mse_ssim_topk,NORMAL,171,250,0.7011371187515555,0.8036868387525574,22,0.1286549707602339
mean,ensemble_l1_ssim_topk,CNV,178,250,5.176103868506612,2.1630652515542876,177,0.9943820224719101
mean,ensemble_l1_ssim_topk,DME,167,250,4.372310080639125,3.0432392942417863,153,0.9161676646706587
mean,ensemble_l1_ssim_topk,DRUSEN,169,250,1.7895440058982466,1.436641040716958,109,0.6449704142011834
mean,ensemble_l1_ssim_topk,NORMAL,171,250,0.7335197843972279,0.7215390348180579,28,0.16374269005847952
mean,ensemble_mse_l1_retina,CNV,178,250,5.855520599870129,2.6306000451300924,176,0.9887640449438202
mean,ensemble_mse_l1_retina,DME,167,250,5.048868936250924,3.7952419247273106,152,0.9101796407185628
mean,ensemble_mse_l1_retina,DRUSEN,169,250,1.8051833130742714,1.7109542958674706,102,0.6035502958579881
mean,ensemble_mse_l1_retina,NORMAL,171,250,0.6369277456748861,0.7952924935425755,25,0.14619883040935672
mean,ensemble_all_base,CNV,178,250,6.02478957274361,2.664954424696988,176,0.9887640449438202
mean,ensemble_all_base,DME,167,250,5.127653116017569,3.84554427733268,154,0.9221556886227545
mean,ensemble_all_base,DRUSEN,169,250,1.8984156975820317,1.76367273531286,109,0.6449704142011834
mean,ensemble_all_base,NORMAL,171,250,0.6553241094300037,0.7636652421997457,24,0.14035087719298245
max,mse,CNV,178,250,0.0030078478180410456,0.001264216723787808,118,0.6629213483146067
max,mse,DME,167,250,0.0027666874093973436,0.0017671222205335204,80,0.47904191616766467
max,mse,DRUSEN,169,250,0.0013461871528666876,0.0007330518347114266,16,0.09467455621301775
max,mse,NORMAL,171,250,0.0008659987819002029,0.0003126854019019594,1,0.005847953216374269
max,l1,CNV,178,250,0.03187730243910895,0.0064169207291738615,93,0.5224719101123596
max,l1,DME,167,250,0.030354493961273505,0.00859065679325842,71,0.4251497005988024
max,l1,DRUSEN,169,250,0.02246519879123864,0.004317612157354828,7,0.04142011834319527
max,l1,NORMAL,171,250,0.019989203236866367,0.0037724775080390303,3,0.017543859649122806
max,ssim_error,CNV,178,250,0.29073952188652546,0.06642283028114324,42,0.23595505617977527
max,ssim_error,DME,167,250,0.2703305415050712,0.07472372855703702,27,0.16167664670658682
max,ssim_error,DRUSEN,169,250,0.21685935230650136,0.05853812493816796,5,0.029585798816568046
max,ssim_error,NORMAL,171,250,0.19527094545420146,0.05971388563296823,6,0.03508771929824561
