patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,topk_mse_5,0.011641327277757222,0.9456320600988759,0.8488188976377953,0.96875,0.8292181069958847,0.893569844789357,0.087248322147651,136,13,83,403
top2_mean,topk_mse_5,0.025467436201870426,0.9438506366172287,0.5811023622047244,0.9954954954954955,0.4547325102880658,0.6242937853107344,0.006711409395973154,148,1,265,221
max,topk_mse_5,0.02911304626613854,0.9422211174634739,0.5354330708661418,0.9948186528497409,0.3950617283950617,0.5655375552282769,0.006711409395973154,148,1,294,192
mean,topk_mse_10,0.007342472488314581,0.9372635125804402,0.84251968503937,0.9684466019417476,0.8209876543209876,0.888641425389755,0.087248322147651,136,13,87,399
top2_mean,topk_mse_10,0.014809709414839743,0.9356339934266854,0.6094488188976378,0.9958333333333333,0.49176954732510286,0.6584022038567493,0.006711409395973154,148,1,247,239
max,topk_mse_10,0.017001609504222866,0.9339078078824538,0.5779527559055118,0.9954545454545455,0.4506172839506173,0.6203966005665722,0.006711409395973154,148,1,267,219
mean,ensemble_mse_ssim_topk,1.3954233183713163,0.9191454691081835,0.8551181102362204,0.9539170506912442,0.8518518518518519,0.9,0.1342281879194631,129,20,72,414
top2_mean,ensemble_mse_ssim_topk,4.300093754834732,0.9175988068605518,0.6015748031496063,0.9957446808510638,0.48148148148148145,0.6490984743411928,0.006711409395973154,148,1,252,234
mean,ensemble_mse_retina,1.3090256235238735,0.9170464274863978,0.84251968503937,0.9530516431924883,0.8353909465020576,0.8903508771929824,0.1342281879194631,129,20,80,406
mean,retina_weighted_mse,0.001187261253799079,0.9161902394564588,0.8393700787401575,0.9507042253521126,0.8333333333333334,0.8881578947368421,0.14093959731543623,128,21,81,405
top2_mean,ensemble_mse_retina,4.171566868573908,0.9157069075040739,0.6267716535433071,0.9920948616600791,0.5164609053497943,0.6792963464140731,0.013422818791946308,147,2,235,251
top2_mean,retina_weighted_mse,0.0021816026186570517,0.9154030988482891,0.6220472440944882,0.992,0.5102880658436214,0.6739130434782609,0.013422818791946308,147,2,238,248
mean,mse,0.001070038299808601,0.9144088159748116,0.8362204724409449,0.9547619047619048,0.8251028806584362,0.8852097130242825,0.12751677852348994,130,19,85,401
mean,ensemble_all_base,1.2933789156601958,0.9144088159748115,0.8535433070866142,0.9517241379310345,0.8518518518518519,0.8990228013029316,0.14093959731543623,128,21,72,414
max,ensemble_mse_ssim_topk,5.1568398415351036,0.9143535780373961,0.5669291338582677,1.0,0.43415637860082307,0.6054519368723099,0.0,149,0,275,211
top2_mean,mse,0.002000665524974465,0.9129312011489491,0.6062992125984252,0.9916666666666667,0.4897119341563786,0.6556473829201102,0.013422818791946308,147,2,248,238
top2_mean,ensemble_all_base,3.681753483997415,0.9127931063054106,0.6220472440944882,0.9880952380952381,0.5123456790123457,0.6747967479674797,0.020134228187919462,146,3,237,249
max,retina_weighted_mse,0.0024879860458895554,0.9126964399149335,0.5826771653543307,0.9911111111111112,0.4588477366255144,0.6272855133614628,0.013422818791946308,147,2,263,223
max,ensemble_mse_retina,5.224295648057224,0.9126412019775183,0.5716535433070866,0.9953703703703703,0.44238683127572015,0.6125356125356125,0.006711409395973154,148,1,271,215
