patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,95,mse,0.0010700409715022122,0.9166040912917832,0.8437956204379562,0.9552572706935123,0.830739299610895,0.8886576482830385,0.11695906432748537,151,20,87,427
mean,97,mse,0.0011448323391635977,0.9166040912917832,0.8145985401459854,0.9640287769784173,0.7821011673151751,0.8635875402792696,0.08771929824561403,156,15,112,402
mean,99,mse,0.0013736160024398153,0.9166040912917832,0.7562043795620438,0.9859943977591037,0.6848249027237354,0.8082663605051664,0.029239766081871343,166,5,162,352
mean,95,l1,0.021205896964501075,0.8601497258060846,0.7781021897810219,0.9076576576576577,0.7840466926070039,0.8413361169102297,0.23976608187134502,130,41,111,403
mean,97,l1,0.022406552473083072,0.8601497258060846,0.762043795620438,0.9443037974683545,0.72568093385214,0.8206820682068207,0.1286549707602339,149,22,141,373
mean,99,l1,0.02326909465884615,0.8601497258060846,0.7328467153284671,0.9559228650137741,0.6750972762645915,0.7913340935005702,0.0935672514619883,155,16,167,347
mean,95,ssim_error,0.20415814171234759,0.7892916467563202,0.7299270072992701,0.8870588235294118,0.7334630350194552,0.8029818956336529,0.2807017543859649,123,48,137,377
mean,97,ssim_error,0.22078233408927914,0.7892916467563202,0.6773722627737226,0.9035812672176309,0.6381322957198443,0.7480045610034207,0.2046783625730994,136,35,186,328
mean,99,ssim_error,0.23356177349885304,0.7892916467563202,0.6452554744525547,0.9274447949526814,0.5719844357976653,0.7075812274368231,0.13450292397660818,148,23,220,294
mean,95,mse_ssim_score,0.041557154571637465,0.7974719548547113,0.7401459854014598,0.8888888888888888,0.7470817120622568,0.8118393234672304,0.2807017543859649,123,48,130,384
mean,97,mse_ssim_score,0.04492391768842929,0.7974719548547113,0.691970802919708,0.9061662198391421,0.6575875486381323,0.762119503945885,0.2046783625730994,136,35,176,338
mean,99,mse_ssim_score,0.04777741498003399,0.7974719548547113,0.6554744525547446,0.9316770186335404,0.5836575875486382,0.7177033492822966,0.1286549707602339,149,22,214,300
mean,95,retina_band_mse,0.001280224998291717,0.9149429995221516,0.8467153284671532,0.9574944071588367,0.8326848249027238,0.890738813735692,0.1111111111111111,152,19,86,428
mean,97,retina_band_mse,0.0013603832044560603,0.9149429995221516,0.8277372262773722,0.9669811320754716,0.7976653696498055,0.8742004264392325,0.08187134502923976,157,14,104,410
mean,99,retina_band_mse,0.0017568076124362438,0.9149429995221516,0.7372262773722628,0.9854651162790697,0.6595330739299611,0.7902097902097902,0.029239766081871343,166,5,175,339
mean,95,retina_weighted_mse,0.0011872605912503313,0.9189250688329124,0.8437956204379562,0.9492273730684326,0.8365758754863813,0.889348500517063,0.13450292397660818,148,23,84,430
mean,97,retina_weighted_mse,0.0012784910524884334,0.9189250688329124,0.8335766423357664,0.9672897196261683,0.8054474708171206,0.8789808917197452,0.08187134502923976,157,14,100,414
mean,99,retina_weighted_mse,0.0015831008193093257,0.9189250688329124,0.7562043795620438,0.9887323943661972,0.6828793774319066,0.807825086306099,0.023391812865497075,167,4,163,351
mean,95,topk_mse_5,0.011641367250122077,0.9484834004596446,0.8569343065693431,0.9705882352941176,0.8346303501945526,0.897489539748954,0.07602339181286549,158,13,85,429
mean,97,topk_mse_5,0.01240687795076514,0.9484834004596446,0.8364963503649635,0.9740566037735849,0.8035019455252919,0.8805970149253731,0.06432748538011696,160,11,101,413
mean,99,topk_mse_5,0.016237864795244333,0.9484834004596446,0.7576642335766424,0.9915254237288136,0.6828793774319066,0.8087557603686636,0.017543859649122806,168,3,163,351
mean,95,topk_mse_10,0.007342403627593355,0.9397114706350832,0.8510948905109489,0.9703196347031964,0.8268482490272373,0.8928571428571429,0.07602339181286549,158,13,89,425
mean,97,topk_mse_10,0.007855192639399272,0.9397114706350832,0.8291970802919708,0.9737470167064439,0.7937743190661478,0.8745980707395499,0.06432748538011696,160,11,106,408
mean,99,topk_mse_10,0.009813049584627101,0.9397114706350832,0.7635036496350365,0.9888888888888889,0.6926070038910506,0.8146453089244852,0.023391812865497075,167,4,158,356
mean,95,ensemble_mse_l1,1.3938598725936677,0.8986165153480329,0.8335766423357664,0.9310344827586207,0.8404669260700389,0.8834355828220859,0.1871345029239766,139,32,82,432
mean,97,ensemble_mse_l1,1.6768705779726156,0.8986165153480329,0.7912408759124088,0.9535452322738386,0.7587548638132295,0.8450704225352113,0.1111111111111111,152,19,124,390
mean,99,ensemble_mse_l1,2.1062848364273887,0.8986165153480329,0.7576642335766424,0.9728260869565217,0.6964980544747081,0.8117913832199547,0.05847953216374269,161,10,156,358
mean,95,ensemble_mse_l1_ssim,1.3157159337089464,0.8836780667622363,0.8072992700729927,0.9170305676855895,0.8171206225680934,0.8641975308641975,0.2222222222222222,133,38,94,420
mean,97,ensemble_mse_l1_ssim,1.619507320850462,0.8836780667622363,0.7839416058394161,0.9485294117647058,0.7529182879377432,0.8394793926247288,0.12280701754385964,150,21,127,387
mean,99,ensemble_mse_l1_ssim,2.0329781939730602,0.8836780667622363,0.7445255474452555,0.9695290858725761,0.6809338521400778,0.8,0.06432748538011696,160,11,164,350
mean,95,ensemble_mse_retina,1.3090291217891237,0.9194370491728673,0.8467153284671532,0.9534368070953437,0.8365758754863813,0.8911917098445595,0.12280701754385964,150,21,84,430
mean,97,ensemble_mse_retina,1.560026892682575,0.9194370491728673,0.8262773722627738,0.966903073286052,0.7957198443579766,0.8729989327641409,0.08187134502923976,157,14,105,409
mean,99,ensemble_mse_retina,2.3772817598451,0.9194370491728673,0.7576642335766424,0.9887640449438202,0.6848249027237354,0.8091954022988506,0.023391812865497075,167,4,162,352
mean,95,ensemble_mse_ssim_topk,1.3953287341015703,0.9214963478735752,0.8613138686131386,0.9524838012958964,0.857976653696498,0.9027635619242579,0.1286549707602339,149,22,73,441
mean,97,ensemble_mse_ssim_topk,1.6305418541391576,0.9214963478735752,0.8306569343065694,0.9649532710280374,0.8035019455252919,0.8768577494692145,0.08771929824561403,156,15,101,413
mean,99,ensemble_mse_ssim_topk,2.2334994356058777,0.9214963478735752,0.7737226277372263,0.9812332439678284,0.7120622568093385,0.8252536640360767,0.04093567251461988,164,7,148,366
mean,95,ensemble_l1_ssim_topk,1.272135378942386,0.9096639133501718,0.8496350364963504,0.9400428265524625,0.8540856031128404,0.8950050968399592,0.16374269005847952,143,28,75,439
mean,97,ensemble_l1_ssim_topk,1.4702563265733646,0.9096639133501718,0.8306569343065694,0.9502262443438914,0.8171206225680934,0.8786610878661087,0.1286549707602339,149,22,94,420
mean,99,ensemble_l1_ssim_topk,1.8508104257438873,0.9096639133501718,0.7781021897810219,0.9689119170984456,0.7276264591439688,0.8311111111111111,0.07017543859649122,159,12,140,374
mean,95,ensemble_mse_l1_retina,1.2860895552322251,0.908116594989419,0.8408759124087591,0.945054945054945,0.8365758754863813,0.8875128998968008,0.14619883040935672,146,25,84,430
mean,97,ensemble_mse_l1_retina,1.5218569694883217,0.908116594989419,0.8204379562043795,0.9665871121718377,0.7879377431906615,0.8681672025723473,0.08187134502923976,157,14,109,405
