score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
topk_mse_5,0.014186699502170084,0.9457119999999999,0.799,0.9910554561717353,0.7386666666666667,0.8464476699770818,0.02,245,5,196,554
topk_mse_10,0.0088164035230875,0.9371333333333334,0.798,0.9840989399293286,0.7426666666666667,0.8465045592705167,0.036,241,9,193,557
ensemble_mse_ssim_topk,2.0609811283926196,0.915872,0.785,0.9751332149200711,0.732,0.8362528560548362,0.056,236,14,201,549
ensemble_mse_retina,2.029400431033091,0.9142026666666667,0.778,0.9714285714285714,0.7253333333333334,0.8305343511450382,0.064,234,16,206,544
retina_weighted_mse,0.0014560784911736846,0.9134026666666667,0.777,0.976491862567812,0.72,0.8288564850345357,0.052,237,13,210,540
mse,0.0012786962324753401,0.9112159999999999,0.771,0.9744990892531876,0.7133333333333334,0.8237105465742879,0.056,236,14,215,535
ensemble_all_base,1.9074160166492877,0.910432,0.781,0.9666080843585237,0.7333333333333333,0.8339651250947687,0.076,231,19,200,550
retina_band_mse,0.001596227893605828,0.9087573333333333,0.767,0.983177570093458,0.7013333333333334,0.8186770428015564,0.036,241,9,224,526
ensemble_l1_ssim_topk,1.8590802745809105,0.9019733333333334,0.773,0.9628318584070796,0.7253333333333334,0.8273764258555133,0.084,229,21,206,544
ensemble_mse_l1_retina,1.9149782135994229,0.9017226666666667,0.766,0.9657039711191335,0.7133333333333334,0.8205521472392638,0.076,231,19,215,535
ensemble_mse_l1,2.0572965418700413,0.8910399999999998,0.758,0.9618181818181818,0.7053333333333334,0.8138461538461539,0.084,229,21,221,529
ensemble_mse_l1_ssim,1.9466688712356892,0.8729226666666667,0.742,0.9606741573033708,0.684,0.7990654205607477,0.084,229,21,237,513
l1,0.023648969829082486,0.847216,0.707,0.9542743538767395,0.64,0.7661612130885874,0.092,227,23,270,480
mse_ssim_score,0.04958895817399023,0.7698506666666667,0.609,0.9203747072599532,0.524,0.6677994902293968,0.136,216,34,357,393
ssim_error,0.2433544874191283,0.7603093333333333,0.596,0.9178743961352657,0.5066666666666667,0.6529209621993127,0.136,216,34,370,380
