score_mode,class_name,sample_count,patient_count,mean_score,std_score,detected_count,detection_rate
mse,CNV,250,178,0.002770628207363188,0.0011802230329725765,246,0.984
mse,DME,250,167,0.002497259012190625,0.0015553475069945257,208,0.832
mse,DRUSEN,250,169,0.0012249035981949418,0.0006335326788374752,92,0.368
mse,NORMAL,250,171,0.000793866808875464,0.00027597345616748204,17,0.068
l1,CNV,250,178,0.030595070295035838,0.006245334694098748,228,0.912
l1,DME,250,167,0.029132574684917926,0.007824363738415,187,0.748
l1,DRUSEN,250,169,0.021566895194351673,0.004035052063518812,71,0.284
l1,NORMAL,250,171,0.01924940637499094,0.0035361550292056544,22,0.088
ssim_error,CNV,250,178,0.27650046372413634,0.06624931016529127,176,0.704
ssim_error,DME,250,167,0.2611029510498047,0.06914261228617094,146,0.584
ssim_error,DRUSEN,250,169,0.20466619777679443,0.05668806126957336,57,0.228
ssim_error,NORMAL,250,171,0.18691038370132446,0.05753890163839931,35,0.14
mse_ssim_score,CNV,250,178,0.05751659636199474,0.013878890304650239,182,0.728
mse_ssim_score,DME,250,167,0.054218398325145245,0.014753718801276648,151,0.604
mse_ssim_score,DRUSEN,250,169,0.041913163103163245,0.011564056147555462,60,0.24
mse_ssim_score,NORMAL,250,171,0.03801717068254948,0.011683698604887046,35,0.14
retina_band_mse,CNV,250,178,0.0032029042011126876,0.0012794640707772481,243,0.972
retina_band_mse,DME,250,167,0.002948226497275755,0.0018431719195607604,203,0.812
retina_band_mse,DRUSEN,250,169,0.0014943756746361033,0.0008512834892316068,88,0.352
retina_band_mse,NORMAL,250,171,0.0009565072305267677,0.0003310193160393296,11,0.044
retina_weighted_mse,CNV,250,178,0.003062300510238856,0.0012268444901125158,244,0.976
retina_weighted_mse,DME,250,167,0.0027992487573064865,0.0017315834165750746,205,0.82
retina_weighted_mse,DRUSEN,250,169,0.0014035079154418781,0.000769006378208986,96,0.384
retina_weighted_mse,NORMAL,250,171,0.0008984727017814294,0.0003016568698029821,13,0.052
topk_mse_5,CNV,250,178,0.03380477340146899,0.015912135539867738,248,0.992
topk_mse_5,DME,250,167,0.029727833064273,0.02068453730780383,212,0.848
topk_mse_5,DRUSEN,250,169,0.014254127498716115,0.009702739610545406,102,0.408
topk_mse_5,NORMAL,250,171,0.007499422162771225,0.0027538389103227727,8,0.032
topk_mse_10,CNV,250,178,0.021066281989216805,0.009339126542082982,248,0.992
topk_mse_10,DME,250,167,0.018688531612977385,0.01247027337246833,214,0.856
topk_mse_10,DRUSEN,250,169,0.00876475526764989,0.005513348397423572,100,0.4
topk_mse_10,NORMAL,250,171,0.00495930032338947,0.0016888318950708209,10,0.04
ensemble_mse_l1,CNV,250,178,5.897650399793949,2.902803447254395,241,0.964
ensemble_mse_l1,DME,250,167,5.2088011661584925,3.8076696058732447,205,0.82
ensemble_mse_l1,DRUSEN,250,169,1.910911226706593,1.5993081720738356,85,0.34
ensemble_mse_l1,NORMAL,250,171,0.8233741476020131,0.9247110217864675,21,0.084
ensemble_mse_l1_ssim,CNV,250,178,4.726706659345929,2.1937970845092956,236,0.944
ensemble_mse_l1_ssim,DME,250,167,4.188318210114821,2.8234304166785176,198,0.792
ensemble_mse_l1_ssim,DRUSEN,250,169,1.6995945126594882,1.258516689920904,83,0.332
ensemble_mse_l1_ssim,NORMAL,250,171,0.8832905962622525,0.8892775146878381,22,0.088
ensemble_mse_retina,CNV,250,178,7.074851291303784,3.7210657054361715,244,0.976
ensemble_mse_retina,DME,250,167,6.246810721963877,5.133673267369962,206,0.824
ensemble_mse_retina,DRUSEN,250,169,2.0596388496073823,2.2093774740269776,99,0.396
ensemble_mse_retina,NORMAL,250,171,0.5848754334799477,0.8917180996362218,14,0.056
ensemble_mse_ssim_topk,CNV,250,178,6.80951724215274,3.5299287256680514,246,0.984
ensemble_mse_ssim_topk,DME,250,167,5.902017407854718,4.623465880179955,212,0.848
ensemble_mse_ssim_topk,DRUSEN,250,169,2.1747910713648606,2.0359868707297943,103,0.412
ensemble_mse_ssim_topk,NORMAL,250,171,0.7384289212291199,0.853689538459915,17,0.068
ensemble_l1_ssim_topk,CNV,250,178,5.289310389846394,2.4987201098609866,244,0.976
ensemble_l1_ssim_topk,DME,250,167,4.605245298105709,3.2644534569423835,208,0.832
ensemble_l1_ssim_topk,DRUSEN,250,169,1.8567982022082445,1.5103826067760555,95,0.38
ensemble_l1_ssim_topk,NORMAL,250,171,0.7718121875506986,0.7793150685068745,21,0.084
ensemble_mse_l1_retina,CNV,250,178,5.922347567980667,2.9287518540791466,243,0.972
ensemble_mse_l1_retina,DME,250,167,5.252421481820911,4.009624003548569,205,0.82
ensemble_mse_l1_retina,DRUSEN,250,169,1.8510665407288114,1.7296076460848244,95,0.38
ensemble_mse_l1_retina,NORMAL,250,171,0.681066638014759,0.8534769383795913,18,0.072
ensemble_all_base,CNV,250,178,6.135195327311775,3.043612592388317,245,0.98
ensemble_all_base,DME,250,167,5.374738361064659,4.111919579582923,211,0.844
ensemble_all_base,DRUSEN,250,169,1.9610252684799403,1.8250370879839246,99,0.396
ensemble_all_base,NORMAL,250,171,0.6921077284104844,0.8144691186243186,18,0.072
