patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
mean,mse,CNV,178,250,0.002775970130251249,0.001062875797089378,177,0.9943820224719101
mean,mse,DME,167,250,0.0024529694965016225,0.001493013300079951,153,0.9161676646706587
mean,mse,DRUSEN,169,250,0.0012132588983084526,0.0006134184587466132,103,0.6094674556213018
mean,mse,NORMAL,171,250,0.0007864168157574556,0.0002566457000209686,22,0.1286549707602339
mean,l1,CNV,178,250,0.0307523722978227,0.0059516053171949895,173,0.9719101123595506
mean,l1,DME,167,250,0.028878473092141296,0.007677267844603162,146,0.874251497005988
mean,l1,DRUSEN,169,250,0.021561490431062057,0.003895609044629952,88,0.5207100591715976
mean,l1,NORMAL,171,250,0.019109435311153705,0.0032052836380278473,43,0.25146198830409355
mean,ssim_error,CNV,178,250,0.280874508121081,0.06401230373527243,163,0.9157303370786517
mean,ssim_error,DME,167,250,0.25950807790472374,0.07019437550754326,133,0.7964071856287425
mean,ssim_error,DRUSEN,169,250,0.20623728601058863,0.052858086172173344,81,0.47928994082840237
mean,ssim_error,NORMAL,171,250,0.18416940047610805,0.051528108080020965,47,0.27485380116959063
mean,mse_ssim_score,CNV,178,250,0.05839567878043357,0.013378578909741224,166,0.9325842696629213
mean,mse_ssim_score,DME,167,250,0.05386399217942825,0.01497079322650445,135,0.8083832335329342
mean,mse_ssim_score,DRUSEN,169,250,0.04221806497895388,0.010815262016250732,85,0.5029585798816568
mean,mse_ssim_score,NORMAL,171,250,0.03746301403004117,0.010461276070185365,47,0.27485380116959063
mean,retina_band_mse,CNV,178,250,0.003198019053382611,0.0011385045658746133,176,0.9887640449438202
mean,retina_band_mse,DME,167,250,0.0029070940530453032,0.0017719381376951951,151,0.9041916167664671
mean,retina_band_mse,DRUSEN,169,250,0.0014965595912486498,0.0008559378875644623,100,0.591715976331361
mean,retina_band_mse,NORMAL,171,250,0.0009516559182448389,0.0003012889816211835,21,0.12280701754385964
mean,retina_weighted_mse,CNV,178,250,0.0030629628698720006,0.0010994581497310828,177,0.9943820224719101
mean,retina_weighted_mse,DME,167,250,0.002757060633041402,0.001669370503364794,152,0.9101796407185628
mean,retina_weighted_mse,DRUSEN,169,250,0.001400344044992796,0.0007641789093864872,103,0.6094674556213018
mean,retina_weighted_mse,NORMAL,171,250,0.0008927763378273489,0.0002792867041226105,21,0.12280701754385964
mean,topk_mse_5,CNV,178,250,0.03376402561486232,0.013791140462264881,178,1.0
mean,topk_mse_5,DME,167,250,0.029196766555966265,0.01975568983878775,157,0.9401197604790419
mean,topk_mse_5,DRUSEN,169,250,0.01400850821435734,0.009109018306928021,102,0.6035502958579881
mean,topk_mse_5,NORMAL,171,250,0.007491754447736326,0.0027916013242162805,13,0.07602339181286549
mean,topk_mse_10,CNV,178,250,0.0210274983502699,0.008213750751391816,178,1.0
mean,topk_mse_10,DME,167,250,0.018331737492317274,0.011881120625352043,156,0.9341317365269461
mean,topk_mse_10,DRUSEN,169,250,0.008633385848465343,0.005268237899946826,103,0.6094674556213018
mean,topk_mse_10,NORMAL,171,250,0.004939955484678471,0.0016646522099849537,15,0.08771929824561403
mean,ensemble_mse_l1,CNV,178,250,5.9266767782725545,2.654971001872359,177,0.9943820224719101
mean,ensemble_mse_l1,DME,167,250,5.095123527341395,3.6800321439125767,153,0.9161676646706587
mean,ensemble_mse_l1,DRUSEN,169,250,1.8884479912202154,1.5583392283352773,99,0.5857988165680473
mean,ensemble_mse_l1,NORMAL,171,250,0.7924952061802675,0.8467633731436506,29,0.1695906432748538
mean,ensemble_mse_l1_ssim,CNV,178,250,4.768543692371439,2.024426967276551,176,0.9887640449438202
mean,ensemble_mse_l1_ssim,DME,167,250,4.104334184005467,2.7540968037972156,152,0.9101796407185628
mean,ensemble_mse_l1_ssim,DRUSEN,169,250,1.692695682283251,1.2252269144262498,96,0.5680473372781065
mean,ensemble_mse_l1_ssim,NORMAL,171,250,0.8486137720789296,0.8042037754927356,40,0.23391812865497075
mean,ensemble_mse_retina,CNV,178,250,7.07879414737604,3.343789692807615,177,0.9943820224719101
mean,ensemble_mse_retina,DME,167,250,6.112816752724487,4.94106145853945,154,0.9221556886227545
mean,ensemble_mse_retina,DRUSEN,169,250,2.0405392820992603,2.17849958177385,105,0.621301775147929
