patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,topk_mse_5,0.010732447741967101,0.9515552824993742,0.8686131386861314,0.9711111111111111,0.8501945525291829,0.9066390041493776,0.07602339181286549,158,13,77,437
top2_mean,topk_mse_5,0.022814131435006855,0.9476983639383803,0.6204379562043796,0.99609375,0.4961089494163424,0.6623376623376623,0.005847953216374269,170,1,259,255
max,topk_mse_5,0.02554340362548827,0.9444671991262201,0.5912408759124088,0.9957627118644068,0.4571984435797665,0.6266666666666667,0.005847953216374269,170,1,279,235
mean,topk_mse_10,0.006822823793294706,0.9431132955605616,0.8656934306569343,0.9668141592920354,0.8501945525291829,0.9047619047619048,0.08771929824561403,156,15,77,437
top2_mean,topk_mse_10,0.013705302774906152,0.9393360183857828,0.6335766423357664,0.9962264150943396,0.5136186770428015,0.6777920410783055,0.005847953216374269,170,1,250,264
max,topk_mse_10,0.01540379151701925,0.935274307688807,0.6058394160583942,0.9959349593495935,0.4766536964980545,0.6447368421052632,0.005847953216374269,170,1,269,245
mean,ensemble_mse_ssim_topk,1.396552143030899,0.9241927776640043,0.8642335766423358,0.9507494646680942,0.8638132295719845,0.9051987767584098,0.13450292397660818,148,23,70,444
mean,ensemble_mse_retina,1.3061439748208223,0.9224747991899334,0.8583941605839416,0.9582417582417583,0.8482490272373541,0.8998968008255934,0.1111111111111111,152,19,78,436
mean,retina_weighted_mse,0.0011490637768491016,0.9221789883268483,0.8496350364963504,0.9536423841059603,0.8404669260700389,0.8934850051706308,0.12280701754385964,150,21,82,432
top2_mean,ensemble_mse_ssim_topk,4.0029564507727615,0.9203017270803469,0.6452554744525547,0.9963369963369964,0.5291828793774319,0.6912325285895807,0.005847953216374269,170,1,242,272
mean,ensemble_all_base,1.2901826332391289,0.9194142944910915,0.8598540145985402,0.9465811965811965,0.8618677042801557,0.9022403258655805,0.14619883040935672,146,25,71,443
mean,mse,0.0010237064970715433,0.9188340501058092,0.8496350364963504,0.9516483516483516,0.8424124513618677,0.8937048503611971,0.1286549707602339,149,22,81,433
top2_mean,ensemble_mse_retina,4.038573026388405,0.9180831456072087,0.6408759124087591,0.9890510948905109,0.5272373540856031,0.6878172588832487,0.017543859649122806,168,3,243,271
top2_mean,retina_weighted_mse,0.0020862600067630397,0.9178555987894509,0.6321167883211679,0.9924812030075187,0.5136186770428015,0.676923076923077,0.011695906432748537,169,2,250,264
mean,retina_band_mse,0.0012386238160040476,0.9176280519716931,0.8423357664233576,0.953125,0.830739299610895,0.8877338877338877,0.12280701754385964,150,21,87,427
top2_mean,ensemble_all_base,3.6398312086526152,0.9149543768630395,0.6423357664233577,0.9890909090909091,0.5291828793774319,0.6894803548795945,0.017543859649122806,168,3,242,272
top2_mean,mse,0.0018771046772599195,0.9145447925910757,0.6291970802919709,0.9887218045112782,0.5116731517509727,0.6743589743589744,0.017543859649122806,168,3,251,263
max,ensemble_mse_ssim_topk,4.831125011169444,0.9139759255466812,0.6058394160583942,0.9919354838709677,0.4785992217898833,0.6456692913385826,0.011695906432748537,169,2,268,246
top2_mean,retina_band_mse,0.002293292270042002,0.9132363983889684,0.6102189781021898,0.9920318725099602,0.48443579766536965,0.6509803921568628,0.011695906432748537,169,2,265,249
mean,ensemble_l1_ssim_topk,1.2861175322725764,0.9126220219810226,0.8496350364963504,0.9381663113006397,0.8560311284046692,0.8952187182095626,0.1695906432748538,142,29,74,440
max,ensemble_mse_retina,5.180742846294849,0.9123148337770496,0.5751824817518248,0.9955555555555555,0.4357976653696498,0.6062246278755075,0.005847953216374269,170,1,290,224
max,retina_weighted_mse,0.0024247628170996887,0.9121669283455072,0.5883211678832116,1.0,0.45136186770428016,0.6219839142091153,0.0,171,0,282,232
mean,ensemble_mse_l1_retina,1.3101330528671926,0.910665119348306,0.8437956204379562,0.9492273730684326,0.8365758754863813,0.889348500517063,0.13450292397660818,148,23,84,430
max,ensemble_all_base,4.546918320702316,0.908935763533347,0.5868613138686132,0.9957081545064378,0.45136186770428016,0.6211512717536813,0.005847953216374269,170,1,282,232
top2_mean,ensemble_l1_ssim_topk,3.2992763728407692,0.9081393496711948,0.6481751824817519,0.989247311827957,0.5369649805447471,0.6960907944514502,0.017543859649122806,168,3,238,276
max,mse,0.0021643036510795347,0.9077752747627824,0.5854014598540146,0.9956896551724138,0.4494163424124514,0.6193029490616622,0.005847953216374269,170,1,283,231
max,retina_band_mse,0.002615519007667899,0.9073543131499306,0.5781021897810219,0.9955947136563876,0.4396887159533074,0.6099865047233468,0.005847953216374269,170,1,288,226
top2_mean,ensemble_mse_l1_retina,3.6458769077822284,0.9061141829931508,0.635036496350365,0.9888888888888889,0.519455252918288,0.6811224489795918,0.017543859649122806,168,3,247,267
max,ensemble_l1_ssim_topk,4.012822717611458,0.9011309076842562,0.6,0.9958677685950413,0.4688715953307393,0.6375661375661376,0.005847953216374269,170,1,273,241
mean,ensemble_mse_l1,1.4382167716463865,0.9009830022527134,0.8335766423357664,0.9366812227074236,0.8346303501945526,0.8827160493827161,0.1695906432748538,142,29,85,429
max,ensemble_mse_l1_retina,4.390559959763216,0.8994698159146245,0.5854014598540146,0.9914529914529915,0.45136186770428016,0.6203208556149733,0.011695906432748537,169,2,282,232
top2_mean,ensemble_mse_l1,3.9662387543075512,0.8960224816255945,0.6116788321167883,0.9920634920634921,0.48638132295719844,0.6527415143603134,0.011695906432748537,169,2,264,250
max,ensemble_mse_l1,4.4738779355129665,0.8890595490022073,0.581021897810219,0.9913419913419913,0.4455252918287938,0.614765100671141,0.011695906432748537,169,2,285,229
mean,ensemble_mse_l1_ssim,1.3277627924561994,0.8849637062825676,0.8102189781021898,0.9137931034482759,0.8249027237354085,0.8670756646216768,0.23391812865497075,131,40,90,424
top2_mean,ensemble_mse_l1_ssim,3.617858863654234,0.8802534871549823,0.5664233576642336,0.9909502262443439,0.4260700389105058,0.5959183673469388,0.011695906432748537,169,2,295,219
