patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,95,mse,0.0010237064970715433,0.9188340501058092,0.8496350364963504,0.9516483516483516,0.8424124513618677,0.8937048503611971,0.1286549707602339,149,22,81,433
mean,97,mse,0.0011037866258993745,0.9188340501058092,0.8145985401459854,0.9596199524940617,0.7859922178988327,0.8641711229946524,0.09941520467836257,154,17,110,404
mean,99,mse,0.001314874531775289,0.9188340501058092,0.7576642335766424,0.9887640449438202,0.6848249027237354,0.8091954022988506,0.023391812865497075,167,4,162,352
mean,95,l1,0.02079110372379967,0.8618677042801557,0.781021897810219,0.9044444444444445,0.791828793774319,0.8443983402489627,0.25146198830409355,128,43,107,407
mean,97,l1,0.021981240114197123,0.8618677042801557,0.7664233576642335,0.9425,0.7334630350194552,0.824945295404814,0.13450292397660818,148,23,137,377
mean,99,l1,0.02300342227738255,0.8618677042801557,0.7401459854014598,0.9590163934426229,0.6828793774319066,0.7977272727272727,0.08771929824561403,156,15,163,351
mean,95,ssim_error,0.20304103121161443,0.7894395521878627,0.7313868613138687,0.8891509433962265,0.7334630350194552,0.8038379530916845,0.27485380116959063,124,47,137,377
mean,97,ssim_error,0.2188454610109329,0.7894395521878627,0.6788321167883211,0.9038461538461539,0.6400778210116731,0.7494305239179955,0.2046783625730994,136,35,185,329
mean,99,ssim_error,0.23245510721800428,0.7894395521878627,0.6408759124087591,0.9267515923566879,0.566147859922179,0.7028985507246377,0.13450292397660818,148,23,223,291
mean,95,mse_ssim_score,0.04131665774621065,0.7976881243315813,0.7445255474452555,0.8914549653579676,0.7509727626459144,0.8152059134107709,0.27485380116959063,124,47,128,386
mean,97,mse_ssim_score,0.04449190351366996,0.7976881243315813,0.6861313868613139,0.9051490514905149,0.6498054474708171,0.7565118912797282,0.2046783625730994,136,35,180,334
mean,99,mse_ssim_score,0.04744089058289925,0.7976881243315813,0.6510948905109489,0.9310344827586207,0.5778210116731517,0.7130852340936374,0.1286549707602339,149,22,217,297
mean,95,retina_band_mse,0.0012386238160040476,0.9176280519716931,0.8423357664233576,0.953125,0.830739299610895,0.8877338877338877,0.12280701754385964,150,21,87,427
mean,97,retina_band_mse,0.0013006152600024096,0.9176280519716931,0.8350364963503649,0.9651972157772621,0.8093385214007782,0.8804232804232804,0.08771929824561403,156,15,98,416
mean,99,retina_band_mse,0.0016411224079943196,0.9176280519716931,0.7503649635036497,0.9858356940509915,0.6770428015564203,0.8027681660899654,0.029239766081871343,166,5,166,348
