score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
topk_mse_5,0.013162780925631517,0.9473653333333334,0.804,0.9859649122807017,0.7493333333333333,0.8515151515151516,0.032,242,8,188,562
topk_mse_10,0.00832483973354101,0.9388213333333334,0.802,0.9825174825174825,0.7493333333333333,0.8502269288956127,0.04,240,10,188,562
ensemble_mse_ssim_topk,2.0281386889840105,0.9167679999999998,0.794,0.9705882352941176,0.748,0.8448795180722891,0.068,233,17,189,561
ensemble_mse_retina,2.0193608572532113,0.9146506666666667,0.785,0.9751332149200711,0.732,0.8362528560548362,0.056,236,14,201,549
retina_weighted_mse,0.0013971809297800058,0.913872,0.782,0.9767025089605734,0.7266666666666667,0.8333333333333334,0.052,237,13,205,545
mse,0.0012128856964409313,0.9117973333333332,0.779,0.9698046181172292,0.728,0.8316831683168316,0.068,233,17,204,546
ensemble_all_base,1.911497485255919,0.9114186666666666,0.787,0.9685863874345549,0.74,0.8390022675736961,0.072,232,18,195,555
retina_band_mse,0.0015300905797630546,0.9087626666666666,0.773,0.9798165137614679,0.712,0.8247104247104247,0.044,239,11,216,534
ensemble_l1_ssim_topk,1.8507691392838503,0.903872,0.776,0.9630281690140845,0.7293333333333333,0.8300455235204856,0.084,229,21,203,547
ensemble_mse_l1_retina,1.9260274252065284,0.902336,0.775,0.9679144385026738,0.724,0.8283752860411899,0.072,232,18,207,543
ensemble_mse_l1,2.0565561376071684,0.8922773333333334,0.76,0.9619565217391305,0.708,0.815668202764977,0.084,229,21,219,531
ensemble_mse_l1_ssim,1.952388897190434,0.8734666666666667,0.745,0.9591836734693877,0.6893333333333334,0.8021722265321956,0.088,228,22,233,517
l1,0.02328798845410346,0.848208,0.714,0.9566929133858267,0.648,0.7726550079491256,0.088,228,22,264,486
mse_ssim_score,0.049211546778678894,0.7692906666666667,0.608,0.9182242990654206,0.524,0.66723259762309,0.14,215,35,357,393
ssim_error,0.24145385026931754,0.759584,0.594,0.9154589371980676,0.5053333333333333,0.6512027491408935,0.14,215,35,371,379
