percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
95,mse,0.0012128856964409313,0.9117973333333332,0.779,0.9698046181172292,0.728,0.8316831683168316,0.068,233,17,204,546
97,mse,0.0013755772961303579,0.9117973333333332,0.738,0.9822134387351779,0.6626666666666666,0.7914012738853503,0.036,241,9,253,497
99,mse,0.0018387719057500387,0.9117973333333332,0.619,0.992,0.496,0.6613333333333333,0.012,247,3,378,372
95,l1,0.02328798845410346,0.848208,0.714,0.9566929133858267,0.648,0.7726550079491256,0.088,228,22,264,486
97,l1,0.025059046596288676,0.848208,0.655,0.9676674364896074,0.5586666666666666,0.7083685545224007,0.056,236,14,331,419
99,l1,0.028562566190958025,0.848208,0.516,0.9784172661870504,0.3626666666666667,0.5291828793774319,0.024,244,6,478,272
95,ssim_error,0.24145385026931754,0.759584,0.594,0.9154589371980676,0.5053333333333333,0.6512027491408935,0.14,215,35,371,379
97,ssim_error,0.27019778251647864,0.759584,0.491,0.9381818181818182,0.344,0.5034146341463415,0.068,233,17,492,258
99,ssim_error,0.3145019006729127,0.759584,0.37,0.9411764705882353,0.17066666666666666,0.28893905191873587,0.032,242,8,622,128
95,mse_ssim_score,0.049211546778678894,0.7692906666666667,0.608,0.9182242990654206,0.524,0.66723259762309,0.14,215,35,357,393
97,mse_ssim_score,0.055066778659820535,0.7692906666666667,0.51,0.9421768707482994,0.36933333333333335,0.5306513409961686,0.068,233,17,473,277
99,mse_ssim_score,0.0641978731751442,0.7692906666666667,0.382,0.9459459459459459,0.18666666666666668,0.311804008908686,0.032,242,8,610,140
95,retina_band_mse,0.0015300905797630546,0.9087626666666666,0.773,0.9798165137614679,0.712,0.8247104247104247,0.044,239,11,216,534
97,retina_band_mse,0.001727792737074196,0.9087626666666666,0.725,0.9856850715746421,0.6426666666666667,0.778046811945117,0.028,243,7,268,482
99,retina_band_mse,0.0022281496133655316,0.9087626666666666,0.608,0.9890710382513661,0.4826666666666667,0.6487455197132617,0.016,246,4,388,362
95,retina_weighted_mse,0.0013971809297800058,0.913872,0.782,0.9767025089605734,0.7266666666666667,0.8333333333333334,0.052,237,13,205,545
97,retina_weighted_mse,0.0015907935705035908,0.913872,0.743,0.9881188118811881,0.6653333333333333,0.7952191235059761,0.024,244,6,251,499
99,retina_weighted_mse,0.002024293271824718,0.913872,0.625,0.9895561357702349,0.5053333333333333,0.6690203000882613,0.016,246,4,371,379
95,topk_mse_5,0.013162780925631517,0.9473653333333334,0.804,0.9859649122807017,0.7493333333333333,0.8515151515151516,0.032,242,8,188,562
97,topk_mse_5,0.01535775274038314,0.9473653333333334,0.757,0.9941520467836257,0.68,0.8076009501187649,0.012,247,3,240,510
99,topk_mse_5,0.021763666793704048,0.9473653333333334,0.624,0.9947089947089947,0.5013333333333333,0.6666666666666666,0.008,248,2,374,376
95,topk_mse_10,0.00832483973354101,0.9388213333333334,0.802,0.9825174825174825,0.7493333333333333,0.8502269288956127,0.04,240,10,188,562
97,topk_mse_10,0.009552231878042206,0.9388213333333334,0.758,0.9884615384615385,0.6853333333333333,0.8094488188976378,0.024,244,6,236,514
99,topk_mse_10,0.013269805237650891,0.9388213333333334,0.628,0.9973684210526316,0.5053333333333333,0.6707964601769911,0.004,249,1,371,379
95,ensemble_mse_l1,2.0565561376071684,0.8922773333333334,0.76,0.9619565217391305,0.708,0.815668202764977,0.084,229,21,219,531
97,ensemble_mse_l1,2.5674412503615267,0.8922773333333334,0.722,0.9777327935222672,0.644,0.7765273311897106,0.044,239,11,267,483
99,ensemble_mse_l1,3.8461959243947166,0.8922773333333334,0.602,0.9943820224719101,0.472,0.6401446654611211,0.008,248,2,396,354
95,ensemble_mse_l1_ssim,1.952388897190434,0.8734666666666667,0.745,0.9591836734693877,0.6893333333333334,0.8021722265321956,0.088,228,22,233,517
97,ensemble_mse_l1_ssim,2.4372206590946734,0.8734666666666667,0.689,0.9720430107526882,0.6026666666666667,0.7440329218106996,0.052,237,13,298,452
99,ensemble_mse_l1_ssim,3.446412037191276,0.8734666666666667,0.573,0.984984984984985,0.43733333333333335,0.605724838411819,0.02,245,5,422,328
95,ensemble_mse_retina,2.0193608572532113,0.9146506666666667,0.785,0.9751332149200711,0.732,0.8362528560548362,0.056,236,14,201,549
97,ensemble_mse_retina,2.590803095915561,0.9146506666666667,0.744,0.984313725490196,0.6693333333333333,0.7968253968253968,0.032,242,8,248,502
99,ensemble_mse_retina,3.9661874253795504,0.9146506666666667,0.626,0.9895833333333334,0.5066666666666667,0.6701940035273368,0.016,246,4,370,380
95,ensemble_mse_ssim_topk,2.0281386889840105,0.9167679999999998,0.794,0.9705882352941176,0.748,0.8448795180722891,0.068,233,17,189,561
97,ensemble_mse_ssim_topk,2.564491376178479,0.9167679999999998,0.749,0.9825918762088974,0.6773333333333333,0.8018942383583267,0.036,241,9,242,508
99,ensemble_mse_ssim_topk,3.9679905740442813,0.9167679999999998,0.622,0.9946808510638298,0.49866666666666665,0.6642984014209592,0.008,248,2,376,374
95,ensemble_l1_ssim_topk,1.8507691392838503,0.903872,0.776,0.9630281690140845,0.7293333333333333,0.8300455235204856,0.084,229,21,203,547
97,ensemble_l1_ssim_topk,2.2818227490865755,0.903872,0.738,0.9803149606299213,0.664,0.7917329093799682,0.04,240,10,252,498
99,ensemble_l1_ssim_topk,3.301474509789235,0.903872,0.621,0.9920424403183024,0.49866666666666665,0.6637089618456078,0.012,247,3,376,374
95,ensemble_mse_l1_retina,1.9260274252065284,0.902336,0.775,0.9679144385026738,0.724,0.8283752860411899,0.072,232,18,207,543
97,ensemble_mse_l1_retina,2.396861485706183,0.902336,0.734,0.9820717131474104,0.6573333333333333,0.7875399361022364,0.036,241,9,257,493
99,ensemble_mse_l1_retina,3.562796384468762,0.902336,0.616,0.9893048128342246,0.49333333333333335,0.6583629893238434,0.016,246,4,380,370
95,ensemble_all_base,1.911497485255919,0.9114186666666666,0.787,0.9685863874345549,0.74,0.8390022675736961,0.072,232,18,195,555
97,ensemble_all_base,2.375456973206134,0.9114186666666666,0.749,0.9844660194174757,0.676,0.8015810276679842,0.032,242,8,243,507
99,ensemble_all_base,3.5671669490113693,0.9114186666666666,0.628,0.9921875,0.508,0.671957671957672,0.012,247,3,369,381
