score_mode,class_name,sample_count,patient_count,mean_score,std_score,detected_count,detection_rate
mse,CNV,250,178,0.002725441372022033,0.0012594460577175137,245,0.98
mse,DME,250,167,0.0024547114837914705,0.001494090423840176,211,0.844
mse,DRUSEN,250,169,0.0011874843757832423,0.000564250327864157,99,0.396
mse,NORMAL,250,171,0.0007705014983657748,0.0002764171718099725,19,0.076
l1,CNV,250,178,0.030330642685294153,0.0062186962887240006,227,0.908
l1,DME,250,167,0.02873385376855731,0.00752002314525165,188,0.752
l1,DRUSEN,250,169,0.02138586703315377,0.003972790563136975,70,0.28
l1,NORMAL,250,171,0.019065993309020996,0.0035168143584233895,26,0.104
ssim_error,CNV,250,178,0.27640129923820494,0.06627495498030529,175,0.7
ssim_error,DME,250,167,0.26072681045532226,0.06906148263489893,146,0.584
ssim_error,DRUSEN,250,169,0.2039744436740875,0.0574099463322428,59,0.236
ssim_error,NORMAL,250,171,0.18634485816955568,0.057293023677258755,36,0.144
mse_ssim_score,CNV,250,178,0.057460613891482354,0.013901750027415475,181,0.724
mse_ssim_score,DME,250,167,0.05410913240909576,0.014695291840653093,148,0.592
mse_ssim_score,DRUSEN,250,169,0.0417448770776391,0.01169981468558553,61,0.244
mse_ssim_score,NORMAL,250,171,0.037885373480618,0.011632201799146894,35,0.14
retina_band_mse,CNV,250,178,0.003144195369910449,0.001358587822638881,242,0.968
retina_band_mse,DME,250,167,0.002890301153063774,0.0017551688214982688,207,0.828
retina_band_mse,DRUSEN,250,169,0.001435899771284312,0.0006908662429632623,94,0.376
retina_band_mse,NORMAL,250,171,0.0009218623396009207,0.00032580701560511416,12,0.048
retina_weighted_mse,CNV,250,178,0.003008058455772698,0.0013098915011532553,244,0.976
retina_weighted_mse,DME,250,167,0.0027457559909671546,0.0016493223275115478,210,0.84
retina_weighted_mse,DRUSEN,250,169,0.0013520465809851885,0.0006377763559307621,105,0.42
retina_weighted_mse,NORMAL,250,171,0.000867861436214298,0.00029989311667342285,15,0.06
topk_mse_5,CNV,250,178,0.033381931256502864,0.017905854189448255,248,0.992
topk_mse_5,DME,250,167,0.02972055868990719,0.020251370528229087,216,0.864
topk_mse_5,DRUSEN,250,169,0.013705800296738744,0.008601536752181456,107,0.428
topk_mse_5,NORMAL,250,171,0.007159239741042257,0.002898219292867235,8,0.032
topk_mse_10,CNV,250,178,0.02077882725931704,0.010325970290950936,248,0.992
topk_mse_10,DME,250,167,0.018556025460362436,0.012183516666840378,216,0.864
topk_mse_10,DRUSEN,250,169,0.008435411658138037,0.004820790135454289,106,0.424
topk_mse_10,NORMAL,250,171,0.00476151526439935,0.0017384772695652622,11,0.044
ensemble_mse_l1,CNV,250,178,5.953977859657563,3.099222810900921,238,0.952
ensemble_mse_l1,DME,250,167,5.2399839984229395,3.731295769388615,206,0.824
ensemble_mse_l1,DRUSEN,250,169,1.9132868509329821,1.5000034872786019,91,0.364
ensemble_mse_l1,NORMAL,250,171,0.8305493800006237,0.9357651285310586,22,0.088
ensemble_mse_l1_ssim,CNV,250,178,4.766989032809993,2.317206441431521,236,0.944
ensemble_mse_l1_ssim,DME,250,167,4.21031765404352,2.771918177370576,196,0.784
ensemble_mse_l1_ssim,DRUSEN,250,169,1.7004191880707251,1.2055019226241832,85,0.34
ensemble_mse_l1_ssim,NORMAL,250,171,0.8878559933553956,0.894539604353549,25,0.1
ensemble_mse_retina,CNV,250,178,7.245486399312414,4.114957192372351,245,0.98
ensemble_mse_retina,DME,250,167,6.395447995653394,5.078280644258497,210,0.84
ensemble_mse_retina,DRUSEN,250,169,2.0706547564156406,1.9442785123451214,103,0.412
ensemble_mse_retina,NORMAL,250,171,0.6014476431590897,0.9214408462965779,15,0.06
ensemble_mse_ssim_topk,CNV,250,178,6.926511138871638,3.9558767408818483,244,0.976
ensemble_mse_ssim_topk,DME,250,167,6.050273542340497,4.6038892398904645,215,0.86
ensemble_mse_ssim_topk,DRUSEN,250,169,2.1720841690410126,1.8714621477643913,111,0.444
ensemble_mse_ssim_topk,NORMAL,250,171,0.7447435008791948,0.8798357628159724,18,0.072
ensemble_l1_ssim_topk,CNV,250,178,5.366205927623265,2.7754361853061256,241,0.964
ensemble_l1_ssim_topk,DME,250,167,4.707046555692106,3.2530097877443707,213,0.852
ensemble_l1_ssim_topk,DRUSEN,250,169,1.855186778217767,1.4162571933953922,103,0.412
ensemble_l1_ssim_topk,NORMAL,250,171,0.7735059489023653,0.7921009735919416,22,0.088
ensemble_mse_l1_retina,CNV,250,178,6.03483094713661,3.183494741433908,242,0.968
ensemble_mse_l1_retina,DME,250,167,5.3386798365857135,3.952681285606765,205,0.82
ensemble_mse_l1_retina,DRUSEN,250,169,1.8597500925097983,1.56040913627713,101,0.404
ensemble_mse_l1_retina,NORMAL,250,171,0.6921961127845196,0.8716603954174953,18,0.072
ensemble_all_base,CNV,250,178,6.274169956218597,3.393721477947137,244,0.976
ensemble_all_base,DME,250,167,5.51818530456174,4.096854540098342,212,0.848
ensemble_all_base,DRUSEN,250,169,1.9685388014726295,1.652774672758894,112,0.448
ensemble_all_base,NORMAL,250,171,0.7022077158009459,0.8375226194019972,18,0.072
