patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
mean,mse,CNV,178,250,0.0027257852961176587,0.0010785149697527517,177,0.9943820224719101
mean,mse,DME,167,250,0.0024120756076045553,0.0014267720025142817,153,0.9161676646706587
mean,mse,DRUSEN,169,250,0.0011739673432962499,0.000543645599567179,101,0.5976331360946746
mean,mse,NORMAL,171,250,0.0007652964293364468,0.0002621214912348209,20,0.11695906432748537
mean,l1,CNV,178,250,0.03044762932307001,0.005878201117582256,172,0.9662921348314607
mean,l1,DME,167,250,0.02850601742945343,0.007399202595567257,149,0.8922155688622755
mean,l1,DRUSEN,169,250,0.021366606201324693,0.0038193606761221656,91,0.5384615384615384
mean,l1,NORMAL,171,250,0.01893996629649755,0.0031973700549371717,44,0.2573099415204678
mean,ssim_error,CNV,178,250,0.2804427788529138,0.06408637698244164,163,0.9157303370786517
mean,ssim_error,DME,167,250,0.25951547665160435,0.0696586399070212,131,0.7844311377245509
mean,ssim_error,DRUSEN,169,250,0.20551405464585673,0.053802909667672545,77,0.4556213017751479
mean,ssim_error,NORMAL,171,250,0.18371389171881983,0.05139833057654428,47,0.27485380116959063
mean,mse_ssim_score,CNV,178,250,0.05826918494912701,0.013394341295253607,165,0.9269662921348315
mean,mse_ssim_score,DME,167,250,0.053832757007035416,0.014810020899398332,134,0.8023952095808383
mean,mse_ssim_score,DRUSEN,169,250,0.04204198567578458,0.010995545641973019,80,0.47337278106508873
mean,mse_ssim_score,NORMAL,171,250,0.037355016092052704,0.010434250105787832,47,0.27485380116959063
mean,retina_band_mse,CNV,178,250,0.0031342784609030786,0.0011402784417184123,176,0.9887640449438202
mean,retina_band_mse,DME,167,250,0.0028465952916719856,0.0016664530378947184,154,0.9221556886227545
mean,retina_band_mse,DRUSEN,169,250,0.00143289853762989,0.0006761225702669507,108,0.6390532544378699
mean,retina_band_mse,NORMAL,171,250,0.0009204385206173673,0.0003090609744557812,24,0.14035087719298245
mean,retina_weighted_mse,CNV,178,250,0.0030036034919006614,0.0011078859157211806,176,0.9887640449438202
mean,retina_weighted_mse,DME,167,250,0.0027022284761028725,0.0015730970213878508,155,0.9281437125748503
mean,retina_weighted_mse,DRUSEN,169,250,0.00134484647109441,0.0006195031944046307,109,0.6449704142011834
mean,retina_weighted_mse,NORMAL,171,250,0.0008651490913775294,0.00028690020443255425,26,0.15204678362573099
mean,topk_mse_5,CNV,178,250,0.03330896053287072,0.01442174264572519,178,1.0
mean,topk_mse_5,DME,167,250,0.029174473001153105,0.01901884713497909,157,0.9401197604790419
mean,topk_mse_5,DRUSEN,169,250,0.013441652441855885,0.008191399846457587,104,0.6153846153846154
mean,topk_mse_5,NORMAL,171,250,0.0071833443440783755,0.0030570930117530715,13,0.07602339181286549
mean,topk_mse_10,CNV,178,250,0.020719604595454272,0.008510070978317246,178,1.0
mean,topk_mse_10,DME,167,250,0.018195339133983766,0.011472313876622753,158,0.9461077844311377
mean,topk_mse_10,DRUSEN,169,250,0.008287984151193955,0.004599305340390167,104,0.6153846153846154
mean,topk_mse_10,NORMAL,171,250,0.0047607737868165575,0.0017723953651655954,12,0.07017543859649122
mean,ensemble_mse_l1,CNV,178,250,5.968865146648463,2.725703315914907,177,0.9943820224719101
mean,ensemble_mse_l1,DME,167,250,5.130414881263163,3.594146838297388,153,0.9161676646706587
mean,ensemble_mse_l1,DRUSEN,169,250,1.8849915951029892,1.4524542218340122,102,0.6035502958579881
mean,ensemble_mse_l1,NORMAL,171,250,0.8052292034673126,0.8657811363880742,29,0.1695906432748538
mean,ensemble_mse_l1_ssim,CNV,178,250,4.797715096960516,2.0696449411594284,176,0.9887640449438202
mean,ensemble_mse_l1_ssim,DME,167,250,4.131036927595865,2.6926650201166686,152,0.9101796407185628
mean,ensemble_mse_l1_ssim,DRUSEN,169,250,1.6894799516004229,1.1698022489429751,100,0.591715976331361
mean,ensemble_mse_l1_ssim,NORMAL,171,250,0.8574344797545761,0.8144488590843781,42,0.24561403508771928
mean,ensemble_mse_retina,CNV,178,250,7.233248104548555,3.49794450489306,177,0.9943820224719101
mean,ensemble_mse_retina,DME,167,250,6.2567395102857635,4.845310951696432,155,0.9281437125748503
mean,ensemble_mse_retina,DRUSEN,169,250,2.040798226558475,1.884768154472176,108,0.6390532544378699
mean,ensemble_mse_retina,NORMAL,171,250,0.5896019097756134,0.8802144773048383,21,0.12280701754385964
mean,ensemble_mse_ssim_topk,CNV,178,250,6.938803554942381,3.297502098828738,177,0.9943820224719101
mean,ensemble_mse_ssim_topk,DME,167,250,5.922493427238585,4.387274922516742,154,0.9221556886227545
mean,ensemble_mse_ssim_topk,DRUSEN,169,250,2.1303118109269925,1.8067569821764597,108,0.6390532544378699
mean,ensemble_mse_ssim_topk,NORMAL,171,250,0.7274957137740471,0.8449586975231875,21,0.12280701754385964
mean,ensemble_l1_ssim_topk,CNV,178,250,5.387542748865984,2.334107535410516,177,0.9943820224719101
mean,ensemble_l1_ssim_topk,DME,167,250,4.615369090307056,3.1197754695653717,154,0.9221556886227545
mean,ensemble_l1_ssim_topk,DRUSEN,169,250,1.8291547998908841,1.3733375466613238,109,0.6449704142011834
mean,ensemble_l1_ssim_topk,NORMAL,171,250,0.7527031288396473,0.7444783840291919,32,0.1871345029239766
mean,ensemble_mse_l1_retina,CNV,178,250,6.036156715543659,2.758052939164147,177,0.9943820224719101
mean,ensemble_mse_l1_retina,DME,167,250,5.227735798812466,3.795413411767573,153,0.9161676646706587
mean,ensemble_mse_l1_retina,DRUSEN,169,250,1.8382841772219256,1.5174116515289777,108,0.6390532544378699
mean,ensemble_mse_l1_retina,NORMAL,171,250,0.6740813818723134,0.8180722544365968,27,0.15789473684210525
mean,ensemble_all_base,CNV,178,250,6.28076287233575,2.8629827506364207,177,0.9943820224719101
mean,ensemble_all_base,DME,167,250,5.403225765908481,3.91499883390879,155,0.9281437125748503
mean,ensemble_all_base,DRUSEN,169,250,1.9405791584282517,1.6021057347817855,109,0.6449704142011834
mean,ensemble_all_base,NORMAL,171,250,0.6852799016380361,0.795828164263318,23,0.13450292397660818
max,mse,CNV,178,250,0.0029020252954110167,0.0013780868152614438,143,0.8033707865168539
max,mse,DME,167,250,0.0026450358257311102,0.0016317172493786167,94,0.562874251497006
max,mse,DRUSEN,169,250,0.0012587347169842064,0.0006290216426525461,18,0.10650887573964497
max,mse,NORMAL,171,250,0.0008109833678225197,0.0003025888879854076,2,0.011695906432748537
max,l1,CNV,178,250,0.031339238805884725,0.006401198222378317,95,0.5337078651685393
max,l1,DME,167,250,0.029679813165730703,0.008247749315477193,75,0.4491017964071856
max,l1,DRUSEN,169,250,0.02195510445107546,0.00413915951322428,7,0.04142011834319527
max,l1,NORMAL,171,250,0.019556291826200067,0.0037041725551832647,3,0.017543859649122806
max,ssim_error,CNV,178,250,0.28907051782929494,0.06633366066165824,42,0.23595505617977527
max,ssim_error,DME,167,250,0.26923669562368335,0.07483097991739956,26,0.15568862275449102
max,ssim_error,DRUSEN,169,250,0.215177585387371,0.05952939685430951,5,0.029585798816568046
max,ssim_error,NORMAL,171,250,0.19342226034019425,0.05930174426288843,5,0.029239766081871343
max,mse_ssim_score,CNV,178,250,0.06009800110556436,0.013943565131622692,48,0.2696629213483146
max,mse_ssim_score,DME,167,250,0.055929143137917546,0.015957150594197392,32,0.19161676646706588
max,mse_ssim_score,DRUSEN,169,250,0.04399138508287407,0.01215971229500601,5,0.029585798816568046
max,mse_ssim_score,NORMAL,171,250,0.03932704381121878,0.012049853214979749,5,0.029239766081871343
max,retina_band_mse,CNV,178,250,0.00332742768243018,0.0014825807536230987,138,0.7752808988764045
max,retina_band_mse,DME,167,250,0.003121525749095721,0.0019194163411947848,95,0.5688622754491018
max,retina_band_mse,DRUSEN,169,250,0.0015349617526183158,0.0007652715607412295,20,0.11834319526627218
max,retina_band_mse,NORMAL,171,250,0.0009743685068900299,0.00035345441054248917,3,0.017543859649122806
max,retina_weighted_mse,CNV,178,250,0.0031807550550909357,0.001431055451316398,136,0.7640449438202247
max,retina_weighted_mse,DME,167,250,0.0029608940142402036,0.0018007774807834982,98,0.5868263473053892
max,retina_weighted_mse,DRUSEN,169,250,0.0014397333339600652,0.0007079684668377696,17,0.10059171597633136
max,retina_weighted_mse,NORMAL,171,250,0.0009133115397869713,0.0003269947792796263,2,0.011695906432748537
max,topk_mse_5,CNV,178,250,0.03569755774891276,0.020041009449677884,139,0.7808988764044944
max,topk_mse_5,DME,167,250,0.03230065639091734,0.022187603032477455,96,0.5748502994011976
max,topk_mse_5,DRUSEN,169,250,0.014765420617238128,0.009838997374730027,15,0.08875739644970414
max,topk_mse_5,NORMAL,171,250,0.0075662318693354115,0.003293347543922373,1,0.005847953216374269
max,topk_mse_10,CNV,178,250,0.02215093379222861,0.01145653009703846,145,0.8146067415730337
max,topk_mse_10,DME,167,250,0.02009663536787747,0.013255604024297834,101,0.6047904191616766
max,topk_mse_10,DRUSEN,169,250,0.00902755964360029,0.0054825539045507505,15,0.08875739644970414
max,topk_mse_10,NORMAL,171,250,0.005013726384798337,0.001945821422364342,1,0.005847953216374269
max,ensemble_mse_l1,CNV,178,250,6.410371471102307,3.3386716622388044,133,0.7471910112359551
max,ensemble_mse_l1,DME,167,250,5.715936739156483,4.082911850475537,92,0.5508982035928144
max,ensemble_mse_l1,DRUSEN,169,250,2.1146497743269035,1.6355930157630627,17,0.10059171597633136
max,ensemble_mse_l1,NORMAL,171,250,0.9664422857747224,1.0058725501118249,2,0.011695906432748537
max,ensemble_mse_l1_ssim,CNV,178,250,5.129108864778347,2.467565375857007,117,0.6573033707865169
max,ensemble_mse_l1_ssim,DME,167,250,4.5659116437504705,3.039629292657093,83,0.49700598802395207
max,ensemble_mse_l1_ssim,DRUSEN,169,250,1.8711872483406398,1.2876240041192422,14,0.08284023668639054
max,ensemble_mse_l1_ssim,NORMAL,171,250,1.0123969721225163,0.949646716134321,2,0.011695906432748537
max,ensemble_mse_retina,CNV,178,250,7.792668255385744,4.5013926651940235,139,0.7808988764044944
max,ensemble_mse_retina,DME,167,250,7.053054441623629,5.533245950540849,99,0.592814371257485
max,ensemble_mse_retina,DRUSEN,169,250,2.3313914906971327,2.1634762385543063,17,0.10059171597633136
max,ensemble_mse_retina,NORMAL,171,250,0.735731603766895,1.0074860506635293,2,0.011695906432748537
max,ensemble_mse_ssim_topk,CNV,178,250,7.482093733886628,4.3545574914836624,146,0.8202247191011236
max,ensemble_mse_ssim_topk,DME,167,250,6.635031273565185,5.019973889111552,96,0.5748502994011976
max,ensemble_mse_ssim_topk,DRUSEN,169,250,2.4104946109424654,2.0881564770190932,19,0.11242603550295859
max,ensemble_mse_ssim_topk,NORMAL,171,250,0.874143131126766,0.9562062356160237,2,0.011695906432748537
max,ensemble_l1_ssim_topk,CNV,178,250,5.769721391954008,3.0267246619229504,142,0.797752808988764
max,ensemble_l1_ssim_topk,DME,167,250,5.1174845094278,3.541363618993352,93,0.5568862275449101
max,ensemble_l1_ssim_topk,DRUSEN,169,250,2.04459281007512,1.5555456899372264,18,0.10650887573964497
max,ensemble_l1_ssim_topk,NORMAL,171,250,0.8898102130008992,0.8454939481248676,2,0.011695906432748537
max,ensemble_mse_l1_retina,CNV,178,250,6.474170382077254,3.449287444035101,140,0.7865168539325843
max,ensemble_mse_l1_retina,DME,167,250,5.843771956186163,4.3023855035243255,97,0.5808383233532934
max,ensemble_mse_l1_retina,DRUSEN,169,250,2.0707907003641766,1.7134916853539408,17,0.10059171597633136
max,ensemble_mse_l1_retina,NORMAL,171,250,0.8158002132695813,0.9413205656373741,3,0.017543859649122806
max,ensemble_all_base,CNV,178,250,6.746255745597368,3.7112983363206267,142,0.797752808988764
max,ensemble_all_base,DME,167,250,6.043327254187554,4.458610303970032,95,0.5688622754491018
max,ensemble_all_base,DRUSEN,169,250,2.188085008661074,1.8294988507691203,17,0.10059171597633136
max,ensemble_all_base,NORMAL,171,250,0.8225933238915792,0.9048890645977941,2,0.011695906432748537
top2_mean,mse,CNV,178,250,0.0027731184921557022,0.0010974661333346468,149,0.8370786516853933
top2_mean,mse,DME,167,250,0.002490814025151337,0.00148852933918421,102,0.6107784431137725
top2_mean,mse,DRUSEN,169,250,0.0011983326085692977,0.0005587544459268376,17,0.10059171597633136
