patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,topk_mse_5,0.010315322615647816,0.9512708489771771,0.8715328467153285,0.9712389380530974,0.8540856031128404,0.9089026915113871,0.07602339181286549,158,13,75,439
top2_mean,topk_mse_5,0.021192795876413564,0.9479486654379139,0.6452554744525547,0.9963369963369964,0.5291828793774319,0.6912325285895807,0.005847953216374269,170,1,242,272
max,topk_mse_5,0.023738648742437345,0.94328395567388,0.6131386861313869,0.9960159362549801,0.48638132295719844,0.6535947712418301,0.005847953216374269,170,1,264,250
mean,topk_mse_10,0.006542730216557778,0.9428629940610281,0.8744525547445255,0.9734513274336283,0.8560311284046692,0.9109730848861284,0.07017543859649122,159,12,74,440
top2_mean,topk_mse_10,0.012899032281711688,0.9391767356133525,0.6496350364963503,0.9963768115942029,0.5350194552529183,0.6962025316455697,0.005847953216374269,170,1,239,275
max,topk_mse_10,0.014163571782410138,0.9339886681684757,0.6291970802919709,0.9961832061068703,0.5077821011673151,0.6726804123711341,0.005847953216374269,170,1,253,261
mean,ensemble_mse_ssim_topk,1.43415124712283,0.9241927776640045,0.8598540145985402,0.9543478260869566,0.8540856031128404,0.9014373716632443,0.12280701754385964,150,21,75,439
mean,retina_weighted_mse,0.0010931948852323165,0.92200832821353,0.8540145985401459,0.944206008583691,0.8560311284046692,0.8979591836734694,0.15204678362573099,145,26,74,440
mean,ensemble_mse_retina,1.318044893294848,0.9216101212824539,0.8613138686131386,0.9544468546637744,0.8560311284046692,0.9025641025641026,0.12280701754385964,150,21,74,440
top2_mean,ensemble_mse_ssim_topk,3.8939718655662126,0.9197214826950646,0.6598540145985401,0.9895470383275261,0.5525291828793775,0.7091136079900124,0.017543859649122806,168,3,230,284
mean,ensemble_all_base,1.3046539980023668,0.9189478235146882,0.8598540145985402,0.9504310344827587,0.857976653696498,0.901840490797546,0.13450292397660818,148,23,73,441
mean,mse,0.0009948931499950827,0.9188795594693607,0.8496350364963504,0.9556541019955654,0.8385214007782101,0.8932642487046633,0.11695906432748537,151,20,83,431
top2_mean,retina_weighted_mse,0.0019879049854353062,0.9182879377431907,0.6496350364963503,0.9892857142857143,0.5389105058365758,0.6977329974811083,0.017543859649122806,168,3,237,277
mean,retina_band_mse,0.0011698500715687664,0.9180262589027693,0.8540145985401459,0.948051948051948,0.8521400778210116,0.8975409836065574,0.14035087719298245,147,24,76,438
