patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,95,mse,0.0009948931499950827,0.9188795594693607,0.8496350364963504,0.9556541019955654,0.8385214007782101,0.8932642487046633,0.11695906432748537,151,20,83,431
mean,97,mse,0.0010732218745397395,0.9188795594693607,0.8102189781021898,0.9615384615384616,0.7782101167315175,0.8602150537634409,0.0935672514619883,155,16,114,400
mean,99,mse,0.0012796999433663178,0.9188795594693607,0.7576642335766424,0.9833333333333333,0.688715953307393,0.8100686498855835,0.03508771929824561,165,6,160,354
mean,95,l1,0.020613418179564177,0.8619132136437071,0.7868613138686131,0.9035087719298246,0.8015564202334631,0.8494845360824742,0.2573099415204678,127,44,102,412
mean,97,l1,0.0216839960800627,0.8619132136437071,0.762043795620438,0.9333333333333333,0.7354085603112841,0.8226332970620239,0.15789473684210525,144,27,136,378
mean,99,l1,0.022892541525264577,0.8619132136437071,0.7328467153284671,0.9584487534626038,0.6731517509727627,0.7908571428571428,0.08771929824561403,156,15,168,346
mean,95,ssim_error,0.20275274232029902,0.7888251757799166,0.7226277372262774,0.8875598086124402,0.7217898832684825,0.796137339055794,0.27485380116959063,124,47,143,371
mean,97,ssim_error,0.21913000464439392,0.7888251757799166,0.6759124087591241,0.9033149171270718,0.6361867704280155,0.7465753424657534,0.2046783625730994,136,35,187,327
mean,99,ssim_error,0.23216049415078654,0.7888251757799166,0.6408759124087591,0.9267515923566879,0.566147859922179,0.7028985507246377,0.13450292397660818,148,23,223,291
mean,95,mse_ssim_score,0.0412333789374679,0.7969372198329807,0.7343065693430657,0.8896713615023474,0.7373540856031129,0.8063829787234043,0.27485380116959063,124,47,135,379
mean,97,mse_ssim_score,0.04453842650726437,0.7969372198329807,0.689051094890511,0.9056603773584906,0.6536964980544747,0.7593220338983051,0.2046783625730994,136,35,178,336
mean,99,mse_ssim_score,0.04737161474054058,0.7969372198329807,0.6452554744525547,0.9301587301587302,0.5700389105058365,0.706875753920386,0.1286549707602339,149,22,221,293
mean,95,retina_band_mse,0.0011698500715687664,0.9180262589027693,0.8540145985401459,0.948051948051948,0.8521400778210116,0.8975409836065574,0.14035087719298245,147,24,76,438
