score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
topk_mse_5,0.01269554812461137,0.948736,0.813,0.9861830742659758,0.7613333333333333,0.8592927012791572,0.032,242,8,179,571
topk_mse_10,0.00798792131245136,0.9395306666666667,0.809,0.9810671256454389,0.76,0.8564988730277987,0.044,239,11,180,570
ensemble_mse_ssim_topk,2.041698968085975,0.917504,0.802,0.9693877551020408,0.76,0.852017937219731,0.072,232,18,180,570
ensemble_mse_retina,2.0228410390861224,0.9153920000000001,0.793,0.9738219895287958,0.744,0.8435374149659864,0.06,235,15,192,558
retina_weighted_mse,0.0013444253476336595,0.9152,0.794,0.9738675958188153,0.7453333333333333,0.8444108761329305,0.06,235,15,191,559
mse,0.0011832378804683683,0.9126986666666668,0.786,0.9668989547038328,0.74,0.8383685800604229,0.076,231,19,195,555
ensemble_all_base,1.915802277138844,0.9120586666666666,0.8,0.9692832764505119,0.7573333333333333,0.8502994011976048,0.072,232,18,182,568
retina_band_mse,0.0014645259128883482,0.9105493333333333,0.781,0.9783783783783784,0.724,0.832183908045977,0.048,238,12,207,543
ensemble_l1_ssim_topk,1.8536936772884316,0.9042453333333333,0.785,0.9620034542314335,0.7426666666666667,0.8382242287434161,0.088,228,22,193,557
ensemble_mse_l1_retina,1.9229107429416659,0.9033546666666666,0.78,0.9681978798586572,0.7306666666666667,0.8328267477203647,0.072,232,18,202,548
ensemble_mse_l1,2.0615360038351866,0.8926613333333334,0.763,0.9605026929982047,0.7133333333333334,0.8186687069625096,0.088,228,22,215,535
ensemble_mse_l1_ssim,1.9428709084292897,0.8738879999999999,0.742,0.9538745387453874,0.6893333333333334,0.8003095975232198,0.1,225,25,233,517
l1,0.023058193176984775,0.848544,0.709,0.949119373776908,0.6466666666666666,0.7692307692307693,0.104,224,26,265,485
mse_ssim_score,0.048988975584506975,0.768856,0.605,0.9176470588235294,0.52,0.6638297872340425,0.14,215,35,360,390
ssim_error,0.24049993753433227,0.7592266666666667,0.594,0.9134615384615384,0.5066666666666667,0.6518010291595198,0.144,214,36,370,380
