level,score_mode,metric,point,ci_low,ci_high,std,iterations
image,mse,auroc,0.861872,0.8360553018159758,0.8856431967129857,0.01255897899541892,1000
image,mse,accuracy,0.695,0.667,0.723,0.01408190313828338,1000
image,mse,precision,0.9550102249488752,0.9358638387886885,0.9721642279324292,0.00960288397581522,1000
image,mse,recall,0.6226666666666667,0.5898767455358667,0.6566589395878816,0.01733699241710355,1000
image,mse,f1,0.7538337368845843,0.727269046742731,0.779035946881042,0.013366946595159308,1000
image,mse,fpr,0.088,0.05468218020428016,0.12757420541108486,0.018406236917926543,1000
image,l1,auroc,0.7762186666666667,0.7456490738718214,0.8063456999625237,0.016004441859412303,1000
image,l1,accuracy,0.608,0.579,0.637,0.01491815237454929,1000
image,l1,precision,0.9241706161137441,0.8983032098395081,0.9466388190684883,0.012562624167623186,1000
image,l1,recall,0.52,0.48378281727761574,0.5545479928730108,0.017956366353148456,1000
image,l1,f1,0.6655290102389079,0.6342734666220144,0.6942165878107732,0.015585468679170664,1000
image,l1,fpr,0.128,0.08905984719864177,0.16924710424710424,0.020489318674331604,1000
image,ssim_error,auroc,0.6604906666666666,0.6182087721880221,0.6998370632075271,0.020607050103115844,1000
image,ssim_error,accuracy,0.481,0.449,0.510025,0.015950611932494033,1000
image,ssim_error,precision,0.8620689655172413,0.8213171985626356,0.898463768115942,0.01971863649394959,1000
image,ssim_error,recall,0.36666666666666664,0.3337730870712401,0.40187499232441326,0.017504067006273796,1000
image,ssim_error,f1,0.5144995322731525,0.4787632002863791,0.5516636874663888,0.01873466220016682,1000
image,ssim_error,fpr,0.176,0.13222750662716357,0.22916872529644267,0.02446978574383127,1000
image,mse_ssim_score,auroc,0.6738879999999999,0.6343368961595489,0.7124638387730472,0.02000259623589472,1000
image,mse_ssim_score,accuracy,0.503,0.471,0.534,0.015995795243296463,1000
image,mse_ssim_score,precision,0.8753709198813057,0.8400999941666019,0.9067980307632018,0.017820448129551657,1000
image,mse_ssim_score,recall,0.3933333333333333,0.3575037009622502,0.4282029320443158,0.01806536792793095,1000
image,mse_ssim_score,f1,0.5427782888684453,0.5052329011880156,0.5773390653992643,0.018609848806581,1000
image,mse_ssim_score,fpr,0.168,0.12552258906035607,0.21177012740580103,0.02304813561240576,1000
