score_mode,class_name,sample_count,patient_count,mean_score,std_score,detected_count,detection_rate
mse,CNV,250,178,0.003909764794632792,0.0015417172959517505,224,0.896
mse,DME,250,167,0.00333729829499498,0.0017575388935111365,175,0.7
mse,DRUSEN,250,169,0.0022141717763151975,0.0009758548530911476,68,0.272
mse,NORMAL,250,171,0.0016119851833209396,0.0006644699844657908,22,0.088
l1,CNV,250,178,0.03853136694431305,0.007474158026844303,179,0.716
l1,DME,250,167,0.036033409863710404,0.007816219197276262,144,0.576
l1,DRUSEN,250,169,0.030645488522946834,0.006026023360552852,67,0.268
l1,NORMAL,250,171,0.028135485157370566,0.005944426549372981,32,0.128
ssim_error,CNV,250,178,0.4353334007263184,0.08754257104604457,122,0.488
ssim_error,DME,250,167,0.4178548014163971,0.08459366505864581,94,0.376
ssim_error,DRUSEN,250,169,0.38374457287788394,0.08538370818157819,59,0.236
ssim_error,NORMAL,250,171,0.36428366041183474,0.08704230920682998,44,0.176
mse_ssim_score,CNV,250,178,0.09019449369609356,0.018202750464188032,131,0.524
mse_ssim_score,DME,250,167,0.08624080017209053,0.01767283673450158,105,0.42
mse_ssim_score,DRUSEN,250,169,0.07852025333046914,0.017469260382661115,59,0.236
mse_ssim_score,NORMAL,250,171,0.07414632192254067,0.017827090536136788,42,0.168
retina_band_mse,CNV,250,178,0.004392352642025798,0.0015638420965905812,220,0.88
retina_band_mse,DME,250,167,0.003782515491358936,0.001880645297661238,173,0.692
retina_band_mse,DRUSEN,250,169,0.0025673243179917334,0.001110564613852364,80,0.32
retina_band_mse,NORMAL,250,171,0.0018241578140296042,0.0007176626490499511,17,0.068
retina_weighted_mse,CNV,250,178,0.004234992178156972,0.001534564728652094,224,0.896
retina_weighted_mse,DME,250,167,0.0036330412612296643,0.0018115867834833264,176,0.704
retina_weighted_mse,DRUSEN,250,169,0.0024475326538085937,0.0010461388971366682,76,0.304
retina_weighted_mse,NORMAL,250,171,0.0017485980903729796,0.0006862789942706337,17,0.068
topk_mse_5,CNV,250,178,0.04506216448545456,0.021297017699399037,235,0.94
topk_mse_5,DME,250,167,0.037537302300333975,0.02634468833482987,176,0.704
topk_mse_5,DRUSEN,250,169,0.023230725407600402,0.013850176157931923,77,0.308
topk_mse_5,NORMAL,250,171,0.014079537926241755,0.006145049845349944,10,0.04
topk_mse_10,CNV,250,178,0.028011310044676066,0.01219236612448442,235,0.94
topk_mse_10,DME,250,167,0.02342691145092249,0.014769908629784506,182,0.728
topk_mse_10,DRUSEN,250,169,0.014571962893009186,0.007773903462876175,69,0.276
topk_mse_10,NORMAL,250,171,0.009420659879222512,0.003748927633958749,14,0.056
ensemble_mse_l1,CNV,250,178,3.919634050394875,1.9401620540527114,212,0.848
ensemble_mse_l1,DME,250,167,3.1961078424099156,2.156242118777918,164,0.656
ensemble_mse_l1,DRUSEN,250,169,1.7393430629482738,1.303243683707621,67,0.268
ensemble_mse_l1,NORMAL,250,171,0.9872549040110791,1.049333454798806,23,0.092
ensemble_mse_l1_ssim,CNV,250,178,3.1179979870599883,1.4620347622490981,205,0.82
ensemble_mse_l1_ssim,DME,250,167,2.5877728054669364,1.5928805414067615,157,0.628
ensemble_mse_l1_ssim,DRUSEN,250,169,1.5231674082170479,1.0375837443771372,72,0.288
ensemble_mse_l1_ssim,NORMAL,250,171,0.9684713143688031,0.9153414454203986,26,0.104
ensemble_mse_retina,CNV,250,178,4.7408757037927165,2.490615076772093,226,0.904
ensemble_mse_retina,DME,250,167,3.778647009259657,2.910898593762649,178,0.712
ensemble_mse_retina,DRUSEN,250,169,1.8776298652256465,1.6543560006434375,74,0.296
ensemble_mse_retina,NORMAL,250,171,0.7937881284203525,1.097298097185971,20,0.08
ensemble_mse_ssim_topk,CNV,250,178,4.6936500153606975,2.5260379451609483,231,0.924
ensemble_mse_ssim_topk,DME,250,167,3.7535973757334293,3.0188326703380564,179,0.716
ensemble_mse_ssim_topk,DRUSEN,250,169,1.9423896779056768,1.628233246045023,76,0.304
ensemble_mse_ssim_topk,NORMAL,250,171,0.8623682374734172,0.9540694332148315,17,0.068
ensemble_l1_ssim_topk,CNV,250,178,3.791920449597104,1.875973287382763,225,0.9
ensemble_l1_ssim_topk,DME,250,167,3.0793906668485262,2.2424631329174587,177,0.708
ensemble_l1_ssim_topk,DRUSEN,250,169,1.6897131587431382,1.255132319587916,75,0.3
ensemble_l1_ssim_topk,NORMAL,250,171,0.855026979575515,0.8147222119761522,20,0.08
ensemble_mse_l1_retina,CNV,250,178,4.0162637031116395,1.9914177953422647,219,0.876
ensemble_mse_l1_retina,DME,250,167,3.247363932533958,2.285022005222774,173,0.692
ensemble_mse_l1_retina,DRUSEN,250,169,1.705196004885253,1.352648809305531,70,0.28
ensemble_mse_l1_retina,NORMAL,250,171,0.8546064246683103,1.009087963060887,25,0.1
ensemble_all_base,CNV,250,178,4.263507148774327,2.1605164582498166,228,0.912
ensemble_all_base,DME,250,167,3.4256332944950425,2.5599316801385013,182,0.728
ensemble_all_base,DRUSEN,250,169,1.7864687177475709,1.4348945609854933,72,0.288
ensemble_all_base,NORMAL,250,171,0.8272441753086942,0.9236080018748838,21,0.084
