patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
mean,mse,CNV,178,250,0.003942595476274992,0.0014608537058171923,173,0.9719101123595506
mean,mse,DME,167,250,0.0033007455690048423,0.0017227278561102633,141,0.844311377245509
mean,mse,DRUSEN,169,250,0.0022025724116003864,0.0009277805250197591,82,0.48520710059171596
mean,mse,NORMAL,171,250,0.0015953844610931169,0.0006125292841672364,29,0.1695906432748538
mean,l1,CNV,178,250,0.03888402690351197,0.007234177351865211,164,0.9213483146067416
mean,l1,DME,167,250,0.03584480500887535,0.007990231679002145,131,0.7844311377245509
mean,l1,DRUSEN,169,250,0.030740513165090477,0.005738202177763806,84,0.4970414201183432
mean,l1,NORMAL,171,250,0.02789876060033867,0.005344871749420481,47,0.27485380116959063
mean,ssim_error,CNV,178,250,0.4422255169018053,0.0830880765103152,128,0.7191011235955056
mean,ssim_error,DME,167,250,0.41661295198359877,0.08558989211303523,113,0.6766467065868264
mean,ssim_error,DRUSEN,169,250,0.3868176561653351,0.08018654731702882,85,0.5029585798816568
mean,ssim_error,NORMAL,171,250,0.36023904091549663,0.07907318895031089,61,0.3567251461988304
mean,mse_ssim_score,CNV,178,250,0.09159918146611915,0.01728128121767202,138,0.7752808988764045
mean,mse_ssim_score,DME,167,250,0.0859631879554791,0.017978844864470288,119,0.7125748502994012
mean,mse_ssim_score,DRUSEN,169,250,0.07912559043593313,0.01644148835394588,84,0.4970414201183432
mean,mse_ssim_score,NORMAL,171,250,0.07332411755174108,0.016177468125589754,62,0.36257309941520466
mean,retina_band_mse,CNV,178,250,0.0044210470840489475,0.0014686706811494889,172,0.9662921348314607
mean,retina_band_mse,DME,167,250,0.0037453382731839004,0.0018504029034234063,143,0.8562874251497006
mean,retina_band_mse,DRUSEN,169,250,0.002574622325287058,0.0010844779882935988,93,0.5502958579881657
mean,retina_band_mse,NORMAL,171,250,0.0018147905678515543,0.0006776800928730191,27,0.15789473684210525
mean,retina_weighted_mse,CNV,178,250,0.004266753946583982,0.0014496959977404011,172,0.9662921348314607
mean,retina_weighted_mse,DME,167,250,0.003596330968403202,0.0017881875073702902,144,0.8622754491017964
mean,retina_weighted_mse,DRUSEN,169,250,0.0024474202526206124,0.0010093234574445832,89,0.5266272189349113
mean,retina_weighted_mse,NORMAL,171,250,0.0017371399192748589,0.0006472622719927315,29,0.1695906432748538
mean,topk_mse_5,CNV,178,250,0.045043629357955306,0.020110063807015223,175,0.9831460674157303
mean,topk_mse_5,DME,167,250,0.03700092124490373,0.024534996131348755,144,0.8622754491017964
mean,topk_mse_5,DRUSEN,169,250,0.022835688444235922,0.012811635573348424,90,0.5325443786982249
mean,topk_mse_5,NORMAL,171,250,0.014141973311836753,0.006562713003289547,15,0.08771929824561403
mean,topk_mse_10,CNV,178,250,0.028043713663948224,0.011454843698055774,175,0.9831460674157303
mean,topk_mse_10,DME,167,250,0.023098921707064898,0.013986343902902116,145,0.8682634730538922
mean,topk_mse_10,DRUSEN,169,250,0.014376897051984399,0.007262914875851667,86,0.5088757396449705
mean,topk_mse_10,NORMAL,171,250,0.009406742512440893,0.0037964367663309065,19,0.1111111111111111
mean,ensemble_mse_l1,CNV,178,250,3.977149571483902,1.8470148607881822,171,0.9606741573033708
mean,ensemble_mse_l1,DME,167,250,3.1476827507409273,2.151540319966221,140,0.8383233532934131
mean,ensemble_mse_l1,DRUSEN,169,250,1.7358258442722638,1.2472261405367753,86,0.5088757396449705
mean,ensemble_mse_l1,NORMAL,171,250,0.9537038911820881,0.9502058715229394,42,0.24561403508771928
mean,ensemble_mse_l1_ssim,CNV,178,250,3.1752193682944654,1.3932822678129535,168,0.9438202247191011
mean,ensemble_mse_l1_ssim,DME,167,250,2.5520879504140632,1.607707273695512,138,0.8263473053892215
mean,ensemble_mse_l1_ssim,DRUSEN,169,250,1.5292398575276303,0.9944659424266322,88,0.5207100591715976
mean,ensemble_mse_l1_ssim,NORMAL,171,250,0.9350256456556859,0.8251112692176268,44,0.2573099415204678
mean,ensemble_mse_retina,CNV,178,250,4.791633215426888,2.3580818890427913,172,0.9662921348314607
mean,ensemble_mse_retina,DME,167,250,3.7184491194008387,2.8675798113926656,142,0.8502994011976048
mean,ensemble_mse_retina,DRUSEN,169,250,1.8719859829077106,1.5889994904425047,87,0.514792899408284
