patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,95,mse,0.0019857504244686825,0.8740869683937471,0.7854014598540145,0.9317647058823529,0.7704280155642024,0.8434504792332268,0.1695906432748538,142,29,118,396
mean,97,mse,0.0021832351310429373,0.8740869683937471,0.7445255474452555,0.9448818897637795,0.7003891050583657,0.8044692737430168,0.12280701754385964,150,21,154,360
mean,99,mse,0.0025767421770036556,0.8740869683937471,0.654014598540146,0.9694915254237289,0.556420233463035,0.7070457354758962,0.05263157894736842,162,9,228,286
mean,95,l1,0.029984760587103646,0.7988941224656972,0.7343065693430657,0.8896713615023474,0.7373540856031129,0.8063829787234043,0.27485380116959063,124,47,135,379
mean,97,l1,0.03151210655272006,0.7988941224656972,0.6978102189781021,0.9007832898172323,0.6712062256809338,0.7692307692307693,0.2222222222222222,133,38,169,345
mean,99,l1,0.03384617567011578,0.7988941224656972,0.6175182481751825,0.9468085106382979,0.519455252918288,0.6708542713567839,0.08771929824561403,156,15,247,267
mean,95,ssim_error,0.3802714166045188,0.6946435479099824,0.6364963503649635,0.8423772609819121,0.6342412451361867,0.7236403995560489,0.3567251461988304,110,61,188,326
mean,97,ssim_error,0.4011600489265568,0.6946435479099824,0.6,0.8658536585365854,0.5525291828793775,0.6745843230403801,0.2573099415204678,127,44,230,284
mean,99,ssim_error,0.42641412013477376,0.6946435479099824,0.5255474452554745,0.8705882352941177,0.43190661478599224,0.577373211963589,0.19298245614035087,138,33,292,222
mean,95,mse_ssim_score,0.07774824399501082,0.7074544337497441,0.656934306569343,0.8461538461538461,0.6634241245136187,0.7437295528898582,0.36257309941520466,109,62,173,341
mean,97,mse_ssim_score,0.08183948722441453,0.7074544337497441,0.6072992700729927,0.8700906344410876,0.5603112840466926,0.6816568047337278,0.25146198830409355,128,43,226,288
mean,99,mse_ssim_score,0.08731567437102744,0.7074544337497441,0.5313868613138686,0.8725868725868726,0.4396887159533074,0.5847347994825356,0.19298245614035087,138,33,288,226
mean,95,retina_band_mse,0.0022499007679446514,0.8798894122465697,0.8058394160583942,0.9379310344827586,0.7937743190661478,0.8598524762908325,0.15789473684210525,144,27,106,408
mean,97,retina_band_mse,0.002418369014165364,0.8798894122465697,0.7737226277372263,0.949874686716792,0.7373540856031129,0.8302300109529025,0.11695906432748537,151,20,135,379
mean,99,retina_band_mse,0.0030093169523289272,0.8798894122465697,0.654014598540146,0.9726962457337884,0.5544747081712063,0.7063197026022305,0.04678362573099415,163,8,229,285
mean,95,retina_weighted_mse,0.002155442280116293,0.8828816529000841,0.7985401459854015,0.9331797235023042,0.7879377431906615,0.8544303797468354,0.1695906432748538,142,29,109,405
mean,97,retina_weighted_mse,0.0023224818435623154,0.8828816529000841,0.7737226277372263,0.9476309226932669,0.7392996108949417,0.8306010928961749,0.12280701754385964,150,21,134,380
mean,99,retina_weighted_mse,0.002870474121909038,0.8828816529000841,0.6642335766423357,0.9797297297297297,0.5642023346303502,0.7160493827160493,0.03508771929824561,165,6,224,290
mean,95,topk_mse_5,0.019500477544286014,0.926456868500694,0.8248175182481752,0.964622641509434,0.7957198443579766,0.8720682302771855,0.08771929824561403,156,15,105,409
mean,97,topk_mse_5,0.021351495337672517,0.926456868500694,0.7781021897810219,0.9664948453608248,0.7295719844357976,0.8314855875831486,0.07602339181286549,158,13,139,375
mean,99,topk_mse_5,0.027391639528932726,0.926456868500694,0.6598540145985401,0.9795221843003413,0.5583657587548638,0.711276332094176,0.03508771929824561,165,6,227,287
mean,95,topk_mse_10,0.012469619641908337,0.9127471727307893,0.8145985401459854,0.9552941176470588,0.7898832684824902,0.8647497337593184,0.1111111111111111,152,19,108,406
mean,97,topk_mse_10,0.013614257420413195,0.9127471727307893,0.7824817518248175,0.9667519181585678,0.7354085603112841,0.8353591160220994,0.07602339181286549,158,13,136,378
mean,99,topk_mse_10,0.016555321148258015,0.9127471727307893,0.6934306569343066,0.9840764331210191,0.6011673151750972,0.7463768115942029,0.029239766081871343,166,5,205,309
mean,95,ensemble_mse_l1,1.426504107109684,0.8509795890504471,0.7678832116788321,0.9043280182232346,0.7723735408560312,0.8331584470094439,0.24561403508771928,129,42,117,397
mean,97,ensemble_mse_l1,1.7514293355445507,0.8509795890504471,0.7386861313868613,0.9373368146214099,0.6984435797665369,0.8004459308807135,0.14035087719298245,147,24,155,359
mean,99,ensemble_mse_l1,2.2947160586560864,0.8509795890504471,0.6510948905109489,0.9629629629629629,0.556420233463035,0.7053020961775586,0.06432748538011696,160,11,228,286
mean,95,ensemble_mse_l1_ssim,1.281128575193848,0.8323890140396386,0.7605839416058394,0.8995433789954338,0.7665369649805448,0.8277310924369747,0.2573099415204678,127,44,120,394
mean,97,ensemble_mse_l1_ssim,1.5856362423124346,0.8323890140396386,0.7284671532846715,0.9293193717277487,0.6906614785992218,0.7924107142857143,0.15789473684210525,144,27,159,355
mean,99,ensemble_mse_l1_ssim,1.9978215154880252,0.8323890140396386,0.6394160583941606,0.9556313993174061,0.5447470817120622,0.6939281288723668,0.07602339181286549,158,13,234,280
mean,95,ensemble_mse_retina,1.4596984237922568,0.8814822399708739,0.7970802919708029,0.9391100702576113,0.7801556420233463,0.8522848034006376,0.15204678362573099,145,26,113,401
mean,97,ensemble_mse_retina,1.7159266097785841,0.8814822399708739,0.7678832116788321,0.947103274559194,0.7315175097276264,0.8254665203073546,0.12280701754385964,150,21,138,376
mean,99,ensemble_mse_retina,2.475869710414397,0.8814822399708739,0.6744525547445256,0.9770491803278688,0.5797665369649806,0.7277167277167277,0.04093567251461988,164,7,216,298
mean,95,ensemble_mse_ssim_topk,1.3889973966605706,0.891505677293103,0.8189781021897811,0.9314159292035398,0.8190661478599222,0.8716356107660456,0.18128654970760233,140,31,93,421
mean,97,ensemble_mse_ssim_topk,1.7570300703054325,0.891505677293103,0.7678832116788321,0.9539641943734015,0.72568093385214,0.8243093922651934,0.10526315789473684,153,18,141,373
mean,99,ensemble_mse_ssim_topk,2.3274875900676806,0.891505677293103,0.708029197080292,0.9815950920245399,0.622568093385214,0.7619047619047619,0.03508771929824561,165,6,194,320
mean,95,ensemble_l1_ssim_topk,1.249858354797817,0.8795936013834846,0.8116788321167884,0.9157667386609071,0.8249027237354085,0.8679631525076765,0.22807017543859648,132,39,90,424
