score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
topk_mse_5,0.02385356239974498,0.9204106666666666,0.728,0.9799196787148594,0.6506666666666666,0.782051282051282,0.04,240,10,262,488
topk_mse_10,0.015179357305169104,0.9051946666666666,0.722,0.972,0.648,0.7776,0.056,236,14,264,486
ensemble_mse_ssim_topk,2.1092438410674808,0.8799093333333334,0.719,0.9662027833001988,0.648,0.7757382282521947,0.068,233,17,264,486
ensemble_all_base,1.9731444941485927,0.871888,0.711,0.9582504970178927,0.6426666666666667,0.7693535514764565,0.084,229,21,268,482
retina_weighted_mse,0.0026117329485714435,0.8718826666666666,0.709,0.9655172413793104,0.6346666666666667,0.7658889782783588,0.068,233,17,274,476
ensemble_mse_retina,2.129492018177837,0.8701813333333334,0.708,0.9598393574297188,0.6373333333333333,0.7660256410256411,0.08,230,20,272,478
retina_band_mse,0.002762639988213777,0.8686933333333333,0.706,0.9653061224489796,0.6306666666666667,0.7629032258064516,0.068,233,17,277,473
ensemble_l1_ssim_topk,1.862799050219215,0.8665013333333333,0.707,0.959758551307847,0.636,0.7650360866078588,0.08,230,20,273,477
mse,0.0023821683600544928,0.861872,0.695,0.9550102249488752,0.6226666666666667,0.7538337368845843,0.088,228,22,283,467
ensemble_mse_l1_retina,1.982209450701413,0.8533813333333333,0.687,0.9486652977412731,0.616,0.7469684721099434,0.1,225,25,288,462
ensemble_mse_l1,2.1230734785688274,0.8351839999999999,0.67,0.9506437768240343,0.5906666666666667,0.7286184210526315,0.092,227,23,307,443
ensemble_mse_l1_ssim,1.88977425909323,0.8122986666666666,0.658,0.9434782608695652,0.5786666666666667,0.7173553719008264,0.104,224,26,316,434
l1,0.0338418826460838,0.7762186666666667,0.608,0.9241706161137441,0.52,0.6655290102389079,0.128,218,32,360,390
mse_ssim_score,0.09018707424402236,0.6738879999999999,0.503,0.8753709198813057,0.3933333333333333,0.5427782888684453,0.168,208,42,455,295
ssim_error,0.4429769515991211,0.6604906666666666,0.481,0.8620689655172413,0.36666666666666664,0.5144995322731525,0.176,206,44,475,275
