percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
95,mse,0.0023821683600544928,0.861872,0.695,0.9550102249488752,0.6226666666666667,0.7538337368845843,0.088,228,22,283,467
97,mse,0.0027863020263612258,0.861872,0.61,0.9736842105263158,0.49333333333333335,0.6548672566371682,0.04,240,10,380,370
99,mse,0.003685862729325895,0.861872,0.46,0.9772727272727273,0.2866666666666667,0.44329896907216493,0.02,245,5,535,215
95,l1,0.0338418826460838,0.7762186666666667,0.608,0.9241706161137441,0.52,0.6655290102389079,0.128,218,32,360,390
97,l1,0.03668733671307558,0.7762186666666667,0.52,0.9470198675496688,0.38133333333333336,0.5437262357414449,0.064,234,16,464,286
99,l1,0.04213511154055597,0.7762186666666667,0.368,0.946969696969697,0.16666666666666666,0.2834467120181406,0.028,243,7,625,125
95,ssim_error,0.4429769515991211,0.6604906666666666,0.481,0.8620689655172413,0.36666666666666664,0.5144995322731525,0.176,206,44,475,275
97,ssim_error,0.4760279369354248,0.6604906666666666,0.399,0.8706467661691543,0.23333333333333334,0.36803364879074657,0.104,224,26,575,175
99,ssim_error,0.539699902534485,0.6604906666666666,0.298,0.875,0.07466666666666667,0.1375921375921376,0.032,242,8,694,56
95,mse_ssim_score,0.09018707424402236,0.6738879999999999,0.503,0.8753709198813057,0.3933333333333333,0.5427782888684453,0.168,208,42,455,295
97,mse_ssim_score,0.09716939151287078,0.6738879999999999,0.412,0.8820754716981132,0.24933333333333332,0.3887733887733888,0.1,225,25,563,187
99,mse_ssim_score,0.11049742162227631,0.6738879999999999,0.301,0.8805970149253731,0.07866666666666666,0.14443084455324356,0.032,242,8,691,59
95,retina_band_mse,0.002762639988213777,0.8686933333333333,0.706,0.9653061224489796,0.6306666666666667,0.7629032258064516,0.068,233,17,277,473
97,retina_band_mse,0.00316550581716001,0.8686933333333333,0.62,0.9768041237113402,0.5053333333333333,0.6660808435852372,0.036,241,9,371,379
99,retina_band_mse,0.003992808349430561,0.8686933333333333,0.48,0.9752066115702479,0.31466666666666665,0.47580645161290325,0.024,244,6,514,236
95,retina_weighted_mse,0.0026117329485714435,0.8718826666666666,0.709,0.9655172413793104,0.6346666666666667,0.7658889782783588,0.068,233,17,274,476
97,retina_weighted_mse,0.0029737510345876207,0.8718826666666666,0.634,0.9729064039408867,0.5266666666666666,0.6833910034602076,0.044,239,11,355,395
99,retina_weighted_mse,0.0038420285843312743,0.8718826666666666,0.482,0.9793388429752066,0.316,0.4778225806451613,0.02,245,5,513,237
95,topk_mse_5,0.02385356239974498,0.9204106666666666,0.728,0.9799196787148594,0.6506666666666666,0.782051282051282,0.04,240,10,262,488
97,topk_mse_5,0.027533021718263617,0.9204106666666666,0.652,0.9855072463768116,0.544,0.7010309278350515,0.024,244,6,342,408
99,topk_mse_5,0.03977610871195794,0.9204106666666666,0.468,0.990990990990991,0.29333333333333333,0.45267489711934156,0.008,248,2,530,220
95,topk_mse_10,0.015179357305169104,0.9051946666666666,0.722,0.972,0.648,0.7776,0.056,236,14,264,486
97,topk_mse_10,0.01786394387483596,0.9051946666666666,0.644,0.9852216748768473,0.5333333333333333,0.6920415224913494,0.024,244,6,350,400
99,topk_mse_10,0.024146436378359802,0.9051946666666666,0.483,0.9874476987447699,0.31466666666666665,0.47724974721941354,0.012,247,3,514,236
95,ensemble_mse_l1,2.1230734785688274,0.8351839999999999,0.67,0.9506437768240343,0.5906666666666667,0.7286184210526315,0.092,227,23,307,443
97,ensemble_mse_l1,2.6814807037000348,0.8351839999999999,0.592,0.9621621621621622,0.4746666666666667,0.6357142857142857,0.056,236,14,394,356
99,ensemble_mse_l1,3.882797658303428,0.8351839999999999,0.444,0.970873786407767,0.26666666666666666,0.41841004184100417,0.024,244,6,550,200
95,ensemble_mse_l1_ssim,1.88977425909323,0.8122986666666666,0.658,0.9434782608695652,0.5786666666666667,0.7173553719008264,0.104,224,26,316,434
97,ensemble_mse_l1_ssim,2.382375637455657,0.8122986666666666,0.565,0.9565217391304348,0.44,0.6027397260273972,0.06,235,15,420,330
99,ensemble_mse_l1_ssim,3.2696578543209673,0.8122986666666666,0.427,0.9682539682539683,0.244,0.38977635782747605,0.024,244,6,567,183
95,ensemble_mse_retina,2.129492018177837,0.8701813333333334,0.708,0.9598393574297188,0.6373333333333333,0.7660256410256411,0.08,230,20,272,478
97,ensemble_mse_retina,2.7556599609112964,0.8701813333333334,0.621,0.9720101781170484,0.5093333333333333,0.668416447944007,0.044,239,11,368,382
99,ensemble_mse_retina,4.227195530635278,0.8701813333333334,0.476,0.9747899159663865,0.30933333333333335,0.46963562753036436,0.024,244,6,518,232
95,ensemble_mse_ssim_topk,2.1092438410674808,0.8799093333333334,0.719,0.9662027833001988,0.648,0.7757382282521947,0.068,233,17,264,486
97,ensemble_mse_ssim_topk,2.6578234764609787,0.8799093333333334,0.635,0.9776674937965261,0.5253333333333333,0.6834345186470078,0.036,241,9,356,394
99,ensemble_mse_ssim_topk,3.8935279213991985,0.8799093333333334,0.491,0.9800796812749004,0.328,0.4915084915084915,0.02,245,5,504,246
95,ensemble_l1_ssim_topk,1.862799050219215,0.8665013333333333,0.707,0.959758551307847,0.636,0.7650360866078588,0.08,230,20,273,477
97,ensemble_l1_ssim_topk,2.312477788189605,0.8665013333333333,0.638,0.9754901960784313,0.5306666666666666,0.687392055267703,0.04,240,10,352,398
99,ensemble_l1_ssim_topk,3.218550303238277,0.8665013333333333,0.489,0.9799196787148594,0.3253333333333333,0.48848848848848847,0.02,245,5,506,244
95,ensemble_mse_l1_retina,1.982209450701413,0.8533813333333333,0.687,0.9486652977412731,0.616,0.7469684721099434,0.1,225,25,288,462
97,ensemble_mse_l1_retina,2.557515062459652,0.8533813333333333,0.608,0.9685863874345549,0.49333333333333335,0.6537102473498233,0.048,238,12,380,370
99,ensemble_mse_l1_retina,3.747496383142374,0.8533813333333333,0.467,0.9737991266375546,0.29733333333333334,0.45556690500510727,0.024,244,6,527,223
95,ensemble_all_base,1.9731444941485927,0.871888,0.711,0.9582504970178927,0.6426666666666667,0.7693535514764565,0.084,229,21,268,482
97,ensemble_all_base,2.501074207968774,0.871888,0.632,0.9751243781094527,0.5226666666666666,0.6805555555555556,0.04,240,10,358,392
99,ensemble_all_base,3.6581744443348145,0.871888,0.493,0.9802371541501976,0.33066666666666666,0.4945164506480558,0.02,245,5,502,248
