level,score_mode,metric,point,ci_low,ci_high,std,iterations
image,mse,auroc,0.9092693333333333,0.8910798544182622,0.9266928670771849,0.009370159460861442,1000
image,mse,accuracy,0.776,0.751975,0.801,0.01257967436809107,1000
image,mse,precision,0.9781818181818182,0.9661921708185054,0.9890715350223547,0.00616644959265221,1000
image,mse,recall,0.7173333333333334,0.6879879176394317,0.75,0.015855238863167666,1000
image,mse,f1,0.8276923076923077,0.8074749486316893,0.849337441471858,0.010903154297069369,1000
image,mse,fpr,0.048,0.023897324089468895,0.07595741257240934,0.013520027952450478,1000
image,l1,auroc,0.8448640000000001,0.8192735283714989,0.8676530513758351,0.012840685501527008,1000
image,l1,accuracy,0.697,0.668975,0.725,0.013976496071707022,1000
image,l1,precision,0.9496981891348089,0.9305521040424122,0.9665988169798191,0.009591461132015899,1000
image,l1,recall,0.6293333333333333,0.5935745261171305,0.6621442847189115,0.017355464873044717,1000
image,l1,f1,0.7570168404170008,0.7283620976190577,0.781447993406344,0.013301722190032294,1000
image,l1,fpr,0.1,0.0664058447873444,0.13710685483870966,0.018310027014745753,1000
image,retina_band_mse,auroc,0.9052800000000001,0.8849590428132396,0.9242187328020581,0.010023990208617438,1000
image,retina_band_mse,accuracy,0.762,0.735,0.789,0.013533964836817205,1000
image,retina_band_mse,precision,0.9830188679245283,0.9716419222118995,0.9925519014106404,0.0055169754787393055,1000
image,retina_band_mse,recall,0.6946666666666667,0.6620743058379858,0.7280369945943648,0.01689294498725019,1000
image,retina_band_mse,f1,0.8140625,0.7904532742950361,0.8370021218886439,0.01192861954442981,1000
image,retina_band_mse,fpr,0.036,0.01568627450980392,0.060734916559691904,0.01172374901621956,1000
image,retina_weighted_mse,auroc,0.9104640000000002,0.8909650044992365,0.9279902413216988,0.009636248622340509,1000
image,retina_weighted_mse,accuracy,0.776,0.749975,0.803,0.013517019264978877,1000
image,retina_weighted_mse,precision,0.9816849816849816,0.9699231456300326,0.9910237414979118,0.0055349587675131455,1000
image,retina_weighted_mse,recall,0.7146666666666667,0.6828890350877193,0.7470703860640301,0.01679418415927064,1000
image,retina_weighted_mse,f1,0.8271604938271605,0.8048570886213255,0.8496297048928628,0.011682246216660534,1000
image,retina_weighted_mse,fpr,0.04,0.019230769230769232,0.06589147286821706,0.01188054496149847,1000
image,topk_mse_5,auroc,0.9437386666666667,0.9283683945032702,0.9580661375762644,0.007710642226283522,1000
image,topk_mse_5,accuracy,0.784,0.759975,0.808,0.012923502501911667,1000
image,topk_mse_5,precision,0.9872262773722628,0.9763603955459531,0.99609375,0.004848835214500843,1000
image,topk_mse_5,recall,0.7213333333333334,0.6910737246858878,0.7510148849797023,0.016114866159470703,1000
image,topk_mse_5,f1,0.8335901386748844,0.8125453100158982,0.8543437186805525,0.011132144709176325,1000
image,topk_mse_5,fpr,0.028,0.009171198472331771,0.05002659574468083,0.010397592611024103,1000
image,topk_mse_10,auroc,0.9355626666666665,0.9193079801762825,0.9508291440363157,0.007909297161774196,1000
image,topk_mse_10,accuracy,0.784,0.757,0.809,0.012942373199070727,1000
image,topk_mse_10,precision,0.9836956521739131,0.9724719768013703,0.9928057553956835,0.005405411240733681,1000
