score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
topk_mse_5,0.014307661727070804,0.9437386666666667,0.784,0.9872262773722628,0.7213333333333334,0.8335901386748844,0.028,243,7,209,541
topk_mse_10,0.008925210684537884,0.9355626666666665,0.784,0.9836956521739131,0.724,0.8341013824884793,0.036,241,9,207,543
ensemble_all_base,2.1704586526275502,0.9206613333333333,0.786,0.9785714285714285,0.7306666666666667,0.8366412213740458,0.048,238,12,202,548
ensemble_mse_retina,2.0909301555849518,0.9115306666666667,0.773,0.9780621572212066,0.7133333333333334,0.8249807247494217,0.048,238,12,215,535
retina_weighted_mse,0.0014633822720497842,0.9104640000000002,0.776,0.9816849816849816,0.7146666666666667,0.8271604938271605,0.04,240,10,214,536
mse,0.0012765184976160512,0.9092693333333333,0.776,0.9781818181818182,0.7173333333333334,0.8276923076923077,0.048,238,12,212,538
retina_band_mse,0.0015872456599026915,0.9052800000000001,0.762,0.9830188679245283,0.6946666666666667,0.8140625,0.036,241,9,229,521
ensemble_mse_l1_retina,1.9466484684469874,0.8992853333333335,0.768,0.9692028985507246,0.7133333333333334,0.8218125960061444,0.068,233,17,215,535
ensemble_mse_l1,2.1172949298736876,0.8889706666666668,0.751,0.9664804469273743,0.692,0.8065268065268065,0.072,232,18,231,519
l1,0.023577748239040373,0.8448640000000001,0.697,0.9496981891348089,0.6293333333333333,0.7570168404170008,0.1,225,25,278,472
