level,score_mode,metric,point,ci_low,ci_high,std,iterations
image,mse,auroc,0.910208,0.8921239714476722,0.9275390076450404,0.009182435135804707,1000
image,mse,accuracy,0.775,0.75,0.8,0.01248459787835333,1000
image,mse,precision,0.9746835443037974,0.9604117628816424,0.9861615476997349,0.0068447539668082275,1000
image,mse,recall,0.7186666666666667,0.6896540528437081,0.7507010529000292,0.015640254142167884,1000
image,mse,f1,0.827321565617805,0.8062738970588236,0.8478461818768467,0.010765539574625616,1000
image,mse,fpr,0.056,0.02973702326862178,0.08880973223078487,0.014969380780410772,1000
image,l1,auroc,0.8431253333333333,0.818356601643711,0.8662150576535521,0.012904396710526097,1000
image,l1,accuracy,0.701,0.673,0.728,0.013925835878140476,1000
image,l1,precision,0.9519038076152304,0.9329120904909416,0.9686369713174526,0.009475806336105922,1000
image,l1,recall,0.6333333333333333,0.5972972972972973,0.6662542603168754,0.01715502152453803,1000
image,l1,f1,0.7606084867894315,0.7323891753469218,0.7846939754235943,0.013104847146150659,1000
image,l1,fpr,0.096,0.062043088326826236,0.13257575757575757,0.018217331182925265,1000
image,retina_band_mse,auroc,0.905264,0.8858709752731337,0.9231644703453792,0.009778317923612416,1000
image,retina_band_mse,accuracy,0.759,0.733,0.787,0.013523865347375146,1000
image,retina_band_mse,precision,0.9829222011385199,0.9710954707572589,0.992579193293479,0.005385523410645689,1000
image,retina_band_mse,recall,0.6906666666666667,0.6572872948748637,0.7248786433833795,0.0168003415404522,1000
image,retina_band_mse,f1,0.8112764291307752,0.7868517685851318,0.834323740155149,0.011878902115370663,1000
image,retina_band_mse,fpr,0.036,0.015933105522573737,0.06015124617098301,0.011470499667682797,1000
image,retina_weighted_mse,auroc,0.9109546666666666,0.8922963722823417,0.9275691239315771,0.009308860708413016,1000
image,retina_weighted_mse,accuracy,0.778,0.752,0.803,0.013460855308100816,1000
image,retina_weighted_mse,precision,0.9817518248175182,0.9698638931689779,0.9910554561717353,0.005506791864612612,1000
image,retina_weighted_mse,recall,0.7173333333333334,0.6847807701359063,0.7487138020833333,0.01672869095213613,1000
image,retina_weighted_mse,f1,0.8289676425269645,0.8072059214769935,0.8506835285211738,0.011564715183372643,1000
image,retina_weighted_mse,fpr,0.04,0.019230769230769232,0.06589147286821706,0.01188054496149847,1000
image,topk_mse_5,auroc,0.9453973333333333,0.9316868675508045,0.9587320368880129,0.006942192698178365,1000
