score_mode,class_name,sample_count,patient_count,mean_score,std_score,detected_count,detection_rate
mse,CNV,250,178,0.002744823885615915,0.0010724559228033467,243,0.972
mse,DME,250,167,0.002544505123514682,0.0015265691413625525,208,0.832
mse,DRUSEN,250,169,0.001267969015520066,0.0005937726999735702,88,0.352
mse,NORMAL,250,171,0.0008403458502143622,0.00027981269926795213,14,0.056
l1,CNV,250,178,0.0304911650121212,0.006029198879082605,224,0.896
l1,DME,250,167,0.029319887217134237,0.007642347500689266,185,0.74
l1,DRUSEN,250,169,0.021917261213064195,0.003965651769969777,66,0.264
l1,NORMAL,250,171,0.019697756916284562,0.003547738170247781,24,0.096
retina_band_mse,CNV,250,178,0.003171193621587008,0.001155422174018489,241,0.964
retina_band_mse,DME,250,167,0.0030139313023537398,0.0018335214315242346,203,0.812
retina_band_mse,DRUSEN,250,169,0.0015401151701807975,0.0007544279939508472,74,0.296
retina_band_mse,NORMAL,250,171,0.0010147480808664114,0.00034255372358952434,9,0.036
retina_weighted_mse,CNV,250,178,0.003032255293801427,0.0011049161232599932,242,0.968
retina_weighted_mse,DME,250,167,0.0028581042932346464,0.0017111083565095316,207,0.828
retina_weighted_mse,DRUSEN,250,169,0.0014484082930721343,0.0006897174488896823,89,0.356
retina_weighted_mse,NORMAL,250,171,0.0009526758869178593,0.00030955357962345146,10,0.04
topk_mse_5,CNV,250,178,0.03354819168150425,0.01379350044175649,245,0.98
topk_mse_5,DME,250,167,0.03056858387030661,0.02007212769552793,210,0.84
topk_mse_5,DRUSEN,250,169,0.014865120815113186,0.009060446861569094,88,0.352
topk_mse_5,NORMAL,250,171,0.008093055745586752,0.0027390397929988324,7,0.028
topk_mse_10,CNV,250,178,0.02089735916443169,0.008311368330528939,245,0.98
topk_mse_10,DME,250,167,0.019174982452765107,0.01228448309518071,209,0.836
topk_mse_10,DRUSEN,250,169,0.009115379023365676,0.005101508127473997,92,0.368
topk_mse_10,NORMAL,250,171,0.005313099961727858,0.0017023783100238966,8,0.032
ensemble_mse_l1,CNV,250,178,5.4595569763290515,2.56655019596793,239,0.956
ensemble_mse_l1,DME,250,167,4.965195109679206,3.56441888020321,203,0.812
ensemble_mse_l1,DRUSEN,250,169,1.822178075375474,1.4570507306686764,78,0.312
ensemble_mse_l1,NORMAL,250,171,0.8003354175577538,0.8993033569934027,19,0.076
ensemble_mse_retina,CNV,250,178,6.46068663377044,3.1778634591293087,244,0.976
ensemble_mse_retina,DME,250,167,5.921024421562087,4.788856140298195,208,0.832
ensemble_mse_retina,DRUSEN,250,169,1.927385716042238,1.902851258489796,90,0.36
ensemble_mse_retina,NORMAL,250,171,0.5523415534217548,0.8612696139678034,10,0.04
ensemble_mse_l1_retina,CNV,250,178,5.452459311628653,2.550322018026773,243,0.972
ensemble_mse_l1_retina,DME,250,167,4.999600356054049,3.754823408517201,205,0.82
ensemble_mse_l1_retina,DRUSEN,250,169,1.7488707927336884,1.5230575610886028,85,0.34
ensemble_mse_l1_retina,NORMAL,250,171,0.6557855594857233,0.8290417099232831,17,0.068
ensemble_all_base,CNV,250,178,6.655484618338372,3.198875368620406,243,0.972
ensemble_all_base,DME,250,167,6.037146844710557,4.779586600770954,210,0.84
ensemble_all_base,DRUSEN,250,169,2.0308099350871225,1.981289481988022,91,0.364
ensemble_all_base,NORMAL,250,171,0.5562317345029867,0.8165815834215007,11,0.044
