patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
mean,mse,CNV,178,250,0.0027488053607115817,0.0009864830494981719,175,0.9831460674157303
mean,mse,DME,167,250,0.0025023394399025156,0.0014778959904626506,151,0.9041916167664671
mean,mse,DRUSEN,169,250,0.001253316769218523,0.0005550164744592198,88,0.5207100591715976
mean,mse,NORMAL,171,250,0.0008356139582597647,0.000256467990539215,20,0.11695906432748537
mean,l1,CNV,178,250,0.03061003027726239,0.005743927983603741,173,0.9719101123595506
mean,l1,DME,167,250,0.029076185023377724,0.007506977875843429,149,0.8922155688622755
mean,l1,DRUSEN,169,250,0.021901002600586958,0.003749388130653169,87,0.514792899408284
mean,l1,NORMAL,171,250,0.019582918204446995,0.0032151540437928617,46,0.26900584795321636
mean,retina_band_mse,CNV,178,250,0.003165224601310373,0.0010498242712183214,176,0.9887640449438202
mean,retina_band_mse,DME,167,250,0.002970269516396893,0.001778159389312972,153,0.9161676646706587
mean,retina_band_mse,DRUSEN,169,250,0.0015368326699360785,0.0007190116590796913,98,0.5798816568047337
mean,retina_band_mse,NORMAL,171,250,0.0010139780235192632,0.00030904532782971604,22,0.1286549707602339
mean,retina_weighted_mse,CNV,178,250,0.003031823381996442,0.0010138717479247427,176,0.9887640449438202
mean,retina_weighted_mse,DME,167,250,0.0028147080490163435,0.0016631658395122042,154,0.9221556886227545
mean,retina_weighted_mse,DRUSEN,169,250,0.0014406740591928118,0.0006512498602785158,98,0.5798816568047337
mean,retina_weighted_mse,NORMAL,171,250,0.0009505689139368465,0.0002832526421742901,22,0.1286549707602339
mean,topk_mse_5,CNV,178,250,0.033550195081311955,0.012529015657517744,177,0.9943820224719101
mean,topk_mse_5,DME,167,250,0.030083611393342962,0.019332749982783323,156,0.9341317365269461
mean,topk_mse_5,DRUSEN,169,250,0.014583035636655096,0.008242343027236688,96,0.5680473372781065
mean,topk_mse_5,NORMAL,171,250,0.008126818525176409,0.0026816251625281498,15,0.08771929824561403
mean,topk_mse_10,CNV,178,250,0.020873918010892667,0.007577839554126966,176,0.9887640449438202
mean,topk_mse_10,DME,167,250,0.018840515565327634,0.011817802143631886,156,0.9341317365269461
mean,topk_mse_10,DRUSEN,169,250,0.0089594294053467,0.004699009281598646,93,0.5502958579881657
mean,topk_mse_10,NORMAL,171,250,0.005316175896443782,0.001630464208253671,14,0.08187134502923976
mean,ensemble_mse_l1,CNV,178,250,5.480777339771554,2.380335220469739,175,0.9831460674157303
mean,ensemble_mse_l1,DME,167,250,4.861474400493657,3.468195814887667,151,0.9041916167664671
mean,ensemble_mse_l1,DRUSEN,169,250,1.7942928956119286,1.3750100721141654,94,0.5562130177514792
mean,ensemble_mse_l1,NORMAL,171,250,0.7782661732691473,0.8177912092413459,28,0.16374269005847952
mean,ensemble_mse_retina,CNV,178,250,6.460718212637938,2.9228940087755784,176,0.9887640449438202
mean,ensemble_mse_retina,DME,167,250,5.795012679994118,4.647838032068734,154,0.9221556886227545
mean,ensemble_mse_retina,DRUSEN,169,250,1.8975787706956617,1.7912136593453543,91,0.5384615384615384
mean,ensemble_mse_retina,NORMAL,171,250,0.5430565357443039,0.7887550628744464,20,0.11695906432748537
mean,ensemble_mse_l1_retina,CNV,178,250,5.461926860941362,2.35999067077392,176,0.9887640449438202
mean,ensemble_mse_l1_retina,DME,167,250,4.896224953005868,3.6569262904064894,153,0.9161676646706587
mean,ensemble_mse_l1_retina,DRUSEN,169,250,1.7277073864086399,1.4413399707446823,96,0.5680473372781065
mean,ensemble_mse_l1_retina,NORMAL,171,250,0.6404690504430077,0.7575482007668036,28,0.16374269005847952
mean,ensemble_all_base,CNV,178,250,6.658111029598121,2.9269957171637855,176,0.9887640449438202
mean,ensemble_all_base,DME,167,250,5.909949046237725,4.634476153095838,155,0.9281437125748503
mean,ensemble_all_base,DRUSEN,169,250,1.9878494574729615,1.8461376104276337,93,0.5502958579881657
mean,ensemble_all_base,NORMAL,171,250,0.5496847611637623,0.7587394515248959,18,0.10526315789473684
max,mse,CNV,178,250,0.0029054770201674372,0.001140316284486831,124,0.6966292134831461
max,mse,DME,167,250,0.002735532640722041,0.0016749744608166972,83,0.49700598802395207
max,mse,DRUSEN,169,250,0.0013474105532175881,0.0006604212831535938,14,0.08284023668639054
max,mse,NORMAL,171,250,0.0008843292622439812,0.00030435504358345317,1,0.005847953216374269
max,l1,CNV,178,250,0.03144912423796194,0.006190378837635097,83,0.46629213483146065
max,l1,DME,167,250,0.030295512047847185,0.008386255304251513,70,0.41916167664670656
max,l1,DRUSEN,169,250,0.022524736298126888,0.004123713338488219,7,0.04142011834319527
max,l1,NORMAL,171,250,0.020214766694221883,0.0037343059370669386,3,0.017543859649122806
max,retina_band_mse,CNV,178,250,0.0033437905831816554,0.0012293021503118774,125,0.702247191011236
max,retina_band_mse,DME,167,250,0.003239375037213592,0.0019889465092801603,88,0.5269461077844312
max,retina_band_mse,DRUSEN,169,250,0.0016551928735232947,0.0008376114826714306,16,0.09467455621301775
max,retina_band_mse,NORMAL,171,250,0.0010740043757461089,0.00037026778231752486,1,0.005847953216374269
max,retina_weighted_mse,CNV,178,250,0.003190874606710964,0.001175344874472825,124,0.6966292134831461
max,retina_weighted_mse,DME,167,250,0.0030686620673063825,0.0018576215049659263,87,0.5209580838323353
max,retina_weighted_mse,DRUSEN,169,250,0.0015486087574286887,0.0007662057570021417,17,0.10059171597633136
max,retina_weighted_mse,NORMAL,171,250,0.0010026519599353806,0.0003352718739390922,0,0.0
max,topk_mse_5,CNV,178,250,0.03561215692335797,0.014878499185876247,110,0.6179775280898876
max,topk_mse_5,DME,167,250,0.03299536322617152,0.022000147188952466,71,0.4251497005988024
max,topk_mse_5,DRUSEN,169,250,0.015998662405333174,0.010317217071904996,12,0.07100591715976332
max,topk_mse_5,NORMAL,171,250,0.008567234068259285,0.003049566844705478,0,0.0
max,topk_mse_10,CNV,178,250,0.02210427929249619,0.00890511509029663,121,0.6797752808988764
max,topk_mse_10,DME,167,250,0.020686987012312395,0.013441930403107932,82,0.49101796407185627
max,topk_mse_10,DRUSEN,169,250,0.009757784940577862,0.0057817760803922785,13,0.07692307692307693
max,topk_mse_10,NORMAL,171,250,0.005602274359644979,0.0018752507990806367,0,0.0
max,ensemble_mse_l1,CNV,178,250,5.855316827173048,2.7002086155841987,122,0.6853932584269663
max,ensemble_mse_l1,DME,167,250,5.411577184226687,3.9081126060337117,84,0.5029940119760479
max,ensemble_mse_l1,DRUSEN,169,250,2.027793440773656,1.5829910369245763,14,0.08284023668639054
max,ensemble_mse_l1,NORMAL,171,250,0.9372220481803296,0.9627861486560776,2,0.011695906432748537
max,ensemble_mse_retina,CNV,178,250,6.911847680844356,3.380930519211807,126,0.7078651685393258
max,ensemble_mse_retina,DME,167,250,6.516433597611408,5.217618815455691,87,0.5209580838323353
max,ensemble_mse_retina,DRUSEN,169,250,2.1939007835357884,2.116726030341115,16,0.09467455621301775
max,ensemble_mse_retina,NORMAL,171,250,0.6868053599896926,0.9343223781308793,1,0.005847953216374269
max,ensemble_mse_l1_retina,CNV,178,250,5.822761950948639,2.695951151494968,125,0.702247191011236
max,ensemble_mse_l1_retina,DME,167,250,5.463070159609076,4.09084656805184,90,0.5389221556886228
max,ensemble_mse_l1_retina,DRUSEN,169,250,1.9656647894822563,1.6696984623394169,16,0.09467455621301775
max,ensemble_mse_l1_retina,NORMAL,171,250,0.7799039797541525,0.8909765635187001,2,0.011695906432748537
max,ensemble_all_base,CNV,178,250,7.121263889999449,3.4058049273956166,132,0.7415730337078652
max,ensemble_all_base,DME,167,250,6.627587631619837,5.213024540540499,85,0.5089820359281437
max,ensemble_all_base,DRUSEN,169,250,2.2974865412962022,2.2149496953633125,15,0.08875739644970414
max,ensemble_all_base,NORMAL,171,250,0.6871495670376003,0.8869075698488531,0,0.0
top2_mean,mse,CNV,178,250,0.0027986960456146273,0.0010130647025168038,135,0.7584269662921348
top2_mean,mse,DME,167,250,0.002583595301222538,0.0015371026970912105,92,0.5508982035928144
top2_mean,mse,DRUSEN,169,250,0.0012773405789802187,0.0005678728156696971,13,0.07692307692307693
top2_mean,mse,NORMAL,171,250,0.0008495030248991919,0.0002654776196626827,0,0.0
top2_mean,l1,CNV,178,250,0.030881612080285344,0.005846088703681013,91,0.5112359550561798
top2_mean,l1,DME,167,250,0.029515108969174055,0.007776867665276608,72,0.4311377245508982
top2_mean,l1,DRUSEN,169,250,0.0220826094193086,0.003797651287937584,8,0.047337278106508875
top2_mean,l1,NORMAL,171,250,0.01977187113520516,0.0033470791674266526,2,0.011695906432748537
top2_mean,retina_band_mse,CNV,178,250,0.003220278671955679,0.0010812117770185772,135,0.7584269662921348
top2_mean,retina_band_mse,DME,167,250,0.0030716682964110056,0.0018573162183215149,91,0.5449101796407185
top2_mean,retina_band_mse,DRUSEN,169,250,0.0015700804662047074,0.0007325240445656972,17,0.10059171597633136
top2_mean,retina_band_mse,NORMAL,171,250,0.0010315384332849889,0.0003166139883042025,1,0.005847953216374269
top2_mean,retina_weighted_mse,CNV,178,250,0.0030841741317181514,0.001041713775909206,143,0.8033707865168539
top2_mean,retina_weighted_mse,DME,167,250,0.002908087368987584,0.0017356887577395866,97,0.5808383233532934
top2_mean,retina_weighted_mse,DRUSEN,169,250,0.0014701086263855182,0.0006642049656267594,16,0.09467455621301775
top2_mean,retina_weighted_mse,NORMAL,171,250,0.0009660605180869181,0.0002906713891215378,1,0.005847953216374269
top2_mean,topk_mse_5,CNV,178,250,0.03417867333418947,0.012835725606245327,120,0.6741573033707865
top2_mean,topk_mse_5,DME,167,250,0.031040509761182805,0.019970762817531882,76,0.4550898203592814
top2_mean,topk_mse_5,DRUSEN,169,250,0.01493665756321557,0.008463891449755376,12,0.07100591715976332
top2_mean,topk_mse_5,NORMAL,171,250,0.008247663066804098,0.002725083678556706,0,0.0
top2_mean,topk_mse_10,CNV,178,250,0.02125951647496872,0.007775532324128093,131,0.7359550561797753
