patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,topk_mse_5,0.011687666910001965,0.9500762281839489,0.8540145985401459,0.9662162162162162,0.8346303501945526,0.8956158663883089,0.08771929824561403,156,15,85,429
top2_mean,topk_mse_5,0.02690852824598537,0.947129496893986,0.5532846715328467,1.0,0.4046692607003891,0.5761772853185596,0.0,171,0,306,208
mean,topk_mse_10,0.007426129681037021,0.9418162786993425,0.8496350364963504,0.9681093394077449,0.8268482490272373,0.8919202518363064,0.08187134502923976,157,14,89,425
max,topk_mse_5,0.029353461973369004,0.9409516007918629,0.5313868613138686,1.0,0.3754863813229572,0.545968882602546,0.0,171,0,321,193
top2_mean,topk_mse_10,0.015640027634799426,0.9383006803649852,0.5912408759124088,1.0,0.45525291828793774,0.6256684491978609,0.0,171,0,280,234
max,topk_mse_10,0.017005089297890585,0.932543745875714,0.564963503649635,1.0,0.42023346303501946,0.5917808219178082,0.0,171,0,298,216
mean,ensemble_all_base,1.395257955716618,0.9283455070880834,0.8423357664233576,0.9592760180995475,0.8249027237354085,0.8870292887029289,0.10526315789473684,153,18,90,424
top2_mean,ensemble_all_base,4.406641445004823,0.9244772111862015,0.6131386861313869,1.0,0.48443579766536965,0.6526867627785059,0.0,171,0,265,249
mean,ensemble_mse_retina,1.35866743887102,0.9203244817621227,0.8350364963503649,0.9546485260770975,0.8190661478599222,0.881675392670157,0.11695906432748537,151,20,93,421
mean,retina_weighted_mse,0.0012275879239176085,0.9195166905590824,0.8423357664233576,0.9511111111111111,0.8326848249027238,0.8879668049792531,0.1286549707602339,149,22,86,428
max,ensemble_all_base,5.02795710389414,0.9185041072200605,0.5883211678832116,1.0,0.45136186770428016,0.6219839142091153,0.0,171,0,282,232
mean,mse,0.0011086253567742612,0.9182082963569754,0.8248175182481752,0.9539170506912442,0.8054474708171206,0.8734177215189873,0.11695906432748537,151,20,100,414
top2_mean,ensemble_mse_retina,4.119842524373309,0.9165016952237923,0.6233576642335766,0.9961240310077519,0.5,0.6658031088082902,0.005847953216374269,170,1,257,257
top2_mean,retina_weighted_mse,0.002207353326957613,0.915910073497622,0.621897810218978,0.9961089494163424,0.4980544747081712,0.6640726329442282,0.005847953216374269,170,1,258,256
mean,retina_band_mse,0.0013126642236823375,0.9149998862265911,0.8408759124087591,0.9510022271714922,0.830739299610895,0.8868120456905504,0.1286549707602339,149,22,87,427
top2_mean,mse,0.0020544778788461893,0.9142262270462148,0.6,1.0,0.4669260700389105,0.636604774535809,0.0,171,0,274,240
top2_mean,retina_band_mse,0.002386096777627224,0.911165722347373,0.602919708029197,0.9959016393442623,0.4727626459143969,0.6411609498680739,0.005847953216374269,170,1,271,243
max,ensemble_mse_retina,4.943371593935307,0.9104261951896602,0.5824817518248175,0.9956521739130435,0.4455252918287938,0.6155913978494624,0.005847953216374269,170,1,285,229
max,retina_weighted_mse,0.0025267193792387686,0.9101531390083509,0.5824817518248175,1.0,0.44357976653696496,0.6145552560646901,0.0,171,0,286,228
mean,ensemble_mse_l1_retina,1.2991059783904049,0.9084124058525042,0.8291970802919708,0.9381898454746137,0.8268482490272373,0.8790072388831437,0.16374269005847952,143,28,89,425
max,mse,0.0022571410750969684,0.9061255603340388,0.5708029197080292,0.9954954954954955,0.42996108949416345,0.6005434782608695,0.005847953216374269,170,1,293,221
max,retina_band_mse,0.00265554664656518,0.904885430177259,0.5824817518248175,0.9956521739130435,0.4455252918287938,0.6155913978494624,0.005847953216374269,170,1,285,229
top2_mean,ensemble_mse_l1_retina,3.6406655153818366,0.9044189592008556,0.618978102189781,0.9922178988326849,0.4961089494163424,0.6614785992217899,0.011695906432748537,169,2,259,255
mean,ensemble_mse_l1,1.4138579829323885,0.8982524404396204,0.8218978102189781,0.9375,0.8171206225680934,0.8731808731808732,0.16374269005847952,143,28,94,420
max,ensemble_mse_l1_retina,4.220532699682018,0.8973650078503652,0.583941605839416,0.9914163090128756,0.4494163424124514,0.6184738955823293,0.011695906432748537,169,2,283,231
top2_mean,ensemble_mse_l1,3.891395593914628,0.8940314469702141,0.6014598540145986,0.9918367346938776,0.4727626459143969,0.6403162055335968,0.011695906432748537,169,2,271,243
max,ensemble_mse_l1,4.338417881500391,0.8859990443033654,0.5678832116788322,0.990990990990991,0.4280155642023346,0.5978260869565217,0.011695906432748537,169,2,294,220
mean,l1,0.021206499369194054,0.856861674289485,0.7795620437956204,0.8989010989010989,0.7957198443579766,0.8441692466460269,0.26900584795321636,125,46,105,409
top2_mean,l1,0.02982290321961039,0.85231073793433,0.49635036496350365,0.9884393063583815,0.3326848249027237,0.4978165938864629,0.011695906432748537,169,2,343,171
max,l1,0.03088015317916868,0.8406489635242451,0.47883211678832116,0.9815950920245399,0.311284046692607,0.4726735598227474,0.017543859649122806,168,3,354,160
