patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,95,mse,0.0011086253567742612,0.9182082963569754,0.8248175182481752,0.9539170506912442,0.8054474708171206,0.8734177215189873,0.11695906432748537,151,20,100,414
mean,97,mse,0.0011646425285143308,0.9182082963569754,0.8029197080291971,0.9566265060240964,0.7723735408560312,0.8546824542518837,0.10526315789473684,153,18,117,397
mean,99,mse,0.0013677599068726138,0.9182082963569754,0.7635036496350365,0.9861878453038674,0.6945525291828794,0.815068493150685,0.029239766081871343,166,5,157,357
mean,95,l1,0.021206499369194054,0.856861674289485,0.7795620437956204,0.8989010989010989,0.7957198443579766,0.8441692466460269,0.26900584795321636,125,46,105,409
mean,97,l1,0.022464316815137806,0.856861674289485,0.7649635036496351,0.9445843828715366,0.7295719844357976,0.823271130625686,0.1286549707602339,149,22,139,375
mean,99,l1,0.023421715649522116,0.856861674289485,0.7416058394160584,0.9591280653950953,0.6848249027237354,0.7990919409761634,0.08771929824561403,156,15,162,352
mean,95,retina_band_mse,0.0013126642236823375,0.9149998862265911,0.8408759124087591,0.9510022271714922,0.830739299610895,0.8868120456905504,0.1286549707602339,149,22,87,427
mean,97,retina_band_mse,0.0014122483735748523,0.9149998862265911,0.8262773722627738,0.9691211401425178,0.7937743190661478,0.8727272727272727,0.07602339181286549,158,13,106,408
mean,99,retina_band_mse,0.0016434477675867905,0.9149998862265911,0.762043795620438,0.9834710743801653,0.6945525291828794,0.814139110604333,0.03508771929824561,165,6,157,357
mean,95,retina_weighted_mse,0.0012275879239176085,0.9195166905590824,0.8423357664233576,0.9511111111111111,0.8326848249027238,0.8879668049792531,0.1286549707602339,149,22,86,428
mean,97,retina_weighted_mse,0.001333698281280951,0.9195166905590824,0.8175182481751825,0.964200477326969,0.7859922178988327,0.8660235798499464,0.08771929824561403,156,15,110,404
mean,99,retina_weighted_mse,0.0015514797031857788,0.9195166905590824,0.7693430656934307,0.9863387978142076,0.7023346303501945,0.8204545454545454,0.029239766081871343,166,5,153,361
mean,95,topk_mse_5,0.011687666910001965,0.9500762281839489,0.8540145985401459,0.9662162162162162,0.8346303501945526,0.8956158663883089,0.08771929824561403,156,15,85,429
mean,97,topk_mse_5,0.013415345386646713,0.9500762281839489,0.8262773722627738,0.9805352798053528,0.7840466926070039,0.8713513513513513,0.04678362573099415,163,8,111,403
mean,99,topk_mse_5,0.01642432761564845,0.9500762281839489,0.7547445255474453,0.9887005649717514,0.6809338521400778,0.8064516129032258,0.023391812865497075,167,4,164,350
mean,95,topk_mse_10,0.007426129681037021,0.9418162786993425,0.8496350364963504,0.9681093394077449,0.8268482490272373,0.8919202518363064,0.08187134502923976,157,14,89,425
mean,97,topk_mse_10,0.00815334665557986,0.9418162786993425,0.8233576642335766,0.9734939759036144,0.7859922178988327,0.8697524219590959,0.06432748538011696,160,11,110,404
mean,99,topk_mse_10,0.009832912416895793,0.9418162786993425,0.762043795620438,0.9861495844875346,0.6926070038910506,0.8137142857142857,0.029239766081871343,166,5,158,356
mean,95,ensemble_mse_l1,1.4138579829323885,0.8982524404396204,0.8218978102189781,0.9375,0.8171206225680934,0.8731808731808732,0.16374269005847952,143,28,94,420
mean,97,ensemble_mse_l1,1.6840033628444884,0.8982524404396204,0.7854014598540145,0.9508599508599509,0.7529182879377432,0.8403908794788274,0.11695906432748537,151,20,127,387
mean,99,ensemble_mse_l1,2.142354390597605,0.8982524404396204,0.7562043795620438,0.9727520435967303,0.6945525291828794,0.8104426787741204,0.05847953216374269,161,10,157,357
mean,95,ensemble_mse_retina,1.35866743887102,0.9203244817621227,0.8350364963503649,0.9546485260770975,0.8190661478599222,0.881675392670157,0.11695906432748537,151,20,93,421
mean,97,ensemble_mse_retina,1.6275386263694227,0.9203244817621227,0.8116788321167884,0.963855421686747,0.7782101167315175,0.8611410118406889,0.08771929824561403,156,15,114,400
mean,99,ensemble_mse_retina,2.186766901126042,0.9203244817621227,0.7708029197080292,0.983739837398374,0.7062256809338522,0.8221970554926388,0.03508771929824561,165,6,151,363
mean,95,ensemble_mse_l1_retina,1.2991059783904049,0.9084124058525042,0.8291970802919708,0.9381898454746137,0.8268482490272373,0.8790072388831437,0.16374269005847952,143,28,89,425
mean,97,ensemble_mse_l1_retina,1.5287004842137135,0.9084124058525042,0.8058394160583942,0.9635036496350365,0.7704280155642024,0.8562162162162162,0.08771929824561403,156,15,118,396
mean,99,ensemble_mse_l1_retina,1.9814090943115368,0.9084124058525042,0.7635036496350365,0.9756756756756757,0.7023346303501945,0.8167420814479638,0.05263157894736842,162,9,153,361
mean,95,ensemble_all_base,1.395257955716618,0.9283455070880834,0.8423357664233576,0.9592760180995475,0.8249027237354085,0.8870292887029289,0.10526315789473684,153,18,90,424
mean,97,ensemble_all_base,1.6159450843608314,0.9283455070880834,0.8218978102189781,0.9622641509433962,0.7937743190661478,0.8699360341151386,0.0935672514619883,155,16,106,408
mean,99,ensemble_all_base,2.320152437015601,0.9283455070880834,0.7737226277372263,0.989100817438692,0.7062256809338522,0.8240635641316686,0.023391812865497075,167,4,151,363
max,95,mse,0.0022571410750969684,0.9061255603340388,0.5708029197080292,0.9954954954954955,0.42996108949416345,0.6005434782608695,0.005847953216374269,170,1,293,221
max,97,mse,0.0027634851448237346,0.9061255603340388,0.4744525547445255,1.0,0.29961089494163423,0.46107784431137727,0.0,171,0,360,154
max,99,mse,0.004126426856964747,0.9061255603340388,0.32554744525547447,1.0,0.10116731517509728,0.18374558303886926,0.0,171,0,462,52
max,95,l1,0.03088015317916868,0.8406489635242451,0.47883211678832116,0.9815950920245399,0.311284046692607,0.4726735598227474,0.017543859649122806,168,3,354,160
max,97,l1,0.034572904706001176,0.8406489635242451,0.38686131386861317,0.9895833333333334,0.18482490272373542,0.3114754098360656,0.005847953216374269,170,1,419,95
max,99,l1,0.040229130834341015,0.8406489635242451,0.29927007299270075,1.0,0.06614785992217899,0.12408759124087591,0.0,171,0,480,34
max,95,retina_band_mse,0.00265554664656518,0.904885430177259,0.5824817518248175,0.9956521739130435,0.4455252918287938,0.6155913978494624,0.005847953216374269,170,1,285,229
max,97,retina_band_mse,0.003134369752369761,0.904885430177259,0.4992700729927007,1.0,0.3326848249027237,0.4992700729927007,0.0,171,0,343,171
max,99,retina_band_mse,0.004944019103422678,0.904885430177259,0.31532846715328466,1.0,0.08754863813229571,0.16100178890876565,0.0,171,0,469,45
max,95,retina_weighted_mse,0.0025267193792387686,0.9101531390083509,0.5824817518248175,1.0,0.44357976653696496,0.6145552560646901,0.0,171,0,286,228
max,97,retina_weighted_mse,0.002875039302743898,0.9101531390083509,0.5124087591240876,1.0,0.35019455252918286,0.5187319884726225,0.0,171,0,334,180
max,99,retina_weighted_mse,0.004851037729531464,0.9101531390083509,0.3094890510948905,1.0,0.07976653696498054,0.14774774774774774,0.0,171,0,473,41
max,95,topk_mse_5,0.029353461973369004,0.9409516007918629,0.5313868613138686,1.0,0.3754863813229572,0.545968882602546,0.0,171,0,321,193
max,97,topk_mse_5,0.03680010102689256,0.9409516007918629,0.4321167883211679,1.0,0.24319066147859922,0.39123630672926446,0.0,171,0,389,125
max,99,topk_mse_5,0.05228550180792798,0.9409516007918629,0.3094890510948905,1.0,0.07976653696498054,0.14774774774774774,0.0,171,0,473,41
max,95,topk_mse_10,0.017005089297890585,0.932543745875714,0.564963503649635,1.0,0.42023346303501946,0.5917808219178082,0.0,171,0,298,216
max,97,topk_mse_10,0.021875708438456005,0.932543745875714,0.4583941605839416,1.0,0.2782101167315175,0.4353120243531202,0.0,171,0,371,143
max,99,topk_mse_10,0.03098901972174639,0.932543745875714,0.327007299270073,1.0,0.10311284046692606,0.18694885361552027,0.0,171,0,461,53
max,95,ensemble_mse_l1,4.338417881500391,0.8859990443033654,0.5678832116788322,0.990990990990991,0.4280155642023346,0.5978260869565217,0.011695906432748537,169,2,294,220
max,97,ensemble_mse_l1,5.806247523634053,0.8859990443033654,0.4554744525547445,0.993006993006993,0.27626459143968873,0.4322678843226788,0.005847953216374269,170,1,372,142
max,99,ensemble_mse_l1,8.835889749444927,0.8859990443033654,0.32116788321167883,1.0,0.09533073929961089,0.17406749555950266,0.0,171,0,465,49
max,95,ensemble_mse_retina,4.943371593935307,0.9104261951896602,0.5824817518248175,0.9956521739130435,0.4455252918287938,0.6155913978494624,0.005847953216374269,170,1,285,229
max,97,ensemble_mse_retina,6.180683003495276,0.9104261951896602,0.5036496350364964,1.0,0.33852140077821014,0.5058139534883721,0.0,171,0,340,174
max,99,ensemble_mse_retina,11.93602291509848,0.9104261951896602,0.30364963503649633,1.0,0.07198443579766536,0.13430127041742287,0.0,171,0,477,37
max,95,ensemble_mse_l1_retina,4.220532699682018,0.8973650078503652,0.583941605839416,0.9914163090128756,0.4494163424124514,0.6184738955823293,0.011695906432748537,169,2,283,231
max,97,ensemble_mse_l1_retina,5.518603810351189,0.8973650078503652,0.47883211678832116,1.0,0.30544747081712065,0.46795827123695977,0.0,171,0,357,157
