score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
topk_mse_5,0.014803556539118287,0.9453973333333333,0.786,0.9872727272727273,0.724,0.8353846153846154,0.028,243,7,207,543
topk_mse_10,0.009123223833739756,0.9365760000000001,0.788,0.9855595667870036,0.728,0.8374233128834356,0.032,242,8,204,546
ensemble_all_base,2.128214920342922,0.9208426666666667,0.783,0.9801801801801802,0.7253333333333334,0.8337164750957854,0.044,239,11,206,544
ensemble_mse_retina,2.075063548322764,0.9120586666666667,0.782,0.9818840579710145,0.7226666666666667,0.8325652841781874,0.04,240,10,208,542
retina_weighted_mse,0.0015078126685693848,0.9109546666666666,0.778,0.9817518248175182,0.7173333333333334,0.8289676425269645,0.04,240,10,212,538
mse,0.001309337886050343,0.910208,0.775,0.9746835443037974,0.7186666666666667,0.827321565617805,0.056,236,14,211,539
retina_band_mse,0.0016392217949032784,0.905264,0.759,0.9829222011385199,0.6906666666666667,0.8112764291307752,0.036,241,9,232,518
ensemble_mse_l1_retina,1.9279621315834323,0.8993546666666667,0.766,0.9690909090909091,0.7106666666666667,0.82,0.068,233,17,217,533
ensemble_mse_l1,2.0731200089542035,0.8894613333333333,0.751,0.9647495361781077,0.6933333333333334,0.8068269976726145,0.076,231,19,230,520
l1,0.023894789814949035,0.8431253333333333,0.701,0.9519038076152304,0.6333333333333333,0.7606084867894315,0.096,226,24,275,475
