percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
95,mse,0.001309337886050343,0.910208,0.775,0.9746835443037974,0.7186666666666667,0.827321565617805,0.056,236,14,211,539
97,mse,0.0015277495607733725,0.910208,0.713,0.9832985386221295,0.628,0.7664768104149715,0.032,242,8,279,471
99,mse,0.002015687413513661,0.910208,0.601,0.9971671388101983,0.4693333333333333,0.6382592928377153,0.004,249,1,398,352
95,l1,0.023894789814949035,0.8431253333333333,0.701,0.9519038076152304,0.6333333333333333,0.7606084867894315,0.096,226,24,275,475
97,l1,0.02556796878576278,0.8431253333333333,0.645,0.9713603818615751,0.5426666666666666,0.6963216424294268,0.048,238,12,343,407
99,l1,0.02929250702261925,0.8431253333333333,0.501,0.9771863117870723,0.3426666666666667,0.5074037512339585,0.024,244,6,493,257
95,retina_band_mse,0.0016392217949032784,0.905264,0.759,0.9829222011385199,0.6906666666666667,0.8112764291307752,0.036,241,9,232,518
97,retina_band_mse,0.0018706919299438592,0.905264,0.707,0.9892933618843683,0.616,0.7592440427280197,0.02,245,5,288,462
99,retina_band_mse,0.0023217639140784745,0.905264,0.593,0.9886039886039886,0.46266666666666667,0.6303360581289736,0.016,246,4,403,347
95,retina_weighted_mse,0.0015078126685693848,0.9109546666666666,0.778,0.9817518248175182,0.7173333333333334,0.8289676425269645,0.04,240,10,212,538
97,retina_weighted_mse,0.0017345292959362246,0.9109546666666666,0.714,0.9873949579831933,0.6266666666666667,0.766721044045677,0.024,244,6,280,470
99,retina_weighted_mse,0.0021573142521083373,0.9109546666666666,0.604,0.988950276243094,0.47733333333333333,0.6438848920863309,0.016,246,4,392,358
95,topk_mse_5,0.014803556539118287,0.9453973333333333,0.786,0.9872727272727273,0.724,0.8353846153846154,0.028,243,7,207,543
97,topk_mse_5,0.017347777187824237,0.9453973333333333,0.734,0.991869918699187,0.6506666666666666,0.785829307568438,0.016,246,4,262,488
99,topk_mse_5,0.024753758087754273,0.9453973333333333,0.579,1.0,0.43866666666666665,0.6098239110287303,0.0,250,0,421,329
95,topk_mse_10,0.009123223833739756,0.9365760000000001,0.788,0.9855595667870036,0.728,0.8374233128834356,0.032,242,8,204,546
97,topk_mse_10,0.010729660093784331,0.9365760000000001,0.735,0.98989898989899,0.6533333333333333,0.7871485943775101,0.02,245,5,260,490
99,topk_mse_10,0.014669093750417245,0.9365760000000001,0.608,1.0,0.47733333333333333,0.6462093862815884,0.0,250,0,392,358
95,ensemble_mse_l1,2.0731200089542035,0.8894613333333333,0.751,0.9647495361781077,0.6933333333333334,0.8068269976726145,0.076,231,19,230,520
97,ensemble_mse_l1,2.612517055162177,0.8894613333333333,0.707,0.9830866807610994,0.62,0.7604251839738349,0.032,242,8,285,465
99,ensemble_mse_l1,3.8645631179966244,0.8894613333333333,0.583,0.9911504424778761,0.448,0.6170798898071626,0.012,247,3,414,336
95,ensemble_mse_retina,2.075063548322764,0.9120586666666667,0.782,0.9818840579710145,0.7226666666666667,0.8325652841781874,0.04,240,10,208,542
97,ensemble_mse_retina,2.726046641588027,0.9120586666666667,0.711,0.9873150105708245,0.6226666666666667,0.7636958299264105,0.024,244,6,283,467
99,ensemble_mse_retina,4.00156966934752,0.9120586666666667,0.607,0.9917355371900827,0.48,0.6469002695417789,0.012,247,3,390,360
95,ensemble_mse_l1_retina,1.9279621315834323,0.8993546666666667,0.766,0.9690909090909091,0.7106666666666667,0.82,0.068,233,17,217,533
97,ensemble_mse_l1_retina,2.4601530225559456,0.8993546666666667,0.712,0.9832635983263598,0.6266666666666667,0.7654723127035831,0.032,242,8,280,470
99,ensemble_mse_l1_retina,3.6222902381722233,0.8993546666666667,0.598,0.9915254237288136,0.468,0.6358695652173914,0.012,247,3,399,351
95,ensemble_all_base,2.128214920342922,0.9208426666666667,0.783,0.9801801801801802,0.7253333333333334,0.8337164750957854,0.044,239,11,206,544
97,ensemble_all_base,2.746888209366145,0.9208426666666667,0.725,0.9896907216494846,0.64,0.7773279352226721,0.02,245,5,270,480
99,ensemble_all_base,4.1347567563099945,0.9208426666666667,0.615,0.994579945799458,0.48933333333333334,0.6559428060768543,0.008,248,2,383,367
