score_mode,class_name,sample_count,patient_count,mean_score,std_score,detected_count,detection_rate
mse,CNV,250,178,0.008020184316672384,0.004310463494570971,231,0.924
mse,DME,250,167,0.006952051333617419,0.004012646038992428,184,0.736
mse,DRUSEN,250,169,0.003339141086675227,0.002025329753771719,41,0.164
mse,NORMAL,250,171,0.0023873342275619507,0.0011028041722824728,14,0.056
l1,CNV,250,178,0.05086385778337717,0.011903896621767534,224,0.896
l1,DME,250,167,0.04529593803733587,0.012488992053082768,174,0.696
l1,DRUSEN,250,169,0.03345716167986393,0.00838657151571615,38,0.152
l1,NORMAL,250,171,0.030094063200056552,0.006853597678085392,15,0.06
retina_band_mse,CNV,250,178,0.009138378561474383,0.004411849627316022,219,0.876
retina_band_mse,DME,250,167,0.008160093954298646,0.00462778434820264,169,0.676
retina_band_mse,DRUSEN,250,169,0.0040817418820224705,0.0024384116452463075,35,0.14
retina_band_mse,NORMAL,250,171,0.0029634531955234707,0.0012932749578533353,10,0.04
retina_weighted_mse,CNV,250,178,0.008775912531651556,0.004343812851322164,226,0.904
retina_weighted_mse,DME,250,167,0.00775994832906872,0.0043716259033876005,183,0.732
retina_weighted_mse,DRUSEN,250,169,0.003832627907861024,0.002271509950637004,39,0.156
retina_weighted_mse,NORMAL,250,171,0.0027610479998402297,0.0012014346910259484,12,0.048
topk_mse_5,CNV,250,178,0.099004620552063,0.06391406729883976,225,0.9
topk_mse_5,DME,250,167,0.08948507867753505,0.05388591704341361,182,0.728
topk_mse_5,DRUSEN,250,169,0.04219331615418196,0.03034211341169476,38,0.152
topk_mse_5,NORMAL,250,171,0.027945721473544835,0.015762106125990574,9,0.036
topk_mse_10,CNV,250,178,0.06228578964620829,0.036796642502901544,228,0.912
topk_mse_10,DME,250,167,0.055729194231331346,0.033042558110272235,185,0.74
topk_mse_10,DRUSEN,250,169,0.02554144285619259,0.01724492421673754,39,0.156
topk_mse_10,NORMAL,250,171,0.01725706340931356,0.008692309875544294,11,0.044
ensemble_mse_l1,CNV,250,178,5.032112964459509,3.0139104299129595,231,0.924
ensemble_mse_l1,DME,250,167,4.049580280568419,2.9706022615989336,186,0.744
ensemble_mse_l1,DRUSEN,250,169,1.2763704519111094,1.6239417462617425,40,0.16
ensemble_mse_l1,NORMAL,250,171,0.5265697806541607,1.0489880112255208,17,0.068
ensemble_mse_retina,CNV,250,178,5.152831847229505,3.5766350272081304,226,0.904
ensemble_mse_retina,DME,250,167,4.293869435936267,3.481850049867451,184,0.736
ensemble_mse_retina,DRUSEN,250,169,1.1412283687073823,1.7925549631856148,40,0.16
ensemble_mse_retina,NORMAL,250,171,0.29658164267391995,0.9529552795063486,12,0.048
ensemble_mse_l1_retina,CNV,250,178,4.724223627896888,2.9123742466933775,229,0.916
ensemble_mse_l1_retina,DME,250,167,3.85961217362992,2.930311821111778,183,0.732
ensemble_mse_l1_retina,DRUSEN,250,169,1.137051257342952,1.5777377467669802,41,0.164
ensemble_mse_l1_retina,NORMAL,250,171,0.39759972217146566,0.94012637030594,13,0.052
ensemble_all_base,CNV,250,178,5.183110557067733,3.583482839512728,228,0.912
ensemble_all_base,DME,250,167,4.354241516916291,3.3916428393458964,185,0.74
ensemble_all_base,DRUSEN,250,169,1.2185914362090067,1.8064242727365551,42,0.168
ensemble_all_base,NORMAL,250,171,0.34625160974473224,0.966413016199815,13,0.052
