patient_aggregation,score_mode,class_name,patient_count,image_count,mean_score,std_score,detected_count,detection_rate
mean,mse,CNV,178,250,0.007935289861174132,0.003875429153215068,177,0.9943820224719101
mean,mse,DME,167,250,0.006885900060616443,0.0037484323123952138,150,0.8982035928143712
mean,mse,DRUSEN,169,250,0.0033032972820727182,0.0018771782653001618,55,0.3254437869822485
mean,mse,NORMAL,171,250,0.00241355682951511,0.0011261530922720845,26,0.15204678362573099
mean,l1,CNV,178,250,0.05029132580142026,0.010030447550998333,176,0.9887640449438202
mean,l1,DME,167,250,0.045167023190952685,0.0123531353101437,145,0.8682634730538922
mean,l1,DRUSEN,169,250,0.03343909408190289,0.007733045595541477,53,0.3136094674556213
mean,l1,NORMAL,171,250,0.030125546992209925,0.007007985895377049,24,0.14035087719298245
mean,retina_band_mse,CNV,178,250,0.009046161125367965,0.00390716616672072,171,0.9606741573033708
mean,retina_band_mse,DME,167,250,0.008083759832695174,0.004271521044331095,138,0.8263473053892215
mean,retina_band_mse,DRUSEN,169,250,0.004086635689514215,0.002328226443207805,46,0.27218934911242604
mean,retina_band_mse,NORMAL,171,250,0.003001647069823259,0.001233489214294326,16,0.0935672514619883
mean,retina_weighted_mse,CNV,178,250,0.008690584926683374,0.003868812709591132,176,0.9887640449438202
mean,retina_weighted_mse,DME,167,250,0.0076860247719528355,0.004056227062356382,144,0.8622754491017964
mean,retina_weighted_mse,DRUSEN,169,250,0.0038218705754390664,0.0021406809939381777,45,0.26627218934911245
mean,retina_weighted_mse,NORMAL,171,250,0.0027947144575605305,0.0011764488821476775,19,0.1111111111111111
mean,topk_mse_5,CNV,178,250,0.09837524687711513,0.059291721885118595,176,0.9887640449438202
mean,topk_mse_5,DME,167,250,0.0883334555028399,0.048950793407669876,149,0.8922155688622755
mean,topk_mse_5,DRUSEN,169,250,0.04163848530108413,0.028013606247781566,52,0.3076923076923077
mean,topk_mse_5,NORMAL,171,250,0.028367527105734716,0.015564794487825965,22,0.1286549707602339
mean,topk_mse_10,CNV,178,250,0.06194455559234801,0.033756628693109185,177,0.9943820224719101
mean,topk_mse_10,DME,167,250,0.055026209529664624,0.030382102763308164,149,0.8922155688622755
mean,topk_mse_10,DRUSEN,169,250,0.025239722424626618,0.01597980997337951,53,0.3136094674556213
mean,topk_mse_10,NORMAL,171,250,0.017484758629465382,0.00863853256983557,22,0.1286549707602339
mean,ensemble_mse_l1,CNV,178,250,4.943796760611239,2.665930408884125,178,1.0
mean,ensemble_mse_l1,DME,167,250,4.005713624242617,2.822651779293771,147,0.8802395209580839
mean,ensemble_mse_l1,DRUSEN,169,250,1.2566746737215273,1.5083132996097188,53,0.3136094674556213
mean,ensemble_mse_l1,NORMAL,171,250,0.5424155508863654,1.079096817756041,24,0.14035087719298245
mean,ensemble_mse_retina,CNV,178,250,5.079913905132804,3.2010930645550233,176,0.9887640449438202
mean,ensemble_mse_retina,DME,167,250,4.235611845385423,3.239151084853599,146,0.874251497005988
mean,ensemble_mse_retina,DRUSEN,169,250,1.124526418786238,1.6801748541324268,48,0.28402366863905326
mean,ensemble_mse_retina,NORMAL,171,250,0.32222509730705345,0.9496622475163004,21,0.12280701754385964
mean,ensemble_mse_l1_retina,CNV,178,250,4.6455893093802585,2.582063881955386,177,0.9943820224719101
mean,ensemble_mse_l1_retina,DME,167,250,3.8140137600911554,2.761936138310694,147,0.8802395209580839
mean,ensemble_mse_l1_retina,DRUSEN,169,250,1.1249691977255674,1.479723056232931,47,0.2781065088757396
mean,ensemble_mse_l1_retina,NORMAL,171,250,0.41634630156490526,0.9543809171825216,22,0.1286549707602339
mean,ensemble_all_base,CNV,178,250,5.117247218405047,3.242715455243897,177,0.9943820224719101
mean,ensemble_all_base,DME,167,250,4.291721730660935,3.1413261981633553,149,0.8922155688622755
mean,ensemble_all_base,DRUSEN,169,250,1.197410817539943,1.6857391822971766,54,0.31952662721893493
mean,ensemble_all_base,NORMAL,171,250,0.3703726452502128,0.9665335947553241,22,0.1286549707602339
max,mse,CNV,178,250,0.00855251729456975,0.004792727763521152,89,0.5
max,mse,DME,167,250,0.007483233139337083,0.004364742005471942,62,0.3712574850299401
max,mse,DRUSEN,169,250,0.0036365720794739624,0.0022937132030689013,14,0.08284023668639054
max,mse,NORMAL,171,250,0.002565036052620062,0.0012521873324715606,2,0.011695906432748537
max,l1,CNV,178,250,0.052138238140706214,0.01216308690870134,97,0.5449438202247191
max,l1,DME,167,250,0.04693273482788461,0.013630942028848807,59,0.3532934131736527
max,l1,DRUSEN,169,250,0.0347223005549618,0.009144703054959097,12,0.07100591715976332
max,l1,NORMAL,171,250,0.03107748947471201,0.007804833708213254,5,0.029239766081871343
max,retina_band_mse,CNV,178,250,0.00966420873811233,0.004862863127166402,80,0.449438202247191
max,retina_band_mse,DME,167,250,0.008809966976966234,0.005081843207519321,54,0.32335329341317365
max,retina_band_mse,DRUSEN,169,250,0.004490508977599261,0.0027416351485453,9,0.05325443786982249
max,retina_band_mse,NORMAL,171,250,0.0032096267671035137,0.0014577233865029759,1,0.005847953216374269
