patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,topk_mse_10,0.02561202988442442,0.8895373973194984,0.7708029197080292,0.9451371571072319,0.7373540856031129,0.8284153005464481,0.1286549707602339,149,22,135,379
top2_mean,topk_mse_10,0.05494482200592737,0.8866247980521992,0.49343065693430654,0.9883040935672515,0.32879377431906615,0.49343065693430654,0.011695906432748537,169,2,345,169
mean,topk_mse_5,0.041971446979376936,0.8863517418708899,0.7678832116788321,0.9448621553884712,0.7334630350194552,0.8258488499452354,0.1286549707602339,149,22,137,377
mean,ensemble_all_base,1.1768400381572282,0.8836325573986846,0.7722627737226277,0.945273631840796,0.7392996108949417,0.8296943231441049,0.1286549707602339,149,22,134,380
top2_mean,topk_mse_5,0.09253900647163384,0.8835756706942453,0.46131386861313867,0.9801324503311258,0.28793774319066145,0.44511278195488724,0.017543859649122806,168,3,366,148
mean,ensemble_mse_retina,1.2055482092545877,0.882802011513869,0.7591240875912408,0.9462915601023018,0.7198443579766537,0.8176795580110497,0.12280701754385964,150,21,144,370
mean,mse,0.0032565803787049656,0.881482239970874,0.7693430656934307,0.9362745098039216,0.7431906614785992,0.8286334056399133,0.15204678362573099,145,26,132,382
mean,retina_weighted_mse,0.003962280674105718,0.8814139759255467,0.7547445255474453,0.9505208333333334,0.7101167315175098,0.8129175946547884,0.1111111111111111,152,19,149,365
top2_mean,ensemble_all_base,4.047469713669948,0.8806972034496097,0.5138686131386861,0.9788359788359788,0.35992217898832685,0.5263157894736842,0.023391812865497075,167,4,329,185
top2_mean,ensemble_mse_retina,4.136704947647675,0.8796163560652605,0.5094890510948905,0.9836956521739131,0.3521400778210117,0.5186246418338109,0.017543859649122806,168,3,333,181
max,topk_mse_10,0.060384464263915985,0.8790247343390902,0.47153284671532847,0.9871794871794872,0.29961089494163423,0.4597014925373134,0.011695906432748537,169,2,360,154
top2_mean,retina_weighted_mse,0.007614927343092801,0.877932509613853,0.5109489051094891,0.9837837837837838,0.3540856031128405,0.5207439198855508,0.017543859649122806,168,3,332,182
top2_mean,mse,0.006436868780292519,0.8777959815231985,0.5328467153284672,0.985,0.3832684824902724,0.5518207282913166,0.017543859649122806,168,3,317,197
mean,ensemble_mse_l1_retina,1.1867808632177892,0.8768630395703916,0.7591240875912408,0.9440203562340967,0.7217898832684825,0.8180815876515987,0.1286549707602339,149,22,143,371
max,topk_mse_5,0.11065703928470605,0.8760780030491274,0.4218978102189781,0.9836065573770492,0.23346303501945526,0.37735849056603776,0.011695906432748537,169,2,394,120
mean,retina_band_mse,0.004399690737149495,0.8746444580972534,0.7445255474452555,0.9568733153638814,0.6906614785992218,0.8022598870056498,0.0935672514619883,155,16,159,355
mean,ensemble_mse_l1,1.2432783771247768,0.8728582155778551,0.7664233576642335,0.9402985074626866,0.7354085603112841,0.8253275109170306,0.14035087719298245,147,24,136,378
top2_mean,ensemble_mse_l1_retina,3.4669229492863445,0.8728468382369672,0.5518248175182482,0.990521327014218,0.4066147859922179,0.576551724137931,0.011695906432748537,169,2,305,209
max,ensemble_all_base,4.706533549465949,0.8727103101463126,0.4905109489051095,0.9940119760479041,0.3229571984435798,0.48751835535976507,0.005847953216374269,170,1,348,166
max,ensemble_mse_retina,4.65291612984475,0.8718570095797211,0.491970802919708,1.0,0.3229571984435798,0.48823529411764705,0.0,171,0,348,166
top2_mean,retina_band_mse,0.00824190929997709,0.8709013129451385,0.49635036496350365,0.9941520467836257,0.33073929961089493,0.49635036496350365,0.005847953216374269,170,1,344,170
max,mse,0.007386762276291767,0.8699228616287802,0.48759124087591244,0.9880239520958084,0.321011673151751,0.4845814977973568,0.011695906432748537,169,2,349,165
max,retina_weighted_mse,0.008404519129544444,0.8693539945843858,0.47737226277372263,1.0,0.3035019455252918,0.46567164179104475,0.0,171,0,358,156
top2_mean,ensemble_mse_l1,3.850766154473227,0.8679318269733998,0.5299270072992701,0.98,0.38132295719844356,0.5490196078431373,0.023391812865497075,167,4,318,196
max,ensemble_mse_l1_retina,4.288060393240362,0.8653264159100734,0.4846715328467153,0.9820359281437125,0.31906614785992216,0.48164464023494863,0.017543859649122806,168,3,350,164
max,retina_band_mse,0.009202877525240145,0.8618563269392676,0.4569343065693431,0.9930555555555556,0.2782101167315175,0.43465045592705165,0.005847953216374269,170,1,371,143
max,ensemble_mse_l1,4.258590496386196,0.8602521218740756,0.5109489051094891,0.9786096256684492,0.3560311284046693,0.5221112696148359,0.023391812865497075,167,4,331,183
mean,l1,0.03414053922519086,0.8558832229731268,0.7605839416058394,0.9396984924623115,0.7276264591439688,0.8201754385964912,0.14035087719298245,147,24,140,374
top2_mean,l1,0.04617785662412637,0.8493867613261429,0.5153284671532846,0.9739583333333334,0.3638132295719844,0.5297450424929179,0.029239766081871343,166,5,327,187
max,l1,0.04878405444324008,0.8401824925478417,0.48759124087591244,0.9710982658959537,0.32684824902723736,0.4890829694323144,0.029239766081871343,166,5,346,168
