patient_aggregation,percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,95,mse,0.0032565803787049656,0.881482239970874,0.7693430656934307,0.9362745098039216,0.7431906614785992,0.8286334056399133,0.15204678362573099,145,26,132,382
mean,97,mse,0.0036420800715373973,0.881482239970874,0.745985401459854,0.9545454545454546,0.6945525291828794,0.8040540540540541,0.09941520467836257,154,17,157,357
mean,99,mse,0.004603217145065839,0.881482239970874,0.6802919708029197,0.9742765273311897,0.5894941634241245,0.7345454545454545,0.04678362573099415,163,8,211,303
mean,95,l1,0.03414053922519086,0.8558832229731268,0.7605839416058394,0.9396984924623115,0.7276264591439688,0.8201754385964912,0.14035087719298245,147,24,140,374
mean,97,l1,0.035030342330121284,0.8558832229731268,0.7401459854014598,0.9468085106382979,0.6926070038910506,0.8,0.11695906432748537,151,20,158,356
mean,99,l1,0.03835771045088762,0.8558832229731268,0.6671532846715329,0.9703947368421053,0.5739299610894941,0.7212713936430318,0.05263157894736842,162,9,219,295
mean,95,retina_band_mse,0.004399690737149495,0.8746444580972534,0.7445255474452555,0.9568733153638814,0.6906614785992218,0.8022598870056498,0.0935672514619883,155,16,159,355
mean,97,retina_band_mse,0.0046416180811356235,0.8746444580972534,0.7299270072992701,0.958217270194986,0.669260700389105,0.7880870561282932,0.08771929824561403,156,15,170,344
mean,99,retina_band_mse,0.005419377227080941,0.8746444580972534,0.689051094890511,0.9659442724458205,0.6070038910505836,0.7455197132616488,0.06432748538011696,160,11,202,312
mean,95,retina_weighted_mse,0.003962280674105718,0.8814139759255467,0.7547445255474453,0.9505208333333334,0.7101167315175098,0.8129175946547884,0.1111111111111111,152,19,149,365
mean,97,retina_weighted_mse,0.004311145089773615,0.8814139759255467,0.7328467153284671,0.9610027855153204,0.6712062256809338,0.7903780068728522,0.08187134502923976,157,14,169,345
mean,99,retina_weighted_mse,0.005098876444389994,0.8814139759255467,0.6948905109489051,0.9692307692307692,0.6128404669260701,0.7508939213349225,0.05847953216374269,161,10,199,315
mean,95,topk_mse_5,0.041971446979376936,0.8863517418708899,0.7678832116788321,0.9448621553884712,0.7334630350194552,0.8258488499452354,0.1286549707602339,149,22,137,377
mean,97,topk_mse_5,0.04602161031402643,0.8863517418708899,0.7445255474452555,0.9544235924932976,0.6926070038910506,0.8027057497181511,0.09941520467836257,154,17,158,356
mean,99,topk_mse_5,0.06003053493844811,0.8863517418708899,0.672992700729927,0.9801324503311258,0.5758754863813229,0.7254901960784313,0.03508771929824561,165,6,218,296
mean,95,topk_mse_10,0.02561202988442442,0.8895373973194984,0.7708029197080292,0.9451371571072319,0.7373540856031129,0.8284153005464481,0.1286549707602339,149,22,135,379
mean,97,topk_mse_10,0.02798707022642087,0.8895373973194984,0.7445255474452555,0.952,0.6945525291828794,0.8031496062992126,0.10526315789473684,153,18,157,357
mean,99,topk_mse_10,0.035488751150498266,0.8895373973194984,0.691970802919708,0.9809523809523809,0.6011673151750972,0.7454764776839565,0.03508771929824561,165,6,205,309
mean,95,ensemble_mse_l1,1.2432783771247768,0.8728582155778551,0.7664233576642335,0.9402985074626866,0.7354085603112841,0.8253275109170306,0.14035087719298245,147,24,136,378
mean,97,ensemble_mse_l1,1.4732852491894861,0.8728582155778551,0.7503649635036497,0.9477806788511749,0.7062256809338522,0.8093645484949833,0.11695906432748537,151,20,151,363
mean,99,ensemble_mse_l1,2.212369443385991,0.8728582155778551,0.691970802919708,0.9749216300940439,0.6050583657587548,0.7466986794717887,0.04678362573099415,163,8,203,311
mean,95,ensemble_mse_retina,1.2055482092545877,0.882802011513869,0.7591240875912408,0.9462915601023018,0.7198443579766537,0.8176795580110497,0.12280701754385964,150,21,144,370
