score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
topk_mse_10,0.033416172862052916,0.8839946666666666,0.691,0.9762419006479481,0.6026666666666667,0.7452596867271228,0.044,239,11,298,452
topk_mse_5,0.05542059019207954,0.8816373333333333,0.686,0.9801762114537445,0.5933333333333334,0.739202657807309,0.036,241,9,305,445
ensemble_all_base,2.095161926850116,0.8776106666666667,0.692,0.9722222222222222,0.6066666666666667,0.7471264367816092,0.052,237,13,295,455
ensemble_mse_retina,2.0457685027398695,0.8763146666666667,0.688,0.974025974025974,0.6,0.7425742574257426,0.048,238,12,300,450
mse,0.004214317258447408,0.8757866666666666,0.692,0.9702127659574468,0.608,0.7475409836065574,0.056,236,14,294,456
retina_weighted_mse,0.005080088414251797,0.8739893333333334,0.686,0.9739130434782609,0.5973333333333334,0.740495867768595,0.048,238,12,302,448
ensemble_mse_l1_retina,1.910291743463679,0.87048,0.69,0.9721030042918455,0.604,0.7450657894736842,0.052,237,13,297,453
retina_band_mse,0.005679057631641626,0.8665333333333333,0.663,0.976905311778291,0.564,0.7151310228233305,0.04,240,10,327,423
ensemble_mse_l1,2.011381025241629,0.8659413333333333,0.69,0.9641350210970464,0.6093333333333333,0.7467320261437909,0.068,233,17,293,457
l1,0.03789224922657012,0.8473706666666667,0.671,0.9667405764966741,0.5813333333333334,0.7260616153205662,0.06,235,15,314,436
