percentile,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
95,mse,0.004214317258447408,0.8757866666666666,0.692,0.9702127659574468,0.608,0.7475409836065574,0.056,236,14,294,456
97,mse,0.004876953903585662,0.8757866666666666,0.645,0.973621103117506,0.5413333333333333,0.6958011996572407,0.044,239,11,344,406
99,mse,0.006450177039951089,0.8757866666666666,0.522,0.9857142857142858,0.368,0.5359223300970873,0.016,246,4,474,276
95,l1,0.03789224922657012,0.8473706666666667,0.671,0.9667405764966741,0.5813333333333334,0.7260616153205662,0.06,235,15,314,436
97,l1,0.04020295888185499,0.8473706666666667,0.628,0.9748743718592965,0.5173333333333333,0.6759581881533101,0.04,240,10,362,388
99,l1,0.04619707524776459,0.8473706666666667,0.505,0.9775280898876404,0.348,0.5132743362831859,0.024,244,6,489,261
95,retina_band_mse,0.005679057631641626,0.8665333333333333,0.663,0.976905311778291,0.564,0.7151310228233305,0.04,240,10,327,423
97,retina_band_mse,0.0063454474695026864,0.8665333333333333,0.612,0.9763157894736842,0.49466666666666664,0.6566371681415929,0.036,241,9,379,371
99,retina_band_mse,0.007819671928882601,0.8665333333333333,0.508,0.9777777777777777,0.352,0.5176470588235295,0.024,244,6,486,264
95,retina_weighted_mse,0.005080088414251797,0.8739893333333334,0.686,0.9739130434782609,0.5973333333333334,0.740495867768595,0.048,238,12,302,448
97,retina_weighted_mse,0.005765035618096589,0.8739893333333334,0.637,0.9777777777777777,0.528,0.6857142857142857,0.036,241,9,354,396
99,retina_weighted_mse,0.0071997962519526485,0.8739893333333334,0.527,0.9825783972125436,0.376,0.5438765670202508,0.02,245,5,468,282
95,topk_mse_5,0.05542059019207954,0.8816373333333333,0.686,0.9801762114537445,0.5933333333333334,0.739202657807309,0.036,241,9,305,445
97,topk_mse_5,0.06389212220907207,0.8816373333333333,0.633,0.982367758186398,0.52,0.6800348735832606,0.028,243,7,360,390
99,topk_mse_5,0.08901921302080165,0.8816373333333333,0.461,0.9773755656108597,0.288,0.44490216271884653,0.02,245,5,534,216
95,topk_mse_10,0.033416172862052916,0.8839946666666666,0.691,0.9762419006479481,0.6026666666666667,0.7452596867271228,0.044,239,11,298,452
97,topk_mse_10,0.03868192330002783,0.8839946666666666,0.649,0.9854014598540146,0.54,0.6976744186046512,0.024,244,6,345,405
99,topk_mse_10,0.0525957676768303,0.8839946666666666,0.497,0.980544747081712,0.336,0.5004965243296922,0.02,245,5,498,252
95,ensemble_mse_l1,2.011381025241629,0.8659413333333333,0.69,0.9641350210970464,0.6093333333333333,0.7467320261437909,0.068,233,17,293,457
97,ensemble_mse_l1,2.542153594686178,0.8659413333333333,0.647,0.9760191846522782,0.5426666666666666,0.6975149957155099,0.04,240,10,343,407
99,ensemble_mse_l1,3.842631817019267,0.8659413333333333,0.52,0.9821428571428571,0.36666666666666664,0.5339805825242718,0.02,245,5,475,275
95,ensemble_mse_retina,2.0457685027398695,0.8763146666666667,0.688,0.974025974025974,0.6,0.7425742574257426,0.048,238,12,300,450
97,ensemble_mse_retina,2.627886427592245,0.8763146666666667,0.637,0.9731051344743277,0.5306666666666666,0.6867989646246765,0.044,239,11,352,398
99,ensemble_mse_retina,3.8483449882099614,0.8763146666666667,0.515,0.9783393501805054,0.36133333333333334,0.5277507302823758,0.024,244,6,479,271
95,ensemble_mse_l1_retina,1.910291743463679,0.87048,0.69,0.9721030042918455,0.604,0.7450657894736842,0.052,237,13,297,453
97,ensemble_mse_l1_retina,2.4042995592100924,0.87048,0.644,0.9735576923076923,0.54,0.6946826758147513,0.044,239,11,345,405
99,ensemble_mse_l1_retina,3.5920516762249335,0.87048,0.52,0.9891304347826086,0.364,0.5321637426900585,0.012,247,3,477,273
95,ensemble_all_base,2.095161926850116,0.8776106666666667,0.692,0.9722222222222222,0.6066666666666667,0.7471264367816092,0.052,237,13,295,455
97,ensemble_all_base,2.658877903697451,0.8776106666666667,0.65,0.9739336492890995,0.548,0.7013651877133106,0.044,239,11,339,411
99,ensemble_all_base,3.9039569533189264,0.8776106666666667,0.524,0.9790209790209791,0.37333333333333335,0.5405405405405406,0.024,244,6,470,280
